# opt_chain SMH | epoch 1786121990 | 2026-08-07 12:59:50 | spot 579.95 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 108 | band 0.4050 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
425.00 C 20260807 -1.00 -1.00 1 6 4.1715 0.9971 0.000129
427.50 C 20260807 -1.00 -1.00 -1 0 4.1011 0.9971 0.000133
430.00 C 20260807 -1.00 -1.00 5 5 4.0311 0.9970 0.000138
432.50 C 20260807 -1.00 -1.00 -1 0 3.9616 0.9970 0.000142
435.00 C 20260807 -1.00 -1.00 1 2 3.8924 0.9969 0.000147
437.50 C 20260807 -1.00 -1.00 -1 0 3.8237 0.9969 0.000152
440.00 C 20260807 -1.00 -1.00 2 3 3.7553 0.9968 0.000157
442.50 C 20260807 -1.00 -1.00 -1 0 3.6874 0.9968 0.000163
445.00 C 20260807 -1.00 -1.00 -1 0 3.6198 0.9967 0.000169
447.50 C 20260807 -1.00 -1.00 2 2 3.5526 0.9966 0.000175
450.00 C 20260807 -1.00 -1.00 30 20 3.4858 0.9966 0.000181
452.50 C 20260807 -1.00 -1.00 -1 0 3.4194 0.9965 0.000187
455.00 C 20260807 -1.00 -1.00 -1 0 3.3529 0.9965 0.000194
457.50 C 20260807 -1.00 -1.00 -1 0 3.2808 0.9964 0.000202
460.00 C 20260807 -1.00 -1.00 2 4 3.2090 0.9963 0.000210
462.50 C 20260807 -1.00 -1.00 -1 0 3.1377 0.9962 0.000218
465.00 C 20260807 -1.00 -1.00 1 2 3.0667 0.9962 0.000227
467.50 C 20260807 -1.00 -1.00 7 7 2.9961 0.9961 0.000236
470.00 C 20260807 -1.00 -1.00 1 9 2.9259 0.9960 0.000246
472.50 C 20260807 -1.00 -1.00 6 6 2.8561 0.9959 0.000256
475.00 C 20260807 -1.00 -1.00 1 10 2.7866 0.9958 0.000267
477.50 C 20260807 -1.00 -1.00 21 20 2.7175 0.9958 0.000279
480.00 C 20260807 -1.00 -1.00 1 31 2.2905 0.9989 0.000096
482.50 C 20260807 -1.00 -1.00 1 1 2.5804 0.9956 0.000306
485.00 C 20260807 -1.00 -1.00 21 11 2.5124 0.9955 0.000320
487.50 C 20260807 -1.00 -1.00 8 8 2.4448 0.9954 0.000336
490.00 C 20260807 -1.00 -1.00 10 22 2.3774 0.9952 0.000353
492.50 C 20260807 -1.00 -1.00 2 1 2.3105 0.9951 0.000371
495.00 C 20260807 -1.00 -1.00 2 25 2.2438 0.9950 0.000391
497.50 C 20260807 -1.00 -1.00 6 3 2.1775 0.9949 0.000412
500.00 C 20260807 -1.00 -1.00 4 46 2.0168 0.9966 0.000314
502.50 C 20260807 -1.00 -1.00 1 5 2.0460 0.9946 0.000460
505.00 C 20260807 -1.00 -1.00 7 368 -1.0000 -1.0000 -1.000000
507.50 C 20260807 -1.00 -1.00 6 54 1.6349 0.9986 0.000167
510.00 C 20260807 -1.00 -1.00 1 117 -1.0000 -1.0000 -1.000000
512.50 C 20260807 -1.00 -1.00 12 44 1.7867 0.9939 0.000586
515.00 C 20260807 -1.00 -1.00 1 54 1.7227 0.9937 0.000626
517.50 C 20260807 -1.00 -1.00 18 10 1.6589 0.9934 0.000670
520.00 C 20260807 -1.00 -1.00 13 55 1.5955 0.9932 0.000718
522.50 C 20260807 -1.00 -1.00 1 30 1.5324 0.9930 0.000773
525.00 C 20260807 -1.00 -1.00 5 630 -1.0000 -1.0000 -1.000000
527.50 C 20260807 -1.00 -1.00 67 80 -1.0000 -1.0000 -1.000000
530.00 C 20260807 -1.00 -1.00 3 263 1.1245 0.9981 0.000315
532.50 C 20260807 -1.00 -1.00 4 339 -1.0000 -1.0000 -1.000000
535.00 C 20260807 -1.00 -1.00 2 359 -1.0000 -1.0000 -1.000000
537.50 C 20260807 -1.00 -1.00 2 257 -1.0000 -1.0000 -1.000000
540.00 C 20260807 -1.00 -1.00 7 1183 -1.0000 -1.0000 -1.000000
542.50 C 20260807 -1.00 -1.00 1 716 -1.0000 -1.0000 -1.000000
545.00 C 20260807 -1.00 -1.00 9 1035 -1.0000 -1.0000 -1.000000
547.50 C 20260807 -1.00 -1.00 6 127 -1.0000 -1.0000 -1.000000
550.00 C 20260807 -1.00 -1.00 32 1433 -1.0000 -1.0000 -1.000000
552.50 C 20260807 -1.00 -1.00 8 325 0.0002 1.0000 0.000000
555.00 C 20260807 -1.00 -1.00 213 468 0.7497 0.9817 0.003636
557.50 C 20260807 -1.00 -1.00 1 82 0.5296 0.9965 0.001212
560.00 C 20260807 -1.00 -1.00 19 957 -1.0000 -1.0000 -1.000000
