# opt_chain TSLA | epoch 1786106712 | 2026-08-07 08:45:12 | spot 321.76 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 971 | band 0.4050 vencimientos 7 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
235.00 C 20260807 -1.00 -1.00 23 15 -1.0000 -1.0000 -1.000000
237.50 C 20260807 -1.00 -1.00 17 6 -1.0000 -1.0000 -1.000000
240.00 C 20260807 -1.00 -1.00 51 63 -1.0000 -1.0000 -1.000000
242.50 C 20260807 -1.00 -1.00 1 4 -1.0000 -1.0000 -1.000000
245.00 C 20260807 -1.00 -1.00 218 33 -1.0000 -1.0000 -1.000000
247.50 C 20260807 -1.00 -1.00 11 11 -1.0000 -1.0000 -1.000000
250.00 C 20260807 -1.00 -1.00 80 98 -1.0000 -1.0000 -1.000000
252.50 C 20260807 -1.00 -1.00 6 33 -1.0000 -1.0000 -1.000000
255.00 C 20260807 -1.00 -1.00 32 92 -1.0000 -1.0000 -1.000000
257.50 C 20260807 -1.00 -1.00 30 32 -1.0000 -1.0000 -1.000000
260.00 C 20260807 -1.00 -1.00 18 54 -1.0000 -1.0000 -1.000000
262.50 C 20260807 -1.00 -1.00 8 15 -1.0000 -1.0000 -1.000000
265.00 C 20260807 -1.00 -1.00 10 55 -1.0000 -1.0000 -1.000000
267.50 C 20260807 -1.00 -1.00 4 15 -1.0000 -1.0000 -1.000000
270.00 C 20260807 -1.00 -1.00 49 54 -1.0000 -1.0000 -1.000000
272.50 C 20260807 -1.00 -1.00 15 15 -1.0000 -1.0000 -1.000000
275.00 C 20260807 -1.00 -1.00 1 39 -1.0000 -1.0000 -1.000000
277.50 C 20260807 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
280.00 C 20260807 -1.00 -1.00 92 202 -1.0000 -1.0000 -1.000000
282.50 C 20260807 -1.00 -1.00 87 268 -1.0000 -1.0000 -1.000000
285.00 C 20260807 -1.00 -1.00 1 596 -1.0000 -1.0000 -1.000000
287.50 C 20260807 -1.00 -1.00 3 39 -1.0000 -1.0000 -1.000000
290.00 C 20260807 -1.00 -1.00 100 243 -1.0000 -1.0000 -1.000000
292.50 C 20260807 -1.00 -1.00 32 69 -1.0000 -1.0000 -1.000000
295.00 C 20260807 -1.00 -1.00 60 346 -1.0000 -1.0000 -1.000000
297.50 C 20260807 -1.00 -1.00 51 180 -1.0000 -1.0000 -1.000000
300.00 C 20260807 -1.00 -1.00 375 799 -1.0000 -1.0000 -1.000000
302.50 C 20260807 -1.00 -1.00 51 424 -1.0000 -1.0000 -1.000000
305.00 C 20260807 -1.00 -1.00 1724 2593 -1.0000 -1.0000 -1.000000
307.50 C 20260807 -1.00 -1.00 2115 1574 -1.0000 -1.0000 -1.000000
310.00 C 20260807 -1.00 -1.00 16322 3905 -1.0000 -1.0000 -1.000000
312.50 C 20260807 -1.00 -1.00 15265 3098 -1.0000 -1.0000 -1.000000
315.00 C 20260807 -1.00 -1.00 22681 12228 -1.0000 -1.0000 -1.000000
317.50 C 20260807 -1.00 -1.00 28961 13377 -1.0000 -1.0000 -1.000000
320.00 C 20260807 -1.00 -1.00 79634 13708 0.2303 0.8336 0.094337
322.50 C 20260807 -1.00 -1.00 52561 10001 0.3892 0.5076 0.090823
325.00 C 20260807 -1.00 -1.00 65666 17148 0.4630 0.3274 0.068328
327.50 C 20260807 -1.00 -1.00 19709 4987 0.5218 0.2098 0.048363
330.00 C 20260807 -1.00 -1.00 45545 26843 0.5796 0.1342 0.032966
332.50 C 20260807 -1.00 -1.00 14621 13636 0.6215 0.0869 0.022116
