# opt_chain NVDA | epoch 1786133166 | 2026-08-07 16:06:06 | spot 222.97 | spot_src intrinio_quote | spot_age 908 | exps 20260807 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon | band 0.1500 | max_strikes 364 | narrow 0 | vencimientos 8 | rows 364 | greeks_ok_pct 0.9313 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
190.00 C 20260807 -1.00 -1.00 382 3136 4.2033 0.9702 0.003462
192.50 C 20260807 -1.00 -1.00 319 5667 3.3141 0.9847 0.002456
195.00 C 20260807 -1.00 -1.00 382 10065 2.7438 0.9914 0.001813
197.50 C 20260807 -1.00 -1.00 15448 25159 2.2602 0.9959 0.001131
200.00 C 20260807 -1.00 -1.00 36129 42925 2.2960 0.9898 0.002530
202.50 C 20260807 -1.00 -1.00 23083 25275 1.8212 0.9951 0.001647
205.00 C 20260807 -1.00 -1.00 18077 23378 1.8351 0.9875 0.003774
207.50 C 20260807 -1.00 -1.00 36057 39626 1.7013 0.9792 0.006233
210.00 C 20260807 -1.00 -1.00 27579 53372 1.5619 0.9696 0.009494
212.50 C 20260807 -1.00 -1.00 2768 10161 1.1186 0.9806 0.008923
215.00 C 20260807 -1.00 -1.00 23617 28014 0.9676 0.9655 0.016871
217.50 C 20260807 -1.00 -1.00 16548 24799 0.6492 0.9682 0.023645
220.00 C 20260807 -1.00 -1.00 92811 68570 0.3222 0.9767 0.036330
222.50 C 20260807 -1.00 -1.00 465929 44401 0.1182 0.7979 0.512689
225.00 C 20260807 -1.00 -1.00 607754 71255 0.2397 0.0334 0.066631
227.50 C 20260807 -1.00 -1.00 131014 30686 0.4618 0.0185 0.020765
230.00 C 20260807 -1.00 -1.00 68578 42155 0.6784 0.0132 0.010725
232.50 C 20260807 -1.00 -1.00 8828 9463 0.8738 0.0105 0.006789
235.00 C 20260807 -1.00 -1.00 3242 15264 1.0598 0.0088 0.004745
237.50 C 20260807 -1.00 -1.00 971 6703 1.2438 0.0076 0.003539
240.00 C 20260807 -1.00 -1.00 977 16484 1.4259 0.0067 0.002765
245.00 C 20260807 -1.00 -1.00 214 4554 1.7845 0.0055 0.001857
250.00 C 20260807 -1.00 -1.00 55 10771 2.1358 0.0047 0.001360
255.00 C 20260807 -1.00 -1.00 10 9178 2.4622 0.0041 0.001055
190.00 P 20260807 -1.00 -1.00 691 21490 2.9216 -0.0034 0.000751
192.50 P 20260807 -1.00 -1.00 1293 10198 2.7155 -0.0037 0.000864
195.00 P 20260807 -1.00 -1.00 881 14899 2.4948 -0.0040 0.001005
197.50 P 20260807 -1.00 -1.00 850 7899 2.2714 -0.0043 0.001184
200.00 P 20260807 -1.00 -1.00 4355 16259 1.9720 -0.0034 0.001103
202.50 P 20260807 -1.00 -1.00 454 4102 1.8331 -0.0052 0.001732
205.00 P 20260807 -1.00 -1.00 2864 13506 1.6180 -0.0059 0.002168
207.50 P 20260807 -1.00 -1.00 4329 14141 1.4055 -0.0067 0.002800
210.00 P 20260807 -1.00 -1.00 12418 21750 1.1956 -0.0078 0.003768
212.50 P 20260807 -1.00 -1.00 8541 9342 0.9881 -0.0093 0.005367
215.00 P 20260807 -1.00 -1.00 24324 16031 0.7832 -0.0116 0.008307
217.50 P 20260807 -1.00 -1.00 46869 11250 0.5553 -0.0156 0.014965
220.00 P 20260807 -1.00 -1.00 266021 8850 0.3283 -0.0251 0.038147
222.50 P 20260807 -1.00 -1.00 219879 6360 0.1153 -0.1968 0.516423
225.00 P 20260807 -1.00 -1.00 43894 1737 0.2399 -0.9674 0.067381
227.50 P 20260807 -1.00 -1.00 2342 748 -1.0000 -1.0000 -1.000000
230.00 P 20260807 -1.00 -1.00 574 59 0.6357 -0.9910 0.008527
232.50 P 20260807 -1.00 -1.00 1499 1 0.8239 -0.9929 0.005287
235.00 P 20260807 -1.00 -1.00 113 25 -1.0000 -1.0000 -1.000000
237.50 P 20260807 -1.00 -1.00 36 1 -1.0000 -1.0000 -1.000000
240.00 P 20260807 -1.00 -1.00 38 2 -1.0000 -1.0000 -1.000000
245.00 P 20260807 -1.00 -1.00 23 1 -1.0000 -1.0000 -1.000000
250.00 P 20260807 -1.00 -1.00 22 0 -1.0000 -1.0000 -1.000000
255.00 P 20260807 -1.00 -1.00 12 3 -1.0000 -1.0000 -1.000000
190.00 C 20260810 -1.00 -1.00 252 227 -1.0000 -1.0000 -1.000000
192.50 C 20260810 -1.00 -1.00 9 162 -1.0000 -1.0000 -1.000000
195.00 C 20260810 -1.00 -1.00 87 592 0.0006 1.0000 -0.000000
197.50 C 20260810 -1.00 -1.00 237 7159 -1.0000 -1.0000 -1.000000
200.00 C 20260810 -1.00 -1.00 537 5218 0.0006 1.0000 -0.000000
202.50 C 20260810 -1.00 -1.00 772 669 0.0006 1.0000 -0.000000
205.00 C 20260810 -1.00 -1.00 394 3109 0.3260 0.9978 0.001008
207.50 C 20260810 -1.00 -1.00 4561 1565 -1.0000 -1.0000 -1.000000
210.00 C 20260810 -1.00 -1.00 2529 6296 0.2974 0.9873 0.005323
212.50 C 20260810 -1.00 -1.00 4245 1757 0.3124 0.9540 0.014895
215.00 C 20260810 -1.00 -1.00 4688 7008 0.2635 0.9372 0.022947
217.50 C 20260810 -1.00 -1.00 8602 3552 0.2435 0.8722 0.042275
220.00 C 20260810 -1.00 -1.00 26056 9854 0.2394 0.7337 0.066643
222.50 C 20260810 -1.00 -1.00 57343 7525 0.2367 0.5467 0.081680
225.00 C 20260810 -1.00 -1.00 91634 12878 0.2388 0.3490 0.076027
227.50 C 20260810 -1.00 -1.00 27501 3175 0.2439 0.1939 0.054668
230.00 C 20260810 -1.00 -1.00 28432 8265 0.2433 0.0873 0.031593
232.50 C 20260810 -1.00 -1.00 7559 1617 0.2465 0.0324 0.014395
235.00 C 20260810 -1.00 -1.00 5581 1921 0.2767 0.0208 0.008680
240.00 C 20260810 -1.00 -1.00 2167 1888 0.3223 0.0067 0.002778
245.00 C 20260810 -1.00 -1.00 864 834 0.4037 0.0055 0.001865
250.00 C 20260810 -1.00 -1.00 3984 883 0.4834 0.0047 0.001365
255.00 C 20260810 -1.00 -1.00 704 384 0.5565 0.0041 0.001058
190.00 P 20260810 -1.00 -1.00 1699 1244 0.6812 -0.0043 0.000895
192.50 P 20260810 -1.00 -1.00 839 1690 0.6294 -0.0046 0.001030
195.00 P 20260810 -1.00 -1.00 2042 9307 0.5901 -0.0060 0.001379
197.50 P 20260810 -1.00 -1.00 680 1155 0.5394 -0.0065 0.001625
200.00 P 20260810 -1.00 -1.00 1694 2564 0.4893 -0.0072 0.001945
202.50 P 20260810 -1.00 -1.00 454 725 0.4517 -0.0092 0.002637
205.00 P 20260810 -1.00 -1.00 1180 2183 0.4131 -0.0115 0.003554
207.50 P 20260810 -1.00 -1.00 798 1687 0.3684 -0.0158 0.005171
210.00 P 20260810 -1.00 -1.00 4040 3269 0.3343 -0.0242 0.008221
212.50 P 20260810 -1.00 -1.00 4789 3226 0.2992 -0.0388 0.013543
215.00 P 20260810 -1.00 -1.00 13713 1664 0.2763 -0.0727 0.024368
217.50 P 20260810 -1.00 -1.00 14015 1912 0.2604 -0.1459 0.042807
220.00 P 20260810 -1.00 -1.00 46155 3600 0.2481 -0.2733 0.065195
222.50 P 20260810 -1.00 -1.00 26305 450 0.2401 -0.4540 0.080796
225.00 P 20260810 -1.00 -1.00 10426 440 0.2425 -0.6500 0.075579
227.50 P 20260810 -1.00 -1.00 4439 67 0.2489 -0.8035 0.055025
230.00 P 20260810 -1.00 -1.00 2811 121 0.2802 -0.8828 0.035299
232.50 P 20260810 -1.00 -1.00 1973 35 -1.0000 -1.0000 -1.000000
235.00 P 20260810 -1.00 -1.00 1171 0 -1.0000 -1.0000 -1.000000
240.00 P 20260810 -1.00 -1.00 267 0 -1.0000 -1.0000 -1.000000
245.00 P 20260810 -1.00 -1.00 376 0 0.6191 -0.9480 0.008614
250.00 P 20260810 -1.00 -1.00 21 0 0.7230 -0.9545 0.006628
255.00 P 20260810 -1.00 -1.00 24 0 0.6731 -0.9865 0.002937
190.00 C 20260812 -1.00 -1.00 2 81 0.0008 1.0000 0.000000
192.50 C 20260812 -1.00 -1.00 25 85 0.0008 1.0000 0.000000
195.00 C 20260812 -1.00 -1.00 7 105 -1.0000 -1.0000 -1.000000
197.50 C 20260812 -1.00 -1.00 41 327 -1.0000 -1.0000 -1.000000
200.00 C 20260812 -1.00 -1.00 24 610 -1.0000 -1.0000 -1.000000
202.50 C 20260812 -1.00 -1.00 12 704 -1.0000 -1.0000 -1.000000
205.00 C 20260812 -1.00 -1.00 137 1518 -1.0000 -1.0000 -1.000000
207.50 C 20260812 -1.00 -1.00 264 1755 0.2728 0.9894 0.003909
210.00 C 20260812 -1.00 -1.00 236 1395 0.3542 0.9298 0.014496
212.50 C 20260812 -1.00 -1.00 2467 2369 0.2638 0.9430 0.016519
215.00 C 20260812 -1.00 -1.00 375 1114 0.3166 0.8413 0.029012
217.50 C 20260812 -1.00 -1.00 1163 1165 0.3114 0.7602 0.038160
220.00 C 20260812 -1.00 -1.00 3323 2545 0.3124 0.6545 0.045594
222.50 C 20260812 -1.00 -1.00 12887 4631 0.3076 0.5354 0.049530
225.00 C 20260812 -1.00 -1.00 11805 2453 0.3040 0.4131 0.048801
227.50 C 20260812 -1.00 -1.00 4982 2028 0.3033 0.2998 0.043537
230.00 C 20260812 -1.00 -1.00 8318 2054 0.3049 0.2047 0.035420
232.50 C 20260812 -1.00 -1.00 5875 541 0.3120 0.1334 0.026484
235.00 C 20260812 -1.00 -1.00 1522 6806 0.3167 0.0844 0.018558
240.00 C 20260812 -1.00 -1.00 2180 845 0.3404 0.0338 0.008436
245.00 C 20260812 -1.00 -1.00 753 1883 0.3727 0.0167 0.004189
250.00 C 20260812 -1.00 -1.00 496 1038 0.4096 0.0094 0.002314
255.00 C 20260812 -1.00 -1.00 160 199 0.4627 0.0073 0.001633
190.00 P 20260812 -1.00 -1.00 155 870 0.5717 -0.0076 0.001375
192.50 P 20260812 -1.00 -1.00 72 666 0.5309 -0.0082 0.001580
195.00 P 20260812 -1.00 -1.00 2498 1404 0.5202 -0.0121 0.002287
197.50 P 20260812 -1.00 -1.00 147 3560 0.4792 -0.0139 0.002789
200.00 P 20260812 -1.00 -1.00 5745 1455 0.4506 -0.0187 0.003808
202.50 P 20260812 -1.00 -1.00 618 364 0.4303 -0.0257 0.005294
205.00 P 20260812 -1.00 -1.00 802 778 0.4025 -0.0353 0.007306
207.50 P 20260812 -1.00 -1.00 406 726 0.3765 -0.0497 0.010326
210.00 P 20260812 -1.00 -1.00 2707 1554 0.3562 -0.0717 0.014635
212.50 P 20260812 -1.00 -1.00 1824 607 0.3385 -0.1090 0.021027
215.00 P 20260812 -1.00 -1.00 3005 794 0.3247 -0.1652 0.029048
217.50 P 20260812 -1.00 -1.00 2120 802 0.3193 -0.2459 0.037710
220.00 P 20260812 -1.00 -1.00 3814 3199 0.3153 -0.3476 0.045349
222.50 P 20260812 -1.00 -1.00 2040 528 0.3110 -0.4659 0.049187
225.00 P 20260812 -1.00 -1.00 1833 463 0.3057 -0.5880 0.048783
227.50 P 20260812 -1.00 -1.00 164 12 0.3085 -0.6992 0.043300
230.00 P 20260812 -1.00 -1.00 177 20 0.2892 -0.8115 0.036230
232.50 P 20260812 -1.00 -1.00 12 7 0.3023 -0.8773 0.026665
235.00 P 20260812 -1.00 -1.00 17 46 0.3216 -0.9162 0.019273
240.00 P 20260812 -1.00 -1.00 20 21 0.3639 -0.9583 0.010420
245.00 P 20260812 -1.00 -1.00 0 0 0.4200 -0.9748 0.006410
250.00 P 20260812 -1.00 -1.00 2 0 0.4480 -0.9896 0.003515
255.00 P 20260812 -1.00 -1.00 22 0 0.5166 -0.9908 0.002723
190.00 C 20260814 -1.00 -1.00 79 2238 0.6900 0.9571 0.004229
192.50 C 20260814 -1.00 -1.00 55 429 -1.0000 -1.0000 -1.000000
195.00 C 20260814 -1.00 -1.00 294 2891 -1.0000 -1.0000 -1.000000
197.50 C 20260814 -1.00 -1.00 304 1028 -1.0000 -1.0000 -1.000000
200.00 C 20260814 -1.00 -1.00 2993 6305 0.3711 0.9844 0.003359
202.50 C 20260814 -1.00 -1.00 460 6218 0.0009 1.0000 0.000000
205.00 C 20260814 -1.00 -1.00 1787 4330 0.3954 0.9424 0.009447
207.50 C 20260814 -1.00 -1.00 710 12392 0.3570 0.9331 0.011796
210.00 C 20260814 -1.00 -1.00 15996 8474 0.3603 0.8911 0.016762
212.50 C 20260814 -1.00 -1.00 4370 6955 0.3407 0.8532 0.021781
215.00 C 20260814 -1.00 -1.00 3801 15817 0.3426 0.7895 0.027516
217.50 C 20260814 -1.00 -1.00 4160 3347 0.3348 0.7145 0.032762
220.00 C 20260814 -1.00 -1.00 12367 11427 0.3327 0.6282 0.036886
222.50 C 20260814 -1.00 -1.00 9430 4850 0.3303 0.5331 0.039240
225.00 C 20260814 -1.00 -1.00 34864 38065 0.3246 0.4359 0.039163
227.50 C 20260814 -1.00 -1.00 11652 26026 0.3245 0.3425 0.036774
230.00 C 20260814 -1.00 -1.00 35477 25477 0.3266 0.2591 0.032212
232.50 C 20260814 -1.00 -1.00 15081 25412 0.3251 0.1892 0.026806
235.00 C 20260814 -1.00 -1.00 19414 25911 0.3324 0.1346 0.021233
237.50 C 20260814 -1.00 -1.00 3552 11162 0.3335 0.0935 0.016090
240.00 C 20260814 -1.00 -1.00 12979 7584 0.3401 0.0640 0.011896
242.50 C 20260814 -1.00 -1.00 1219 5955 0.3463 0.0438 0.008577
245.00 C 20260814 -1.00 -1.00 6727 5652 0.3654 0.0326 0.006479
250.00 C 20260814 -1.00 -1.00 2940 5691 0.3848 0.0171 0.003522
255.00 C 20260814 -1.00 -1.00 1361 1342 0.4190 0.0111 0.002225
190.00 P 20260814 -1.00 -1.00 1437 5851 0.5408 -0.0143 0.002149
192.50 P 20260814 -1.00 -1.00 689 1672 0.5152 -0.0179 0.002729
195.00 P 20260814 -1.00 -1.00 728 9291 0.4866 -0.0212 0.003352
197.50 P 20260814 -1.00 -1.00 11225 1807 0.4651 -0.0262 0.004235
200.00 P 20260814 -1.00 -1.00 6503 11514 0.4362 -0.0324 0.005357
202.50 P 20260814 -1.00 -1.00 2017 3963 0.4082 -0.0416 0.006975
205.00 P 20260814 -1.00 -1.00 8754 10877 0.3890 -0.0552 0.009278
207.50 P 20260814 -1.00 -1.00 1942 3483 0.3699 -0.0754 0.012389
210.00 P 20260814 -1.00 -1.00 11417 7202 0.3545 -0.1058 0.016668
212.50 P 20260814 -1.00 -1.00 16621 13665 0.3444 -0.1498 0.021851
215.00 P 20260814 -1.00 -1.00 19827 3143 0.3402 -0.2096 0.027653
217.50 P 20260814 -1.00 -1.00 4218 1670 0.3325 -0.2850 0.033011
220.00 P 20260814 -1.00 -1.00 11840 3232 0.3314 -0.3724 0.037144
222.50 P 20260814 -1.00 -1.00 3861 1172 0.3296 -0.4682 0.039505
225.00 P 20260814 -1.00 -1.00 5738 4640 0.3236 -0.5661 0.039486
227.50 P 20260814 -1.00 -1.00 779 505 0.3278 -0.6583 0.036709
230.00 P 20260814 -1.00 -1.00 1260 690 0.3252 -0.7450 0.032599
232.50 P 20260814 -1.00 -1.00 185 244 0.3248 -0.8148 0.027141
235.00 P 20260814 -1.00 -1.00 374 253 0.3309 -0.8708 0.021555
237.50 P 20260814 -1.00 -1.00 22 24 0.3470 -0.9015 0.016983
240.00 P 20260814 -1.00 -1.00 653 165 0.3395 -0.9422 0.012272
242.50 P 20260814 -1.00 -1.00 26 3 0.3591 -0.9555 0.009658
245.00 P 20260814 -1.00 -1.00 224 27 0.3773 -0.9681 0.007453
250.00 P 20260814 -1.00 -1.00 12 0 0.4099 -0.9821 0.004826
255.00 P 20260814 -1.00 -1.00 25 0 0.4687 -0.9842 0.003804
190.00 C 20260817 -1.00 -1.00 10 70 -1.0000 -1.0000 -1.000000
192.50 C 20260817 -1.00 -1.00 138 35 -1.0000 -1.0000 -1.000000
195.00 C 20260817 -1.00 -1.00 193 61 0.5630 0.9336 0.006227
197.50 C 20260817 -1.00 -1.00 187 43 -1.0000 -1.0000 -1.000000
200.00 C 20260817 -1.00 -1.00 285 109 0.4181 0.9473 0.006958
202.50 C 20260817 -1.00 -1.00 224 10 0.2168 0.9971 0.001066
205.00 C 20260817 -1.00 -1.00 179 174 0.3731 0.9195 0.010798
207.50 C 20260817 -1.00 -1.00 140 36 0.2945 0.9378 0.011396
210.00 C 20260817 -1.00 -1.00 141 609 0.3347 0.8713 0.017166
212.50 C 20260817 -1.00 -1.00 26 185 0.3150 0.8312 0.021624
215.00 C 20260817 -1.00 -1.00 445 1136 0.3184 0.7690 0.026105
217.50 C 20260817 -1.00 -1.00 366 318 0.3074 0.7013 0.030666
220.00 C 20260817 -1.00 -1.00 1068 5734 0.3110 0.6193 0.033280
222.50 C 20260817 -1.00 -1.00 1652 5683 0.3108 0.5338 0.035028
225.00 C 20260817 -1.00 -1.00 2353 1477 0.3061 0.4473 0.035014
227.50 C 20260817 -1.00 -1.00 1238 888 0.3089 0.3634 0.033352
230.00 C 20260817 -1.00 -1.00 1565 1010 0.3058 0.2863 0.030150
232.50 C 20260817 -1.00 -1.00 433 428 0.3084 0.2201 0.026139
235.00 C 20260817 -1.00 -1.00 584 1333 0.3096 0.1639 0.021653
237.50 C 20260817 -1.00 -1.00 333 340 0.3123 0.1207 0.017419
240.00 C 20260817 -1.00 -1.00 1662 2303 0.3162 0.0864 0.013479
245.00 C 20260817 -1.00 -1.00 428 538 0.3270 0.0449 0.007772
250.00 C 20260817 -1.00 -1.00 597 602 0.3441 0.0247 0.004504
255.00 C 20260817 -1.00 -1.00 5 156 0.3697 0.0144 0.002678
190.00 P 20260817 -1.00 -1.00 142 171 0.4897 -0.0212 0.002792
192.50 P 20260817 -1.00 -1.00 306 27 0.4710 -0.0253 0.003409
195.00 P 20260817 -1.00 -1.00 685 609 0.4491 -0.0309 0.004210
197.50 P 20260817 -1.00 -1.00 28 1288 0.4234 -0.0377 0.005223
200.00 P 20260817 -1.00 -1.00 567 761 0.4010 -0.0465 0.006540
202.50 P 20260817 -1.00 -1.00 928 334 0.3874 -0.0594 0.008334
205.00 P 20260817 -1.00 -1.00 381 919 0.3665 -0.0766 0.010621
207.50 P 20260817 -1.00 -1.00 359 200 0.3509 -0.1010 0.013644
210.00 P 20260817 -1.00 -1.00 1567 1007 0.3414 -0.1343 0.017295
212.50 P 20260817 -1.00 -1.00 359 339 0.3288 -0.1788 0.021563
215.00 P 20260817 -1.00 -1.00 422 8418 0.3229 -0.2349 0.026003
217.50 P 20260817 -1.00 -1.00 445 158 0.3171 -0.3045 0.030103
220.00 P 20260817 -1.00 -1.00 5669 289 0.3111 -0.3821 0.033435
222.50 P 20260817 -1.00 -1.00 281 132 0.3126 -0.4680 0.035038
225.00 P 20260817 -1.00 -1.00 136 94 0.3059 -0.5550 0.035278
227.50 P 20260817 -1.00 -1.00 86 10 0.3104 -0.6390 0.033490
230.00 P 20260817 -1.00 -1.00 18 71 0.3140 -0.7116 0.029936
232.50 P 20260817 -1.00 -1.00 26 2 0.3111 -0.7825 0.026423
235.00 P 20260817 -1.00 -1.00 3 10 0.3126 -0.8388 0.022074
237.50 P 20260817 -1.00 -1.00 0 0 0.3192 -0.8805 0.018000
240.00 P 20260817 -1.00 -1.00 2 17 0.3208 -0.9170 0.014178
245.00 P 20260817 -1.00 -1.00 20 34 0.4018 -0.9208 0.010784
250.00 P 20260817 -1.00 -1.00 0 0 0.3721 -0.9753 0.005851
255.00 P 20260817 -1.00 -1.00 0 0 0.4064 -0.9827 0.004332
190.00 C 20260819 -1.00 -1.00 60 48 0.4527 0.9779 0.002860
192.50 C 20260819 -1.00 -1.00 72 11 0.4441 0.9716 0.003639
195.00 C 20260819 -1.00 -1.00 60 23 0.4156 0.9673 0.004337
197.50 C 20260819 -1.00 -1.00 197 13 0.4071 0.9547 0.005758
200.00 C 20260819 -1.00 -1.00 196 85 0.3923 0.9439 0.007161
202.50 C 20260819 -1.00 -1.00 128 13 0.3783 0.9276 0.009016
205.00 C 20260819 -1.00 -1.00 142 37 0.3245 0.9312 0.010134
207.50 C 20260819 -1.00 -1.00 9 30 0.3529 0.8814 0.014082
210.00 C 20260819 -1.00 -1.00 9 150 0.3416 0.8441 0.017308
212.50 C 20260819 -1.00 -1.00 31 155 0.3452 0.7940 0.020673
215.00 C 20260819 -1.00 -1.00 266 199 0.3328 0.7417 0.024062
217.50 C 20260819 -1.00 -1.00 272 263 0.3297 0.6787 0.027177
220.00 C 20260819 -1.00 -1.00 148 413 0.3268 0.6080 0.029151
222.50 C 20260819 -1.00 -1.00 338 341 0.3279 0.5335 0.030376
225.00 C 20260819 -1.00 -1.00 1194 10417 0.3233 0.4587 0.030415
227.50 C 20260819 -1.00 -1.00 200 103 0.3254 0.3846 0.029443
230.00 C 20260819 -1.00 -1.00 744 575 0.3212 0.3159 0.027416
232.50 C 20260819 -1.00 -1.00 173 395 0.3251 0.2532 0.024637
235.00 C 20260819 -1.00 -1.00 313 340 0.3231 0.2002 0.021442
237.50 C 20260819 -1.00 -1.00 108 67 0.3279 0.1548 0.018083
240.00 C 20260819 -1.00 -1.00 159 389 0.3289 0.1191 0.014956
242.50 C 20260819 -1.00 -1.00 55 31 0.3336 0.0903 0.012051
245.00 C 20260819 -1.00 -1.00 343 72 0.3395 0.0682 0.009632
250.00 C 20260819 -1.00 -1.00 36 127 0.3517 0.0392 0.005956
255.00 C 20260819 -1.00 -1.00 13 66 0.3658 0.0240 0.003781
190.00 P 20260819 -1.00 -1.00 75 75 0.4842 -0.0284 0.003343
192.50 P 20260819 -1.00 -1.00 114 38 0.4600 -0.0341 0.004050
195.00 P 20260819 -1.00 -1.00 135 235 0.4374 -0.0408 0.004922
197.50 P 20260819 -1.00 -1.00 34 53 0.4178 -0.0491 0.006014
200.00 P 20260819 -1.00 -1.00 140 203 0.4050 -0.0605 0.007417
202.50 P 20260819 -1.00 -1.00 181 67 0.3837 -0.0757 0.009187
205.00 P 20260819 -1.00 -1.00 46 288 0.3698 -0.0972 0.011499
207.50 P 20260819 -1.00 -1.00 161 38 0.3495 -0.1170 0.014076
210.00 P 20260819 -1.00 -1.00 325 316 0.3483 -0.1608 0.017343
212.50 P 20260819 -1.00 -1.00 168 47 0.3449 -0.2062 0.020740
215.00 P 20260819 -1.00 -1.00 292 8768 0.3356 -0.2606 0.024023
217.50 P 20260819 -1.00 -1.00 181 46 0.3358 -0.3245 0.026905
220.00 P 20260819 -1.00 -1.00 368 153 0.3279 -0.3935 0.029194
222.50 P 20260819 -1.00 -1.00 383 15 0.3291 -0.4681 0.030452
225.00 P 20260819 -1.00 -1.00 77 5 0.3243 -0.5432 0.030537
227.50 P 20260819 -1.00 -1.00 29 1 0.3262 -0.6178 0.029639
230.00 P 20260819 -1.00 -1.00 30 2 0.3239 -0.6859 0.027546
232.50 P 20260819 -1.00 -1.00 16 0 0.3249 -0.7513 0.024996
235.00 P 20260819 -1.00 -1.00 20 25 0.3248 -0.8036 0.021780
237.50 P 20260819 -1.00 -1.00 0 0 0.3394 -0.8408 0.018489
240.00 P 20260819 -1.00 -1.00 2 1 0.3319 -0.8856 0.015430
242.50 P 20260819 -1.00 -1.00 92 20 0.3707 -0.8894 0.013392
245.00 P 20260819 -1.00 -1.00 107 35 0.3854 -0.9081 0.011388
250.00 P 20260819 -1.00 -1.00 5 17 0.3630 -0.9636 0.006871
255.00 P 20260819 -1.00 -1.00 0 0 0.3976 -0.9758 0.005043
190.00 C 20260821 -1.00 -1.00 262 18157 0.3979 0.9828 0.002420
192.50 C 20260821 -1.00 -1.00 177 905 0.4054 0.9736 0.003478
195.00 C 20260821 -1.00 -1.00 908 15098 0.4235 0.9528 0.005305
197.50 C 20260821 -1.00 -1.00 302 2590 0.3789 0.9543 0.005771
200.00 C 20260821 -1.00 -1.00 957 34833 0.3916 0.9307 0.007815
202.50 C 20260821 -1.00 -1.00 179 6079 0.3759 0.9128 0.009634
205.00 C 20260821 -1.00 -1.00 1602 19858 0.3639 0.8916 0.011781
207.50 C 20260821 -1.00 -1.00 1782 7191 0.3618 0.8573 0.014309
210.00 C 20260821 -1.00 -1.00 3237 38831 0.3581 0.8173 0.017001
212.50 C 20260821 -1.00 -1.00 791 6815 0.3515 0.7751 0.019759
215.00 C 20260821 -1.00 -1.00 3389 39471 0.3467 0.7211 0.022237
217.50 C 20260821 -1.00 -1.00 623 5024 0.3483 0.6632 0.024457
220.00 C 20260821 -1.00 -1.00 7119 49957 0.3404 0.6002 0.026050
222.50 C 20260821 -1.00 -1.00 9821 10224 0.3413 0.5339 0.027054
225.00 C 20260821 -1.00 -1.00 21922 37498 0.3370 0.4674 0.027121
227.50 C 20260821 -1.00 -1.00 3551 5273 0.3373 0.4009 0.026489
230.00 C 20260821 -1.00 -1.00 18895 81227 0.3339 0.3380 0.025211
232.50 C 20260821 -1.00 -1.00 2289 4349 0.3342 0.2797 0.023151
235.00 C 20260821 -1.00 -1.00 6699 32211 0.3362 0.2283 0.020789
240.00 C 20260821 -1.00 -1.00 11315 39685 0.3420 0.1452 0.015507
242.50 C 20260821 -1.00 -1.00 486 135 0.3394 0.1142 0.013015
245.00 C 20260821 -1.00 -1.00 1628 16554 0.3441 0.0889 0.010710
250.00 C 20260821 -1.00 -1.00 6221 90351 0.3520 0.0544 0.007130
255.00 C 20260821 -1.00 -1.00 722 8251 0.3707 0.0340 0.004696
190.00 P 20260821 -1.00 -1.00 2174 45008 0.4664 -0.0345 0.003736
192.50 P 20260821 -1.00 -1.00 493 2125 0.4451 -0.0407 0.004469
195.00 P 20260821 -1.00 -1.00 2027 25709 0.4278 -0.0487 0.005400
197.50 P 20260821 -1.00 -1.00 864 4235 0.4157 -0.0590 0.006550
200.00 P 20260821 -1.00 -1.00 5702 41832 0.3970 -0.0725 0.007976
202.50 P 20260821 -1.00 -1.00 2333 6065 0.3817 -0.0905 0.009778
205.00 P 20260821 -1.00 -1.00 3632 24764 0.3757 -0.1146 0.011944
207.50 P 20260821 -1.00 -1.00 1025 3395 0.3634 -0.1441 0.014364
210.00 P 20260821 -1.00 -1.00 11062 21469 0.3555 -0.1816 0.017085
212.50 P 20260821 -1.00 -1.00 1272 961 0.3529 -0.2266 0.019799
215.00 P 20260821 -1.00 -1.00 3813 18870 0.3449 -0.2789 0.022411
217.50 P 20260821 -1.00 -1.00 1317 2579 0.3460 -0.3372 0.024727
220.00 P 20260821 -1.00 -1.00 5088 11217 0.3381 -0.4011 0.026368
222.50 P 20260821 -1.00 -1.00 1922 1164 0.3391 -0.4682 0.027424
225.00 P 20260821 -1.00 -1.00 1316 6912 0.3344 -0.5357 0.027525
227.50 P 20260821 -1.00 -1.00 67 277 0.3347 -0.6032 0.026933
