# opt_chain WDC | epoch 1786133011 | 2026-08-07 16:03:31 | spot 436.00 | spot_src intrinio_quote | spot_age 910 | exps 20260807 20260814 20260821 20260828 20260904
# fuente polygon | band 0.1500 | max_strikes 380 | narrow 0 | vencimientos 5 | rows 380 | greeks_ok_pct 0.9447 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
372.50 C 20260807 -1.00 -1.00 10 23 5.1887 0.9340 0.002707
375.00 C 20260807 -1.00 -1.00 30 42 4.9401 0.9350 0.002815
377.50 C 20260807 -1.00 -1.00 82 20 4.6766 0.9370 0.002913
380.00 C 20260807 -1.00 -1.00 124 10 4.6285 0.9284 0.003218
382.50 C 20260807 -1.00 -1.00 72 20 4.4662 0.9252 0.003443
385.00 C 20260807 -1.00 -1.00 28 14 3.9501 0.9397 0.003328
387.50 C 20260807 -1.00 -1.00 130 22 4.1120 0.9197 0.003937
390.00 C 20260807 -1.00 -1.00 154 24 4.0826 0.9089 0.004355
392.50 C 20260807 -1.00 -1.00 28 6 3.7625 0.9133 0.004553
395.00 C 20260807 -1.00 -1.00 9 7 3.3317 0.9261 0.004579
397.50 C 20260807 -1.00 -1.00 26 13 3.4175 0.9057 0.005338
400.00 C 20260807 -1.00 -1.00 156 59 -1.0000 -1.0000 -1.000000
402.50 C 20260807 -1.00 -1.00 2 14 2.8215 0.9150 0.005986
405.00 C 20260807 -1.00 -1.00 2 25 2.5899 0.9157 0.006478
407.50 C 20260807 -1.00 -1.00 3 17 1.8577 0.9600 0.005020
410.00 C 20260807 -1.00 -1.00 3 21 2.3524 0.8965 0.008322
412.50 C 20260807 -1.00 -1.00 15 13 2.1875 0.8897 0.009403
415.00 C 20260807 -1.00 -1.00 52 26 2.0393 0.8803 0.010753
417.50 C 20260807 -1.00 -1.00 33 21 1.9051 0.8665 0.012447
420.00 C 20260807 -1.00 -1.00 34 21 1.8363 0.8371 0.014585
422.50 C 20260807 -1.00 -1.00 18 51 1.5085 0.8423 0.017392
425.00 C 20260807 -1.00 -1.00 241 22 1.2653 0.8338 0.021438
427.50 C 20260807 -1.00 -1.00 113 51 0.8792 0.8603 0.027749
430.00 C 20260807 -1.00 -1.00 637 71 0.5049 0.9049 0.036355
432.50 C 20260807 -1.00 -1.00 291 9 0.5807 0.7489 0.060058
435.00 C 20260807 -1.00 -1.00 800 26 0.5381 0.5847 0.079009
437.50 C 20260807 -1.00 -1.00 1197 42 0.4546 0.3643 0.091337
440.00 C 20260807 -1.00 -1.00 1804 43 0.5575 0.2217 0.058761
442.50 C 20260807 -1.00 -1.00 302 64 0.5582 0.1076 0.036041
445.00 C 20260807 -1.00 -1.00 665 38 0.6996 0.0849 0.024155
447.50 C 20260807 -1.00 -1.00 187 93 0.8643 0.0773 0.018298
450.00 C 20260807 -1.00 -1.00 1391 165 0.6951 0.0150 0.005896
452.50 C 20260807 -1.00 -1.00 95 57 0.8768 0.0227 0.006626
455.00 C 20260807 -1.00 -1.00 385 122 0.8599 0.0091 0.003085
457.50 C 20260807 -1.00 -1.00 156 143 1.3838 0.0515 0.008262
460.00 C 20260807 -1.00 -1.00 726 369 1.0490 0.0076 0.002141
462.50 C 20260807 -1.00 -1.00 283 75 1.1667 0.0082 0.002052
465.00 C 20260807 -1.00 -1.00 272 75 1.2360 0.0066 0.001592
467.50 C 20260807 -1.00 -1.00 125 57 1.4717 0.0116 0.002245
470.00 C 20260807 -1.00 -1.00 212 300 1.4211 0.0058 0.001241
472.50 C 20260807 -1.00 -1.00 64 33 1.7262 0.0126 0.002059
475.00 C 20260807 -1.00 -1.00 242 258 1.6278 0.0060 0.001125
477.50 C 20260807 -1.00 -1.00 215 48 1.8836 0.0108 0.001638
480.00 C 20260807 -1.00 -1.00 393 423 1.7854 0.0047 0.000834
482.50 C 20260807 -1.00 -1.00 53 37 1.8987 0.0053 0.000858
485.00 C 20260807 -1.00 -1.00 93 101 1.9647 0.0044 0.000708
487.50 C 20260807 -1.00 -1.00 69 24 2.0770 0.0049 0.000735
490.00 C 20260807 -1.00 -1.00 138 223 2.2818 0.0077 0.000999
492.50 C 20260807 -1.00 -1.00 33 32 2.3928 0.0080 0.000985
495.00 C 20260807 -1.00 -1.00 93 122 2.6421 0.0113 0.001213
497.50 C 20260807 -1.00 -1.00 96 73 3.0089 0.0199 0.001724
500.00 C 20260807 -1.00 -1.00 203 418 2.4337 0.0036 0.000472
372.50 P 20260807 -1.00 -1.00 2 66 3.0012 -0.0054 0.000549
375.00 P 20260807 -1.00 -1.00 131 529 3.0707 -0.0086 0.000817
377.50 P 20260807 -1.00 -1.00 15 16 2.8742 -0.0076 0.000783
380.00 P 20260807 -1.00 -1.00 175 647 2.4148 -0.0028 0.000387
382.50 P 20260807 -1.00 -1.00 64 194 2.6132 -0.0078 0.000878
385.00 P 20260807 -1.00 -1.00 271 154 2.4727 -0.0076 0.000909
387.50 P 20260807 -1.00 -1.00 80 311 2.1758 -0.0039 0.000576
390.00 P 20260807 -1.00 -1.00 308 389 2.2205 -0.0078 0.001031
392.50 P 20260807 -1.00 -1.00 267 29 2.0305 -0.0063 0.000933
395.00 P 20260807 -1.00 -1.00 751 412 2.5522 -0.0293 0.002870
397.50 P 20260807 -1.00 -1.00 568 104 1.6409 -0.0031 0.000624
400.00 P 20260807 -1.00 -1.00 1579 1752 1.7774 -0.0096 0.001562
402.50 P 20260807 -1.00 -1.00 214 54 1.5397 -0.0062 0.001223
405.00 P 20260807 -1.00 -1.00 734 192 1.4318 -0.0067 0.001396
407.50 P 20260807 -1.00 -1.00 114 276 1.4518 -0.0116 0.002286
410.00 P 20260807 -1.00 -1.00 511 691 1.3635 -0.0151 0.003009
412.50 P 20260807 -1.00 -1.00 262 93 1.3194 -0.0223 0.004355
415.00 P 20260807 -1.00 -1.00 772 448 0.9812 -0.0080 0.002402
417.50 P 20260807 -1.00 -1.00 291 96 0.9272 -0.0116 0.003575
420.00 P 20260807 -1.00 -1.00 1634 848 0.7978 -0.0116 0.004142
422.50 P 20260807 -1.00 -1.00 414 108 0.7364 -0.0212 0.007437
425.00 P 20260807 -1.00 -1.00 2057 748 0.7130 -0.0448 0.014328
427.50 P 20260807 -1.00 -1.00 273 128 0.5523 -0.0462 0.018942
430.00 P 20260807 -1.00 -1.00 2393 1122 0.4908 -0.0923 0.036585
