# opt_chain CRWV | epoch 1786369412 | 2026-08-10 09:43:32 | spot 89.92 | exps 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 91 | band 0.6000 vencimientos 2 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
54.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
55.00 C 20260814 -1.00 -1.00 60 600 -1.0000 -1.0000 -1.000000
56.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
57.00 C 20260814 -1.00 -1.00 50 51 -1.0000 -1.0000 -1.000000
58.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
58.50 C 20260814 -1.00 -1.00 30 30 -1.0000 -1.0000 -1.000000
59.00 C 20260814 -1.00 -1.00 1 26 -1.0000 -1.0000 -1.000000
60.00 C 20260814 -1.00 -1.00 23 399 -1.0000 -1.0000 -1.000000
61.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
61.50 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
62.00 C 20260814 -1.00 -1.00 3 4 -1.0000 -1.0000 -1.000000
63.00 C 20260814 -1.00 -1.00 81 137 -1.0000 -1.0000 -1.000000
64.00 C 20260814 -1.00 -1.00 40 426 -1.0000 -1.0000 -1.000000
65.00 C 20260814 -1.00 -1.00 49 368 -1.0000 -1.0000 -1.000000
66.00 C 20260814 -1.00 -1.00 60 69 -1.0000 -1.0000 -1.000000
67.00 C 20260814 -1.00 -1.00 7 106 -1.0000 -1.0000 -1.000000
68.00 C 20260814 -1.00 -1.00 1 573 -1.0000 -1.0000 -1.000000
69.00 C 20260814 -1.00 -1.00 1 64 -1.0000 -1.0000 -1.000000
70.00 C 20260814 -1.00 -1.00 19 1049 -1.0000 -1.0000 -1.000000
71.00 C 20260814 -1.00 -1.00 12 130 -1.0000 -1.0000 -1.000000
71.50 C 20260814 -1.00 -1.00 5 68 -1.0000 -1.0000 -1.000000
72.00 C 20260814 -1.00 -1.00 13 111 -1.0000 -1.0000 -1.000000
72.50 C 20260814 -1.00 -1.00 6 26 -1.0000 -1.0000 -1.000000
73.00 C 20260814 -1.00 -1.00 32 65 -1.0000 -1.0000 -1.000000
73.50 C 20260814 -1.00 -1.00 20 42 -1.0000 -1.0000 -1.000000
74.00 C 20260814 -1.00 -1.00 10 76 1.2528 0.9527 0.007795
75.00 C 20260814 -1.00 -1.00 98 565 -1.0000 -1.0000 -1.000000
76.00 C 20260814 -1.00 -1.00 2 442 -1.0000 -1.0000 -1.000000
77.00 C 20260814 -1.00 -1.00 170 634 1.2289 0.9195 0.012012
78.00 C 20260814 -1.00 -1.00 10 560 0.0007 1.0000 0.000000
79.00 C 20260814 -1.00 -1.00 14 187 1.1985 0.8933 0.015317
80.00 C 20260814 -1.00 -1.00 342 963 1.2350 0.8685 0.017220
81.00 C 20260814 -1.00 -1.00 31 1377 1.2954 0.8360 0.018927
82.00 C 20260814 -1.00 -1.00 26 274 1.3153 0.8118 0.020488
83.00 C 20260814 -1.00 -1.00 77 516 1.3117 0.7907 0.022097
84.00 C 20260814 -1.00 -1.00 82 1137 1.3515 0.7583 0.022961
85.00 C 20260814 -1.00 -1.00 895 2147 1.3313 0.7345 0.024443
86.00 C 20260814 -1.00 -1.00 109 532 1.4075 0.7008 0.024645
87.00 C 20260814 -1.00 -1.00 222 720 1.4440 0.6730 0.025222
88.00 C 20260814 -1.00 -1.00 431 1039 1.4547 0.6451 0.025548
89.00 C 20260814 -1.00 -1.00 417 477 1.4461 0.6184 0.026196
90.00 C 20260814 -1.00 -1.00 3161 3376 1.4439 0.5912 0.026738
91.00 C 20260814 -1.00 -1.00 634 859 1.4732 0.5639 0.026706
92.00 C 20260814 -1.00 -1.00 358 1081 1.5084 0.5378 0.026555
93.00 C 20260814 -1.00 -1.00 724 1101 1.5003 0.5120 0.026622
94.00 C 20260814 -1.00 -1.00 1243 1036 1.5056 0.4868 0.026357
95.00 C 20260814 -1.00 -1.00 2691 3332 1.5108 0.4617 0.026098
96.00 C 20260814 -1.00 -1.00 232 544 1.5159 0.4368 0.025843
97.00 C 20260814 -1.00 -1.00 415 662 1.5393 0.4140 0.025304
98.00 C 20260814 -1.00 -1.00 379 565 1.5623 0.3918 0.024793
