# opt_chain DRAM | epoch 1786369398 | 2026-08-10 09:43:18 | spot 50.60 | exps 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 236597 | band 0.6000 vencimientos 2 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
30.50 C 20260814 -1.00 -1.00 -1 0 3.3074 0.9361 0.006947
31.00 C 20260814 -1.00 -1.00 2 2 3.4504 0.9238 0.007642
31.50 C 20260814 -1.00 -1.00 -1 0 3.1268 0.9326 0.007659
32.00 C 20260814 -1.00 -1.00 1 1 3.1372 0.9257 0.008230
32.50 C 20260814 -1.00 -1.00 -1 0 3.0497 0.9237 0.008648
33.00 C 20260814 -1.00 -1.00 2 2 3.0282 0.9183 0.009196
33.50 C 20260814 -1.00 -1.00 2 2 2.9109 0.9176 0.009622
34.00 C 20260814 -1.00 -1.00 1 1 2.9226 0.9103 0.010262
34.50 C 20260814 -1.00 -1.00 -1 0 2.7764 0.9111 0.010718
35.00 C 20260814 -1.00 -1.00 1 8 2.7889 0.9035 0.011409
35.50 C 20260814 -1.00 -1.00 9 2 2.5839 0.9076 0.011868
36.00 C 20260814 -1.00 -1.00 10 10 2.5976 0.8994 0.012651
36.50 C 20260814 -1.00 -1.00 -1 0 2.4276 0.9019 0.013248
37.00 C 20260814 -1.00 -1.00 1 2 2.5182 0.8863 0.014198
37.50 C 20260814 -1.00 -1.00 -1 0 2.2758 0.8956 0.014847
38.00 C 20260814 -1.00 -1.00 4 2 2.1417 0.8964 0.015659
38.50 C 20260814 -1.00 -1.00 1 5 2.1181 0.8887 0.016719
39.00 C 20260814 -1.00 -1.00 6 6 2.0933 0.8786 0.017857
39.50 C 20260814 -1.00 -1.00 -1 0 1.9125 0.8854 0.018885
40.00 C 20260814 -1.00 -1.00 41 67 2.1806 0.8454 0.020100
40.50 C 20260814 -1.00 -1.00 -1 0 1.8664 0.8627 0.021689
41.00 C 20260814 -1.00 -1.00 10 11 1.7864 0.8575 0.023232
41.50 C 20260814 -1.00 -1.00 1 1 1.6502 0.8589 0.024987
42.00 C 20260814 -1.00 -1.00 2 4 1.7238 0.8346 0.026607
42.50 C 20260814 -1.00 -1.00 10 3 1.5709 0.8366 0.028939
43.00 C 20260814 -1.00 -1.00 1 8 1.7561 0.8012 0.029751
43.50 C 20260814 -1.00 -1.00 2 0 1.6389 0.7963 0.032352
44.00 C 20260814 -1.00 -1.00 5 20 1.6040 0.7802 0.034278
44.50 C 20260814 -1.00 -1.00 3 3 1.5414 0.7666 0.036742
45.00 C 20260814 -1.00 -1.00 58 425 1.4376 0.7569 0.040213
45.50 C 20260814 -1.00 -1.00 1 1 1.3351 0.7460 0.044280
46.00 C 20260814 -1.00 -1.00 4 43 1.3165 0.7234 0.046918
46.50 C 20260814 -1.00 -1.00 10 4 1.2981 0.7003 0.049675
47.00 C 20260814 -1.00 -1.00 585 831 1.3208 0.6732 0.051234
47.50 C 20260814 -1.00 -1.00 6 4 1.2380 0.6516 0.055607
48.00 C 20260814 -1.00 -1.00 577 530 1.2017 0.6242 0.058383
48.50 C 20260814 -1.00 -1.00 113 702 1.2010 0.5938 0.059614
49.00 C 20260814 -1.00 -1.00 194 449 1.1676 0.5637 0.062528
49.50 C 20260814 -1.00 -1.00 250 168 1.2135 0.5331 0.061368
50.00 C 20260814 -1.00 -1.00 2042 1873 1.1093 0.4991 0.066852
50.50 C 20260814 -1.00 -1.00 773 631 1.1242 0.4680 0.065332
51.00 C 20260814 -1.00 -1.00 1537 1093 1.0910 0.4327 0.066587
51.50 C 20260814 -1.00 -1.00 734 1212 1.0854 0.3992 0.066219
52.00 C 20260814 -1.00 -1.00 1438 3853 1.0759 0.3667 0.065307
52.50 C 20260814 -1.00 -1.00 1193 3540 1.0639 0.3360 0.063390
53.00 C 20260814 -1.00 -1.00 1474 2210 1.0034 0.2938 0.063322
53.50 C 20260814 -1.00 -1.00 310 356 1.0326 0.2707 0.059461
54.00 C 20260814 -1.00 -1.00 608 1104 1.0490 0.2461 0.056244
54.50 C 20260814 -1.00 -1.00 318 1324 1.0117 0.2152 0.053400
55.00 C 20260814 -1.00 -1.00 2937 5136 1.0141 0.1931 0.049735
55.50 C 20260814 -1.00 -1.00 135 296 1.0165 0.1710 0.046107
56.00 C 20260814 -1.00 -1.00 560 2916 1.0221 0.1501 0.042540
56.50 C 20260814 -1.00 -1.00 252 664 0.9815 0.1244 0.038564
57.00 C 20260814 -1.00 -1.00 510 840 1.0257 0.1199 0.035892
57.50 C 20260814 -1.00 -1.00 641 711 1.0744 0.1170 0.033633
58.00 C 20260814 -1.00 -1.00 563 3214 1.0174 0.0882 0.028998
58.50 C 20260814 -1.00 -1.00 416 253 1.0894 0.0929 0.028069
59.00 C 20260814 -1.00 -1.00 363 528 1.1229 0.0878 0.026190
59.50 C 20260814 -1.00 -1.00 13 61 1.1513 0.0818 0.024353
