# opt_chain HOOD | epoch 1786365955 | 2026-08-10 08:45:55 | spot 93.59 | exps 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 955 | band 0.6000 vencimientos 2 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
60.00 C 20260814 -1.00 -1.00 6 7 -1.0000 -1.0000 -1.000000
62.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
63.00 C 20260814 -1.00 -1.00 2 8 -1.0000 -1.0000 -1.000000
64.00 C 20260814 -1.00 -1.00 12 13 -1.0000 -1.0000 -1.000000
65.00 C 20260814 -1.00 -1.00 11 52 -1.0000 -1.0000 -1.000000
66.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
67.00 C 20260814 -1.00 -1.00 -1 0 1.4676 0.9847 0.002529
68.00 C 20260814 -1.00 -1.00 7 26 1.4650 0.9809 0.003071
69.00 C 20260814 -1.00 -1.00 114 24 -1.0000 -1.0000 -1.000000
70.00 C 20260814 -1.00 -1.00 97 62 -1.0000 -1.0000 -1.000000
71.00 C 20260814 -1.00 -1.00 50 13 -1.0000 -1.0000 -1.000000
72.00 C 20260814 -1.00 -1.00 13 3 -1.0000 -1.0000 -1.000000
73.00 C 20260814 -1.00 -1.00 6 33 -1.0000 -1.0000 -1.000000
74.00 C 20260814 -1.00 -1.00 50 27 -1.0000 -1.0000 -1.000000
75.00 C 20260814 -1.00 -1.00 1 9 1.1655 0.9638 0.006582
76.00 C 20260814 -1.00 -1.00 4 24 -1.0000 -1.0000 -1.000000
77.00 C 20260814 -1.00 -1.00 40 13 -1.0000 -1.0000 -1.000000
78.00 C 20260814 -1.00 -1.00 2 12 -1.0000 -1.0000 -1.000000
79.00 C 20260814 -1.00 -1.00 7 19 -1.0000 -1.0000 -1.000000
80.00 C 20260814 -1.00 -1.00 11 187 -1.0000 -1.0000 -1.000000
81.00 C 20260814 -1.00 -1.00 1 74 -1.0000 -1.0000 -1.000000
82.00 C 20260814 -1.00 -1.00 43 41 0.9783 0.9002 0.017433
83.00 C 20260814 -1.00 -1.00 69 21 0.9141 0.8940 0.019558
84.00 C 20260814 -1.00 -1.00 94 96 -1.0000 -1.0000 -1.000000
85.00 C 20260814 -1.00 -1.00 139 216 0.7013 0.9009 0.024154
86.00 C 20260814 -1.00 -1.00 53 97 0.7931 0.8444 0.029275
87.00 C 20260814 -1.00 -1.00 33 126 0.8153 0.8056 0.033050
88.00 C 20260814 -1.00 -1.00 69 324 0.6765 0.8071 0.039586
89.00 C 20260814 -1.00 -1.00 101 146 0.6449 0.7742 0.045860
90.00 C 20260814 -1.00 -1.00 363 1020 0.6798 0.7127 0.048834
91.00 C 20260814 -1.00 -1.00 254 411 0.7052 0.6582 0.051497
92.00 C 20260814 -1.00 -1.00 338 641 0.6950 0.6048 0.053985
93.00 C 20260814 -1.00 -1.00 1140 4975 0.7095 0.5492 0.054653
94.00 C 20260814 -1.00 -1.00 1199 1494 0.7151 0.4956 0.054782
95.00 C 20260814 -1.00 -1.00 7446 6909 0.7077 0.4416 0.054301
96.00 C 20260814 -1.00 -1.00 7240 6748 0.7268 0.3918 0.051925
97.00 C 20260814 -1.00 -1.00 842 4815 0.7281 0.3444 0.049523
98.00 C 20260814 -1.00 -1.00 694 1348 0.7281 0.2994 0.046410
99.00 C 20260814 -1.00 -1.00 5282 5139 0.7417 0.2592 0.042837
100.00 C 20260814 -1.00 -1.00 13612 12605 0.7437 0.2226 0.039234
101.00 C 20260814 -1.00 -1.00 788 802 0.7372 0.1870 0.035395
102.00 C 20260814 -1.00 -1.00 815 929 0.7603 0.1627 0.031547
103.00 C 20260814 -1.00 -1.00 809 935 0.7714 0.1376 0.028038
104.00 C 20260814 -1.00 -1.00 517 779 0.7656 0.1148 0.024578
105.00 C 20260814 -1.00 -1.00 2299 2925 0.7829 0.0994 0.021615
106.00 C 20260814 -1.00 -1.00 875 1037 0.7976 0.0838 0.018816
107.00 C 20260814 -1.00 -1.00 365 417 0.8083 0.0706 0.016365
108.00 C 20260814 -1.00 -1.00 180 395 0.8131 0.0602 0.014238
109.00 C 20260814 -1.00 -1.00 87 294 0.8613 0.0596 0.013336
110.00 C 20260814 -1.00 -1.00 3567 3863 0.8397 0.0440 0.010714
111.00 C 20260814 -1.00 -1.00 97 299 0.8003 0.0285 0.007900
112.00 C 20260814 -1.00 -1.00 117 149 0.8336 0.0275 0.007342
113.00 C 20260814 -1.00 -1.00 34 269 0.8837 0.0288 0.007202
114.00 C 20260814 -1.00 -1.00 29 221 0.9079 0.0268 0.006583
115.00 C 20260814 -1.00 -1.00 164 831 0.9064 0.0217 0.005486
116.00 C 20260814 -1.00 -1.00 2 182 0.9724 0.0252 0.005827
117.00 C 20260814 -1.00 -1.00 9 241 0.9371 0.0160 0.004134
118.00 C 20260814 -1.00 -1.00 9 197 1.0526 0.0258 0.005483
119.00 C 20260814 -1.00 -1.00 19 138 1.1673 0.0336 0.006253
120.00 C 20260814 -1.00 -1.00 1246 1545 0.9239 0.0079 0.002234
121.00 C 20260814 -1.00 -1.00 42 284 0.9896 0.0101 0.002607
122.00 C 20260814 -1.00 -1.00 1 276 1.1020 0.0151 0.003359
123.00 C 20260814 -1.00 -1.00 2 128 1.3296 0.0344 0.005594
124.00 C 20260814 -1.00 -1.00 1 107 1.0697 0.0094 0.002263
125.00 C 20260814 -1.00 -1.00 30 414 1.1338 0.0113 0.002518
130.00 C 20260814 -1.00 -1.00 4 1413 1.3172 0.0129 0.002449
60.00 P 20260814 -1.00 -1.00 10 608 1.9680 -0.0150 0.001850
62.00 P 20260814 -1.00 -1.00 1 46 1.9565 -0.0207 0.002481
63.00 P 20260814 -1.00 -1.00 -1 0 1.6950 -0.0127 0.001866
64.00 P 20260814 -1.00 -1.00 2 40 1.5341 -0.0088 0.001503
65.00 P 20260814 -1.00 -1.00 3 350 1.4002 -0.0068 0.001311
66.00 P 20260814 -1.00 -1.00 8 2 1.3214 -0.0063 0.001283
67.00 P 20260814 -1.00 -1.00 1 14 1.4448 -0.0140 0.002376
68.00 P 20260814 -1.00 -1.00 1 51 1.2459 -0.0077 0.001633
69.00 P 20260814 -1.00 -1.00 1 1 1.5307 -0.0275 0.004033
70.00 P 20260814 -1.00 -1.00 27 561 1.2090 -0.0110 0.002319
71.00 P 20260814 -1.00 -1.00 15 98 1.1436 -0.0105 0.002376
72.00 P 20260814 -1.00 -1.00 8 322 1.0507 -0.0091 0.002255
73.00 P 20260814 -1.00 -1.00 29 95 0.9784 -0.0084 0.002256
74.00 P 20260814 -1.00 -1.00 20 267 1.0495 -0.0178 0.004028
75.00 P 20260814 -1.00 -1.00 303 913 0.9230 -0.0115 0.003172
76.00 P 20260814 -1.00 -1.00 83 106 0.8416 -0.0097 0.003000
77.00 P 20260814 -1.00 -1.00 91 645 0.9991 -0.0325 0.007059
78.00 P 20260814 -1.00 -1.00 38 753 0.8359 -0.0207 0.005771
79.00 P 20260814 -1.00 -1.00 126 334 0.9580 -0.0480 0.010113
80.00 P 20260814 -1.00 -1.00 488 1602 0.8141 -0.0354 0.009266
81.00 P 20260814 -1.00 -1.00 162 332 0.8719 -0.0581 0.013052
82.00 P 20260814 -1.00 -1.00 254 504 0.7915 -0.0574 0.014226
83.00 P 20260814 -1.00 -1.00 1353 1394 0.7805 -0.0737 0.017411
84.00 P 20260814 -1.00 -1.00 480 877 0.7735 -0.0948 0.021174
85.00 P 20260814 -1.00 -1.00 2028 3297 0.7723 -0.1176 0.025118
86.00 P 20260814 -1.00 -1.00 1308 752 0.7617 -0.1461 0.029300
87.00 P 20260814 -1.00 -1.00 1167 789 0.7595 -0.1802 0.033682
88.00 P 20260814 -1.00 -1.00 8145 8339 0.7668 -0.2171 0.037894
89.00 P 20260814 -1.00 -1.00 1115 1632 0.7552 -0.2588 0.041744
90.00 P 20260814 -1.00 -1.00 931 2419 0.7566 -0.3042 0.045224
91.00 P 20260814 -1.00 -1.00 4772 4282 0.7645 -0.3519 0.047823
92.00 P 20260814 -1.00 -1.00 2265 1984 0.7627 -0.4020 0.049440
93.00 P 20260814 -1.00 -1.00 750 607 0.7781 -0.4527 0.049960
94.00 P 20260814 -1.00 -1.00 611 477 0.7746 -0.5021 0.050676
95.00 P 20260814 -1.00 -1.00 336 618 0.7777 -0.5507 0.049625
96.00 P 20260814 -1.00 -1.00 1366 1485 0.7808 -0.5989 0.048602
97.00 P 20260814 -1.00 -1.00 38 286 0.8028 -0.6404 0.045958
98.00 P 20260814 -1.00 -1.00 51 221 0.8039 -0.6809 0.043391
99.00 P 20260814 -1.00 -1.00 53 149 0.8117 -0.7193 0.040626
100.00 P 20260814 -1.00 -1.00 109 397 0.8395 -0.7504 0.037454
101.00 P 20260814 -1.00 -1.00 76 262 0.9393 -0.7555 0.033162
102.00 P 20260814 -1.00 -1.00 26 326 0.6173 -0.8912 0.029893
103.00 P 20260814 -1.00 -1.00 25 113 0.6799 -0.8930 0.026756
104.00 P 20260814 -1.00 -1.00 41 133 1.0017 -0.8150 0.026015
105.00 P 20260814 -1.00 -1.00 26 676 0.9731 -0.8485 0.023861
106.00 P 20260814 -1.00 -1.00 30 151 0.9282 -0.8786 0.021376
107.00 P 20260814 -1.00 -1.00 30 130 1.2584 -0.8141 0.020753
108.00 P 20260814 -1.00 -1.00 26 92 0.9964 -0.8943 0.017987
109.00 P 20260814 -1.00 -1.00 27 45 0.8044 -0.9552 0.011891
110.00 P 20260814 -1.00 -1.00 17 104 0.9980 -0.9257 0.014131
111.00 P 20260814 -1.00 -1.00 2 181 1.0961 -0.9141 0.014153
112.00 P 20260814 -1.00 -1.00 2 112 1.3422 -0.8731 0.015191
113.00 P 20260814 -1.00 -1.00 2 39 1.1733 -0.9223 0.012376
114.00 P 20260814 -1.00 -1.00 1 115 1.0853 -0.9452 0.010152
115.00 P 20260814 -1.00 -1.00 4 69 1.2085 -0.9326 0.010708
116.00 P 20260814 -1.00 -1.00 1 24 1.2880 -0.9281 0.010578
