# opt_chain MU | epoch 1786365918 | 2026-08-10 08:45:18 | spot 863.62 | exps 20260810 20260812 20260814 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 615 | band 0.6000 vencimientos 6 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
520.00 C 20260810 -1.00 -1.00 1 1 11.9818 0.9199 0.000405
525.00 C 20260810 -1.00 -1.00 -1 0 11.7193 0.9197 0.000415
527.50 C 20260810 -1.00 -1.00 -1 0 11.4424 0.9213 0.000417
530.00 C 20260810 -1.00 -1.00 -1 0 11.3282 0.9211 0.000423
532.50 C 20260810 -1.00 -1.00 -1 0 11.2622 0.9203 0.000429
535.00 C 20260810 -1.00 -1.00 -1 0 11.1609 0.9199 0.000434
537.50 C 20260810 -1.00 -1.00 -1 0 11.0956 0.9191 0.000440
540.00 C 20260810 -1.00 -1.00 -1 0 11.0248 0.9183 0.000446
542.50 C 20260810 -1.00 -1.00 -1 0 10.9661 0.9174 0.000453
545.00 C 20260810 -1.00 -1.00 -1 0 10.8196 0.9176 0.000458
547.50 C 20260810 -1.00 -1.00 -1 0 10.7793 0.9164 0.000465
550.00 C 20260810 -1.00 -1.00 -1 0 10.6573 0.9163 0.000471
552.50 C 20260810 -1.00 -1.00 -1 0 10.9267 0.9113 0.000482
555.00 C 20260810 -1.00 -1.00 -1 0 10.5198 0.9147 0.000484
557.50 C 20260810 -1.00 -1.00 -1 0 10.6489 0.9114 0.000494
560.00 C 20260810 -1.00 -1.00 -1 0 10.7658 0.9083 0.000502
562.50 C 20260810 -1.00 -1.00 -1 0 10.2815 0.9128 0.000504
565.00 C 20260810 -1.00 -1.00 -1 0 10.3467 0.9102 0.000513
567.50 C 20260810 -1.00 -1.00 -1 0 10.1417 0.9112 0.000519
570.00 C 20260810 -1.00 -1.00 -1 0 10.0522 0.9106 0.000526
572.50 C 20260810 -1.00 -1.00 -1 0 9.9861 0.9098 0.000533
575.00 C 20260810 -1.00 -1.00 -1 0 9.8575 0.9098 0.000540
577.50 C 20260810 -1.00 -1.00 -1 0 9.8319 0.9084 0.000549
580.00 C 20260810 -1.00 -1.00 -1 0 9.9767 0.9046 0.000559
582.50 C 20260810 -1.00 -1.00 -1 0 9.7188 0.9064 0.000565
585.00 C 20260810 -1.00 -1.00 10 1 9.9026 0.9021 0.000576
587.50 C 20260810 -1.00 -1.00 -1 0 9.3194 0.9085 0.000577
590.00 C 20260810 -1.00 -1.00 -1 0 9.4751 0.9044 0.000589
592.50 C 20260810 -1.00 -1.00 -1 0 9.5012 0.9022 0.000599
595.00 C 20260810 -1.00 -1.00 -1 0 9.1635 0.9053 0.000604
597.50 C 20260810 -1.00 -1.00 -1 0 9.2906 0.9015 0.000615
600.00 C 20260810 -1.00 -1.00 4 2 9.2834 0.8997 0.000625
602.50 C 20260810 -1.00 -1.00 -1 0 8.8820 0.9039 0.000630
605.00 C 20260810 -1.00 -1.00 -1 0 9.1134 0.8982 0.000643
607.50 C 20260810 -1.00 -1.00 -1 0 8.9027 0.8997 0.000651
610.00 C 20260810 -1.00 -1.00 -1 0 9.1118 0.8929 0.000664
612.50 C 20260810 -1.00 -1.00 -1 0 8.7581 0.8981 0.000670
615.00 C 20260810 -1.00 -1.00 -1 0 8.6780 0.8973 0.000680
617.50 C 20260810 -1.00 -1.00 -1 0 8.6981 0.8940 0.000692
620.00 C 20260810 -1.00 -1.00 -1 0 8.5396 0.8949 0.000701
622.50 C 20260810 -1.00 -1.00 -1 0 8.4836 0.8934 0.000712
625.00 C 20260810 -1.00 -1.00 -1 0 8.3443 0.8940 0.000722
627.50 C 20260810 -1.00 -1.00 -1 0 8.3323 0.8914 0.000734
630.00 C 20260810 -1.00 -1.00 -1 0 8.2409 0.8907 0.000746
632.50 C 20260810 -1.00 -1.00 -1 0 8.2689 0.8871 0.000758
635.00 C 20260810 -1.00 -1.00 -1 0 8.0197 0.8904 0.000768
637.50 C 20260810 -1.00 -1.00 -1 0 7.9905 0.8882 0.000781
640.00 C 20260810 -1.00 -1.00 -1 0 8.0833 0.8828 0.000795
642.50 C 20260810 -1.00 -1.00 -1 0 7.7324 0.8889 0.000804
645.00 C 20260810 -1.00 -1.00 -1 0 7.7254 0.8860 0.000818
647.50 C 20260810 -1.00 -1.00 -1 0 7.7362 0.8826 0.000832
650.00 C 20260810 -1.00 -1.00 1 2 7.7007 0.8804 0.000846
652.50 C 20260810 -1.00 -1.00 -1 0 7.6725 0.8780 0.000860
655.00 C 20260810 -1.00 -1.00 1 0 7.4640 0.8805 0.000873
657.50 C 20260810 -1.00 -1.00 -1 0 7.1541 0.8861 0.000884
660.00 C 20260810 -1.00 -1.00 -1 0 7.2433 0.8802 0.000901
662.50 C 20260810 -1.00 -1.00 -1 0 7.2056 0.8780 0.000917
665.00 C 20260810 -1.00 -1.00 1 1 7.1155 0.8773 0.000932
667.50 C 20260810 -1.00 -1.00 -1 0 7.0503 0.8758 0.000948
670.00 C 20260810 -1.00 -1.00 1 2 6.9608 0.8751 0.000964
672.50 C 20260810 -1.00 -1.00 -1 0 6.8856 0.8739 0.000981
675.00 C 20260810 -1.00 -1.00 2 1 6.7481 0.8746 0.000997
677.50 C 20260810 -1.00 -1.00 -1 0 6.7118 0.8722 0.001015
680.00 C 20260810 -1.00 -1.00 -1 0 6.6688 0.8700 0.001033
682.50 C 20260810 -1.00 -1.00 -1 0 6.5256 0.8709 0.001051
685.00 C 20260810 -1.00 -1.00 2 1 6.5348 0.8670 0.001070
687.50 C 20260810 -1.00 -1.00 2 1 6.4440 0.8662 0.001089
690.00 C 20260810 -1.00 -1.00 -1 0 6.3811 0.8645 0.001109
692.50 C 20260810 -1.00 -1.00 -1 0 6.2911 0.8637 0.001129
695.00 C 20260810 -1.00 -1.00 -1 0 6.3554 0.8580 0.001149
697.50 C 20260810 -1.00 -1.00 -1 0 6.1187 0.8618 0.001172
700.00 C 20260810 -1.00 -1.00 18 21 6.0467 0.8604 0.001194
702.50 C 20260810 -1.00 -1.00 6 3 5.9545 0.8596 0.001217
705.00 C 20260810 -1.00 -1.00 2 1 5.9170 0.8570 0.001240
707.50 C 20260810 -1.00 -1.00 -1 0 5.8457 0.8555 0.001264
710.00 C 20260810 -1.00 -1.00 1 1 5.7611 0.8544 0.001289
712.50 C 20260810 -1.00 -1.00 2 1 5.6634 0.8538 0.001315
715.00 C 20260810 -1.00 -1.00 -1 0 5.6334 0.8507 0.001340
717.50 C 20260810 -1.00 -1.00 1 1 5.6810 0.8449 0.001363
720.00 C 20260810 -1.00 -1.00 2 3 5.4730 0.8481 0.001396
722.50 C 20260810 -1.00 -1.00 -1 0 5.4871 0.8434 0.001421
725.00 C 20260810 -1.00 -1.00 5 5 5.3171 0.8453 0.001454
