# opt_chain SPY | epoch 1786369350 | 2026-08-10 09:42:30 | spot 772.71 | exps 20260810 20260811 20260812 20260813 20260814 20260817 20260818 20260819 20260820 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 85 | band 0.1800 vencimientos 10 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
680.00 C 20260810 -1.00 -1.00 8 8 2.0134 0.9725 0.001201
685.00 C 20260810 -1.00 -1.00 1 2 1.9202 0.9713 0.001309
690.00 C 20260810 -1.00 -1.00 -1 0 1.8168 0.9700 0.001433
695.00 C 20260810 -1.00 -1.00 -1 0 1.7142 0.9685 0.001576
700.00 C 20260810 -1.00 -1.00 10 9 1.6142 0.9666 0.001751
701.00 C 20260810 -1.00 -1.00 -1 0 1.5939 0.9662 0.001788
702.00 C 20260810 -1.00 -1.00 -1 0 1.5736 0.9658 0.001826
703.00 C 20260810 -1.00 -1.00 -1 0 1.5534 0.9655 0.001866
704.00 C 20260810 -1.00 -1.00 -1 0 1.5331 0.9651 0.001907
705.00 C 20260810 -1.00 -1.00 45 45 1.5130 0.9647 0.001950
706.00 C 20260810 -1.00 -1.00 -1 0 1.4928 0.9643 0.001994
707.00 C 20260810 -1.00 -1.00 -1 0 1.4727 0.9638 0.002040
708.00 C 20260810 -1.00 -1.00 2 1 1.4526 0.9634 0.002088
709.00 C 20260810 -1.00 -1.00 -1 0 1.4325 0.9630 0.002137
710.00 C 20260810 -1.00 -1.00 1 5 1.4144 0.9623 0.002196
711.00 C 20260810 -1.00 -1.00 10 0 1.3944 0.9618 0.002249
712.00 C 20260810 -1.00 -1.00 5 0 1.3744 0.9613 0.002305
713.00 C 20260810 -1.00 -1.00 -1 0 1.3545 0.9608 0.002363
714.00 C 20260810 -1.00 -1.00 -1 0 1.3345 0.9603 0.002423
715.00 C 20260810 -1.00 -1.00 2 2 1.3146 0.9598 0.002485
716.00 C 20260810 -1.00 -1.00 45 45 1.2948 0.9593 0.002551
717.00 C 20260810 -1.00 -1.00 3 3 1.2749 0.9587 0.002619
718.00 C 20260810 -1.00 -1.00 -1 0 1.2551 0.9581 0.002690
719.00 C 20260810 -1.00 -1.00 1 1 1.2353 0.9576 0.002764
720.00 C 20260810 -1.00 -1.00 31 101 1.2347 0.9544 0.002931
721.00 C 20260810 -1.00 -1.00 2 3 1.1977 0.9561 0.002931
722.00 C 20260810 -1.00 -1.00 5 41 1.1780 0.9554 0.003016
723.00 C 20260810 -1.00 -1.00 5 9 1.1583 0.9547 0.003105
724.00 C 20260810 -1.00 -1.00 4 16 1.1387 0.9540 0.003198
725.00 C 20260810 -1.00 -1.00 1 87 1.1191 0.9533 0.003296
726.00 C 20260810 -1.00 -1.00 10 12 1.0995 0.9526 0.003398
727.00 C 20260810 -1.00 -1.00 1 11 1.0990 0.9490 0.003609
728.00 C 20260810 -1.00 -1.00 2 41 1.0604 0.9510 0.003618
729.00 C 20260810 -1.00 -1.00 1 134 1.1648 0.9324 0.004307
730.00 C 20260810 -1.00 -1.00 3 201 1.1398 0.9318 0.004429
731.00 C 20260810 -1.00 -1.00 2 169 1.1147 0.9312 0.004557
732.00 C 20260810 -1.00 -1.00 6 205 1.0908 0.9303 0.004699
733.00 C 20260810 -1.00 -1.00 2 124 1.0692 0.9288 0.004863
734.00 C 20260810 -1.00 -1.00 9 193 1.0497 0.9268 0.005050
735.00 C 20260810 -1.00 -1.00 16 471 1.0259 0.9258 0.005220
736.00 C 20260810 -1.00 -1.00 3 125 1.0033 0.9244 0.005407
737.00 C 20260810 -1.00 -1.00 8 266 0.9817 0.9227 0.005613
738.00 C 20260810 -1.00 -1.00 11 302 0.9635 0.9201 0.005854
739.00 C 20260810 -1.00 -1.00 4 832 0.9376 0.9194 0.006057
740.00 C 20260810 -1.00 -1.00 35 1002 0.9129 0.9183 0.006282
741.00 C 20260810 -1.00 -1.00 3 584 0.8915 0.9163 0.006546
742.00 C 20260810 -1.00 -1.00 11 566 0.8679 0.9148 0.006813
743.00 C 20260810 -1.00 -1.00 7 746 0.8443 0.9132 0.007098
744.00 C 20260810 -1.00 -1.00 35 291 0.8263 0.9100 0.007449
745.00 C 20260810 -1.00 -1.00 102 1380 0.7984 0.9094 0.007746
746.00 C 20260810 -1.00 -1.00 23 575 0.7783 0.9065 0.008130
747.00 C 20260810 -1.00 -1.00 22 244 0.7864 0.8956 0.008748
748.00 C 20260810 -1.00 -1.00 134 387 0.6639 0.9247 0.008148
749.00 C 20260810 -1.00 -1.00 30 504 0.7157 0.8977 0.009461
750.00 C 20260810 -1.00 -1.00 174 1655 0.6086 0.9246 0.008898
751.00 C 20260810 -1.00 -1.00 120 404 0.6354 0.9038 0.010177
752.00 C 20260810 -1.00 -1.00 51 399 0.6121 0.9012 0.010776
753.00 C 20260810 -1.00 -1.00 98 649 0.5922 0.8972 0.011476
754.00 C 20260810 -1.00 -1.00 55 486 0.4952 0.9261 0.010794
755.00 C 20260810 -1.00 -1.00 245 1778 0.4742 0.9227 0.011624
756.00 C 20260810 -1.00 -1.00 56 1875 0.4533 0.9191 0.012563
757.00 C 20260810 -1.00 -1.00 51 1488 0.4151 0.9250 0.013009
758.00 C 20260810 -1.00 -1.00 324 1352 0.4203 0.9060 0.015120
759.00 C 20260810 -1.00 -1.00 205 697 0.4016 0.8998 0.016595
760.00 C 20260810 -1.00 -1.00 596 4239 0.4377 0.8647 0.019105
761.00 C 20260810 -1.00 -1.00 304 1265 0.3752 0.8796 0.020466
762.00 C 20260810 -1.00 -1.00 249 1031 0.3566 0.8713 0.022703
763.00 C 20260810 -1.00 -1.00 207 1125 0.3281 0.8669 0.025248
764.00 C 20260810 -1.00 -1.00 801 1395 0.3092 0.8519 0.028541
765.00 C 20260810 -1.00 -1.00 1147 2671 0.2938 0.8319 0.032481
766.00 C 20260810 -1.00 -1.00 671 1455 0.2850 0.8045 0.036945
767.00 C 20260810 -1.00 -1.00 2511 2939 0.2698 0.7800 0.042301
768.00 C 20260810 -1.00 -1.00 4314 2438 0.2547 0.7461 0.048073
769.00 C 20260810 -1.00 -1.00 5384 3691 0.2418 0.7039 0.054417
770.00 C 20260810 -1.00 -1.00 16461 5067 0.2350 0.6536 0.060650
771.00 C 20260810 -1.00 -1.00 33610 5192 0.2223 0.5959 0.066442
772.00 C 20260810 -1.00 -1.00 64229 7386 0.2163 0.5294 0.070567
773.00 C 20260810 -1.00 -1.00 90163 10190 0.2104 0.4591 0.072053
774.00 C 20260810 -1.00 -1.00 63221 5784 0.2068 0.3861 0.070867
775.00 C 20260810 -1.00 -1.00 80989 10945 0.2013 0.3149 0.067297
776.00 C 20260810 -1.00 -1.00 44783 6094 0.1995 0.2477 0.060822
777.00 C 20260810 -1.00 -1.00 40187 6287 0.1957 0.1892 0.052606
778.00 C 20260810 -1.00 -1.00 34106 3809 0.1973 0.1404 0.043429
779.00 C 20260810 -1.00 -1.00 36797 9535 0.1952 0.1021 0.034611
780.00 C 20260810 -1.00 -1.00 64070 13144 0.1996 0.0736 0.026767
781.00 C 20260810 -1.00 -1.00 22565 4411 0.1983 0.0512 0.020054
782.00 C 20260810 -1.00 -1.00 24460 4581 0.2054 0.0382 0.015322
783.00 C 20260810 -1.00 -1.00 15708 4238 0.2140 0.0294 0.011937
784.00 C 20260810 -1.00 -1.00 8785 3330 0.2223 0.0243 0.009705
785.00 C 20260810 -1.00 -1.00 10164 7693 0.2306 0.0196 0.007758
786.00 C 20260810 -1.00 -1.00 5182 3737 0.2461 0.0185 0.006916
787.00 C 20260810 -1.00 -1.00 2526 1991 0.2544 0.0144 0.005438
788.00 C 20260810 -1.00 -1.00 1689 2410 0.2699 0.0137 0.004919
789.00 C 20260810 -1.00 -1.00 1291 1092 0.2854 0.0131 0.004479
790.00 C 20260810 -1.00 -1.00 3231 4656 0.2846 0.0096 0.003404
791.00 C 20260810 -1.00 -1.00 1834 805 0.2981 0.0092 0.003122
792.00 C 20260810 -1.00 -1.00 2656 2038 0.3117 0.0088 0.002875
793.00 C 20260810 -1.00 -1.00 440 466 0.3253 0.0085 0.002658
794.00 C 20260810 -1.00 -1.00 1759 1581 0.3388 0.0082 0.002467
795.00 C 20260810 -1.00 -1.00 723 1069 0.3523 0.0079 0.002296
796.00 C 20260810 -1.00 -1.00 270 128 0.3489 0.0050 0.001558
797.00 C 20260810 -1.00 -1.00 424 538 0.3624 0.0048 0.001458
798.00 C 20260810 -1.00 -1.00 42 817 0.3758 0.0047 0.001368
799.00 C 20260810 -1.00 -1.00 1187 2016 0.3893 0.0045 0.001288
800.00 C 20260810 -1.00 -1.00 2024 4246 0.4027 0.0044 0.001215
801.00 C 20260810 -1.00 -1.00 122 1275 0.4161 0.0043 0.001148
802.00 C 20260810 -1.00 -1.00 189 281 0.4295 0.0042 0.001088
803.00 C 20260810 -1.00 -1.00 200 549 0.4414 0.0041 0.001032
804.00 C 20260810 -1.00 -1.00 982 906 0.4532 0.0040 0.000981
805.00 C 20260810 -1.00 -1.00 1033 2767 0.4651 0.0039 0.000934
810.00 C 20260810 -1.00 -1.00 208 765 0.5242 0.0034 0.000744
815.00 C 20260810 -1.00 -1.00 3013 4187 0.5829 0.0031 0.000608
820.00 C 20260810 -1.00 -1.00 3649 5420 0.6183 0.0020 0.000383
825.00 C 20260810 -1.00 -1.00 2054 2761 0.6992 0.0026 0.000432
830.00 C 20260810 -1.00 -1.00 882 1312 0.7569 0.0024 0.000373
835.00 C 20260810 -1.00 -1.00 1015 1449 0.8141 0.0023 0.000325
840.00 C 20260810 -1.00 -1.00 1544 1932 0.8711 0.0021 0.000287
845.00 C 20260810 -1.00 -1.00 4 992 0.9277 0.0020 0.000256
850.00 C 20260810 -1.00 -1.00 50 1483 0.9839 0.0019 0.000230
855.00 C 20260810 -1.00 -1.00 4 615 1.0399 0.0018 0.000208
860.00 C 20260810 -1.00 -1.00 327 114 1.0955 0.0017 0.000189
865.00 C 20260810 -1.00 -1.00 501 308 1.1508 0.0017 0.000173
680.00 P 20260810 -1.00 -1.00 4 232 1.2949 -0.0015 0.000137
685.00 P 20260810 -1.00 -1.00 51 293 1.2246 -0.0015 0.000151
690.00 P 20260810 -1.00 -1.00 9 374 1.1547 -0.0016 0.000168
695.00 P 20260810 -1.00 -1.00 10 493 1.0854 -0.0017 0.000189
700.00 P 20260810 -1.00 -1.00 1346 2243 1.0165 -0.0018 0.000213
701.00 P 20260810 -1.00 -1.00 8 327 1.0028 -0.0018 0.000218
702.00 P 20260810 -1.00 -1.00 4 919 0.9891 -0.0019 0.000224
703.00 P 20260810 -1.00 -1.00 445 1276 0.9754 -0.0019 0.000230
704.00 P 20260810 -1.00 -1.00 5130 1625 0.9618 -0.0019 0.000236
705.00 P 20260810 -1.00 -1.00 5752 4877 0.9482 -0.0019 0.000242
706.00 P 20260810 -1.00 -1.00 6866 3370 0.9345 -0.0020 0.000249
707.00 P 20260810 -1.00 -1.00 7268 5430 0.9209 -0.0020 0.000256
708.00 P 20260810 -1.00 -1.00 969 564 0.9074 -0.0020 0.000263
709.00 P 20260810 -1.00 -1.00 1209 1237 0.8938 -0.0021 0.000270
710.00 P 20260810 -1.00 -1.00 7015 5020 0.8803 -0.0021 0.000278
711.00 P 20260810 -1.00 -1.00 600 652 0.8668 -0.0021 0.000286
712.00 P 20260810 -1.00 -1.00 2 348 0.8533 -0.0022 0.000295
713.00 P 20260810 -1.00 -1.00 656 269 0.8398 -0.0022 0.000304
714.00 P 20260810 -1.00 -1.00 2191 2640 0.8263 -0.0022 0.000313
715.00 P 20260810 -1.00 -1.00 5 945 0.8129 -0.0023 0.000323
716.00 P 20260810 -1.00 -1.00 221 647 0.7995 -0.0023 0.000333
717.00 P 20260810 -1.00 -1.00 13 141 0.7861 -0.0023 0.000344
718.00 P 20260810 -1.00 -1.00 470 628 0.7727 -0.0024 0.000355
719.00 P 20260810 -1.00 -1.00 169 210 0.7593 -0.0024 0.000367
720.00 P 20260810 -1.00 -1.00 76 1309 0.7460 -0.0024 0.000379
721.00 P 20260810 -1.00 -1.00 8 144 0.7326 -0.0025 0.000393
722.00 P 20260810 -1.00 -1.00 2493 2593 0.7193 -0.0025 0.000406
723.00 P 20260810 -1.00 -1.00 82 289 0.7060 -0.0026 0.000421
724.00 P 20260810 -1.00 -1.00 1213 1023 0.6928 -0.0026 0.000436
725.00 P 20260810 -1.00 -1.00 703 1380 0.6795 -0.0027 0.000452
726.00 P 20260810 -1.00 -1.00 788 1310 0.6663 -0.0027 0.000470
727.00 P 20260810 -1.00 -1.00 21 3294 0.6531 -0.0028 0.000488
728.00 P 20260810 -1.00 -1.00 81 4456 0.6399 -0.0028 0.000507
729.00 P 20260810 -1.00 -1.00 3236 14757 0.6267 -0.0029 0.000527
730.00 P 20260810 -1.00 -1.00 4929 6210 0.6135 -0.0029 0.000549
731.00 P 20260810 -1.00 -1.00 149 670 0.6004 -0.0030 0.000572
732.00 P 20260810 -1.00 -1.00 1696 8896 0.5873 -0.0031 0.000597
733.00 P 20260810 -1.00 -1.00 309 926 0.5742 -0.0031 0.000623
734.00 P 20260810 -1.00 -1.00 366 1059 0.5611 -0.0032 0.000651
735.00 P 20260810 -1.00 -1.00 1008 2559 0.5480 -0.0033 0.000681
736.00 P 20260810 -1.00 -1.00 7339 6187 0.5350 -0.0034 0.000713
737.00 P 20260810 -1.00 -1.00 7256 8885 0.5219 -0.0034 0.000747
738.00 P 20260810 -1.00 -1.00 1205 8281 0.5089 -0.0035 0.000784
739.00 P 20260810 -1.00 -1.00 1648 2007 0.4959 -0.0036 0.000824
740.00 P 20260810 -1.00 -1.00 16562 18761 0.4829 -0.0037 0.000867
741.00 P 20260810 -1.00 -1.00 16047 15579 0.4700 -0.0038 0.000913
742.00 P 20260810 -1.00 -1.00 336 980 0.4570 -0.0039 0.000964
743.00 P 20260810 -1.00 -1.00 2034 1145 0.4432 -0.0040 0.001019
744.00 P 20260810 -1.00 -1.00 568 1740 0.4287 -0.0041 0.001079
745.00 P 20260810 -1.00 -1.00 1738 3104 0.4142 -0.0043 0.001144
746.00 P 20260810 -1.00 -1.00 526 1251 0.3998 -0.0044 0.001217
