# opt_chain WDC | epoch 1786365953 | 2026-08-10 08:45:53 | spot 428.36 | exps 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 652 | band 0.6000 vencimientos 2 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
260.00 C 20260814 -1.00 -1.00 -1 0 3.4981 0.9317 0.000796
270.00 C 20260814 -1.00 -1.00 -1 0 3.4307 0.9211 0.000910
280.00 C 20260814 -1.00 -1.00 -1 0 3.1663 0.9186 0.001010
290.00 C 20260814 -1.00 -1.00 3 10 2.9635 0.9135 0.001132
300.00 C 20260814 -1.00 -1.00 1 4 2.7753 0.9075 0.001276
302.50 C 20260814 -1.00 -1.00 -1 0 2.8041 0.9020 0.001324
305.00 C 20260814 -1.00 -1.00 -1 0 2.7573 0.9003 0.001364
307.50 C 20260814 -1.00 -1.00 -1 0 2.6287 0.9031 0.001397
310.00 C 20260814 -1.00 -1.00 -1 0 2.5261 0.9048 0.001432
312.50 C 20260814 -1.00 -1.00 -1 0 2.5944 0.8966 0.001493
315.00 C 20260814 -1.00 -1.00 -1 0 2.5386 0.8954 0.001539
317.50 C 20260814 -1.00 -1.00 -1 0 2.3781 0.9005 0.001574
320.00 C 20260814 -1.00 -1.00 -1 0 2.4551 0.8900 0.001643
322.50 C 20260814 -1.00 -1.00 1 1 2.3509 0.8929 0.001690
325.00 C 20260814 -1.00 -1.00 3 10 2.3469 0.8866 0.001753
327.50 C 20260814 -1.00 -1.00 -1 0 2.2233 0.8917 0.001802
330.00 C 20260814 -1.00 -1.00 2 4 2.1383 0.8927 0.001859
332.50 C 20260814 -1.00 -1.00 -1 0 2.1046 0.8897 0.001927
335.00 C 20260814 -1.00 -1.00 1 1 2.0403 0.8893 0.001993
337.50 C 20260814 -1.00 -1.00 -1 0 2.0082 0.8853 0.002070
340.00 C 20260814 -1.00 -1.00 1 1 1.9605 0.8830 0.002148
342.50 C 20260814 -1.00 -1.00 -1 0 1.9221 0.8796 0.002231
345.00 C 20260814 -1.00 -1.00 -1 0 1.8796 0.8765 0.002318
347.50 C 20260814 -1.00 -1.00 -1 0 1.8530 0.8715 0.002412
350.00 C 20260814 -1.00 -1.00 8 6 1.8421 0.8645 0.002510
352.50 C 20260814 -1.00 -1.00 -1 0 1.7495 0.8672 0.002610
355.00 C 20260814 -1.00 -1.00 4 4 1.7501 0.8585 0.002719
357.50 C 20260814 -1.00 -1.00 -1 0 1.6716 0.8594 0.002836
360.00 C 20260814 -1.00 -1.00 1 28 1.6178 0.8572 0.002960
362.50 C 20260814 -1.00 -1.00 -1 0 1.6603 0.8426 0.003075
365.00 C 20260814 -1.00 -1.00 -1 0 1.5917 0.8418 0.003219
367.50 C 20260814 -1.00 -1.00 -1 0 1.5409 0.8387 0.003369
370.00 C 20260814 -1.00 -1.00 1 27 1.5422 0.8288 0.003505
372.50 C 20260814 -1.00 -1.00 -1 0 1.4920 0.8252 0.003675
375.00 C 20260814 -1.00 -1.00 10 43 1.4806 0.8166 0.003830
377.50 C 20260814 -1.00 -1.00 -1 0 1.4501 0.8101 0.004007
380.00 C 20260814 -1.00 -1.00 25 40 1.4517 0.7996 0.004159
382.50 C 20260814 -1.00 -1.00 -1 0 1.3918 0.7961 0.004390
385.00 C 20260814 -1.00 -1.00 21 27 1.3536 0.7888 0.004601
387.50 C 20260814 -1.00 -1.00 -1 0 1.3636 0.7734 0.004720
390.00 C 20260814 -1.00 -1.00 1 41 1.3286 0.7643 0.004939
392.50 C 20260814 -1.00 -1.00 -1 0 1.3098 0.7526 0.005131
395.00 C 20260814 -1.00 -1.00 26 17 1.2848 0.7413 0.005350
397.50 C 20260814 -1.00 -1.00 4 4 1.2662 0.7289 0.005561
400.00 C 20260814 -1.00 -1.00 83 42 1.2336 0.7177 0.005829
402.50 C 20260814 -1.00 -1.00 -1 0 1.1869 0.7076 0.006172
405.00 C 20260814 -1.00 -1.00 1 14 1.2114 0.6893 0.006251
407.50 C 20260814 -1.00 -1.00 -1 0 1.2325 0.6719 0.006334
410.00 C 20260814 -1.00 -1.00 8 16 1.2147 0.6565 0.006508
