# opt_chain XLK | epoch 1786365944 | 2026-08-10 08:45:44 | spot 187.79 | exps 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 703 | band 0.6000 vencimientos 2 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
140.00 C 20260814 -1.00 -1.00 -1 0 1.4420 0.9748 0.001994
141.00 C 20260814 -1.00 -1.00 -1 0 1.4679 0.9686 0.002326
142.00 C 20260814 -1.00 -1.00 -1 0 0.0006 0.9999 -0.000000
143.00 C 20260814 -1.00 -1.00 -1 0 1.3908 0.9688 0.002441
144.00 C 20260814 -1.00 -1.00 -1 0 1.3594 0.9682 0.002537
145.00 C 20260814 -1.00 -1.00 -1 0 1.3282 0.9675 0.002637
146.00 C 20260814 -1.00 -1.00 -1 0 1.3377 0.9624 0.002950
147.00 C 20260814 -1.00 -1.00 -1 0 1.2665 0.9662 0.002857
148.00 C 20260814 -1.00 -1.00 -1 0 1.0315 0.9845 0.001805
149.00 C 20260814 -1.00 -1.00 -1 0 1.1924 0.9664 0.003020
150.00 C 20260814 -1.00 -1.00 1 26 1.2420 0.9559 0.003618
151.00 C 20260814 -1.00 -1.00 -1 0 1.1854 0.9581 0.003634
152.00 C 20260814 -1.00 -1.00 -1 0 1.0500 0.9718 0.003000
152.50 C 20260814 -1.00 -1.00 -1 0 0.0006 0.9999 0.000000
153.00 C 20260814 -1.00 -1.00 -1 0 1.0865 0.9614 0.003707
154.00 C 20260814 -1.00 -1.00 -1 0 0.9546 0.9748 0.002996
155.00 C 20260814 -1.00 -1.00 1 2 0.9028 0.9766 0.002962
156.00 C 20260814 -1.00 -1.00 -1 0 0.9861 0.9605 0.004165
157.00 C 20260814 -1.00 -1.00 -1 0 1.1002 0.9399 0.005322
157.50 C 20260814 -1.00 -1.00 -1 0 0.9950 0.9510 0.004930
158.00 C 20260814 -1.00 -1.00 2 1 1.0066 0.9467 0.005236
159.00 C 20260814 -1.00 -1.00 2 1 0.8361 0.9689 0.004066
160.00 C 20260814 -1.00 -1.00 2 4 0.0006 0.9999 -0.000000
161.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
162.00 C 20260814 -1.00 -1.00 1 2 0.8551 0.9467 0.006160
162.50 C 20260814 -1.00 -1.00 3 4 0.8413 0.9459 0.006340
163.00 C 20260814 -1.00 -1.00 3 7 0.8274 0.9451 0.006529
164.00 C 20260814 -1.00 -1.00 1 1 0.8253 0.9391 0.007160
165.00 C 20260814 -1.00 -1.00 1 4 0.7852 0.9394 0.007496
166.00 C 20260814 -1.00 -1.00 1 3 0.7644 0.9351 0.008100
167.00 C 20260814 -1.00 -1.00 1 3 0.7057 0.9400 0.008254
167.50 C 20260814 -1.00 -1.00 1 3 0.8121 0.9050 0.010071
168.00 C 20260814 -1.00 -1.00 3 7 0.7092 0.9282 0.009381
169.00 C 20260814 -1.00 -1.00 1 6 0.6637 0.9304 0.009803
170.00 C 20260814 -1.00 -1.00 5 22 0.6402 0.9251 0.010710
171.00 C 20260814 -1.00 -1.00 1 5 0.6313 0.9143 0.011981
172.00 C 20260814 -1.00 -1.00 2 2 0.7298 0.8712 0.014115
172.50 C 20260814 -1.00 -1.00 3 7 0.5570 0.9197 0.012955
173.00 C 20260814 -1.00 -1.00 5 12 0.5562 0.9121 0.013865
174.00 C 20260814 -1.00 -1.00 2 23 0.6191 0.8759 0.016292
175.00 C 20260814 -1.00 -1.00 7 87 0.5976 0.8638 0.017843
176.00 C 20260814 -1.00 -1.00 2 13 0.6613 0.8191 0.019333
177.00 C 20260814 -1.00 -1.00 8 26 0.5596 0.8349 0.021504
177.50 C 20260814 -1.00 -1.00 10 55 0.4296 0.8853 0.022021
178.00 C 20260814 -1.00 -1.00 27 31 0.4772 0.8481 0.023914
179.00 C 20260814 -1.00 -1.00 4 17 0.4610 0.8287 0.026733
180.00 C 20260814 -1.00 -1.00 16 120 0.4449 0.8080 0.029894
181.00 C 20260814 -1.00 -1.00 2 62 0.4461 0.7778 0.032891
182.00 C 20260814 -1.00 -1.00 4 16 0.4250 0.7501 0.036408
182.50 C 20260814 -1.00 -1.00 1 372 0.4252 0.7302 0.037742
183.00 C 20260814 -1.00 -1.00 5 25 0.4040 0.7195 0.040477
184.00 C 20260814 -1.00 -1.00 17 28 0.3974 0.6803 0.043997
185.00 C 20260814 -1.00 -1.00 20 160 0.3907 0.6376 0.047049
186.00 C 20260814 -1.00 -1.00 28 320 0.3713 0.5925 0.050790
187.00 C 20260814 -1.00 -1.00 43 145 0.3845 0.5403 0.050490
187.50 C 20260814 -1.00 -1.00 10 20 0.3294 0.5154 0.059705
188.00 C 20260814 -1.00 -1.00 54 92 0.3668 0.4894 0.053267
189.00 C 20260814 -1.00 -1.00 32 41 0.3709 0.4385 0.051634
190.00 C 20260814 -1.00 -1.00 55 119 0.3652 0.3852 0.051314
191.00 C 20260814 -1.00 -1.00 72 82 0.3785 0.3431 0.047527
192.00 C 20260814 -1.00 -1.00 108 121 0.3659 0.2924 0.045583
192.50 C 20260814 -1.00 -1.00 11 34 0.3788 0.2776 0.043021
193.00 C 20260814 -1.00 -1.00 18 19 0.3575 0.2412 0.042944
194.00 C 20260814 -1.00 -1.00 15 40 0.3417 0.1943 0.039051
195.00 C 20260814 -1.00 -1.00 14 52 0.3520 0.1655 0.034306
196.00 C 20260814 -1.00 -1.00 10 7 0.4037 0.1696 0.030354
197.00 C 20260814 -1.00 -1.00 3 7 0.3774 0.1245 0.026511
197.50 C 20260814 -1.00 -1.00 20 24 0.3851 0.1179 0.024924
198.00 C 20260814 -1.00 -1.00 16 24 0.3376 0.0740 0.020325
199.00 C 20260814 -1.00 -1.00 10 20 0.3922 0.0900 0.020040
200.00 C 20260814 -1.00 -1.00 86 145 0.3314 0.0409 0.012779
202.50 C 20260814 -1.00 -1.00 1 21 0.4890 0.0809 0.014918
205.00 C 20260814 -1.00 -1.00 3 12 0.5393 0.0698 0.012147
207.50 C 20260814 -1.00 -1.00 1 2 0.5227 0.0419 0.008259
210.00 C 20260814 -1.00 -1.00 1 5 0.5150 0.0247 0.005397
215.00 C 20260814 -1.00 -1.00 9 7 0.6338 0.0270 0.004738
220.00 C 20260814 -1.00 -1.00 1 1 0.7671 0.0311 0.004441
225.00 C 20260814 -1.00 -1.00 -1 0 0.9634 0.0483 0.005011
230.00 C 20260814 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
235.00 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
140.00 P 20260814 -1.00 -1.00 1 44 1.2225 -0.0113 0.001172
141.00 P 20260814 -1.00 -1.00 1 1 1.1952 -0.0115 0.001219
142.00 P 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
143.00 P 20260814 -1.00 -1.00 -1 0 1.3208 -0.0245 0.002124
144.00 P 20260814 -1.00 -1.00 -1 0 1.3308 -0.0286 0.002386
145.00 P 20260814 -1.00 -1.00 3 34 1.0878 -0.0125 0.001438
146.00 P 20260814 -1.00 -1.00 -1 0 1.1477 -0.0198 0.002015
147.00 P 20260814 -1.00 -1.00 -1 0 1.1373 -0.0214 0.002183
148.00 P 20260814 -1.00 -1.00 1 1 1.2034 -0.0304 0.002772
149.00 P 20260814 -1.00 -1.00 -1 0 1.1841 -0.0325 0.002967
150.00 P 20260814 -1.00 -1.00 1 30 0.9790 -0.0161 0.001974
151.00 P 20260814 -1.00 -1.00 -1 0 1.1009 -0.0307 0.003054
152.00 P 20260814 -1.00 -1.00 4 4 1.0126 -0.0245 0.002764
152.50 P 20260814 -1.00 -1.00 1 1 0.9576 -0.0212 0.002560
153.00 P 20260814 -1.00 -1.00 1 1 1.0609 -0.0349 0.003508
154.00 P 20260814 -1.00 -1.00 -1 0 1.0345 -0.0362 0.003701
155.00 P 20260814 -1.00 -1.00 1 33 1.2863 -0.0780 0.005482
156.00 P 20260814 -1.00 -1.00 -1 0 1.0188 -0.0443 0.004437
157.00 P 20260814 -1.00 -1.00 1 5 0.9694 -0.0424 0.004492
157.50 P 20260814 -1.00 -1.00 1 1 0.8800 -0.0302 0.003778
158.00 P 20260814 -1.00 -1.00 1 1 0.8712 -0.0316 0.003951
159.00 P 20260814 -1.00 -1.00 10 10 0.7601 -0.0211 0.003220
160.00 P 20260814 -1.00 -1.00 3 65 1.1200 -0.0885 0.006927
161.00 P 20260814 -1.00 -1.00 3 6 0.8111 -0.0391 0.005021
162.00 P 20260814 -1.00 -1.00 -1 0 0.6575 -0.0191 0.003397
162.50 P 20260814 -1.00 -1.00 3 4 0.6303 -0.0171 0.003228
163.00 P 20260814 -1.00 -1.00 1 32 0.6185 -0.0174 0.003339
164.00 P 20260814 -1.00 -1.00 49 60 0.7038 -0.0374 0.005589
165.00 P 20260814 -1.00 -1.00 11 377 0.6363 -0.0285 0.005014
