# opt_chain CLSK | epoch 1786625267 | 2026-08-13 08:47:47 | spot 12.18 | exps 20260814 20260821 20260828 20260904
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 60466 | band 0.6000 vencimientos 4 exp_hasta 2026-09-04
# strike right exp bid ask vol oi iv delta gamma
11.00 C 20260814 -1.00 -1.00 28 79 1.8303 0.8132 0.193276
11.50 C 20260814 -1.00 -1.00 165 697 1.0554 0.7924 0.359753
12.00 C 20260814 -1.00 -1.00 1048 3704 1.2444 0.5622 0.416988
12.50 C 20260814 -1.00 -1.00 1973 4954 1.2166 0.3546 0.405689
13.00 C 20260814 -1.00 -1.00 2058 2522 1.2376 0.1943 0.291322
13.50 C 20260814 -1.00 -1.00 448 790 1.2523 0.0908 0.170835
11.00 P 20260814 -1.00 -1.00 298 2569 1.0948 -0.0760 0.171218
11.50 P 20260814 -1.00 -1.00 643 6307 1.0385 -0.2046 0.361882
12.00 P 20260814 -1.00 -1.00 1162 1400 0.9188 -0.4257 0.560815
12.50 P 20260814 -1.00 -1.00 273 1547 0.8894 -0.7024 0.511792
13.00 P 20260814 -1.00 -1.00 278 532 -1.0000 -1.0000 -1.000000
13.50 P 20260814 -1.00 -1.00 109 939 -1.0000 -1.0000 -1.000000
11.00 C 20260821 -1.00 -1.00 161 187 1.0491 0.7541 0.164120
11.50 C 20260821 -1.00 -1.00 10 67 1.0771 0.6572 0.188116
12.00 C 20260821 -1.00 -1.00 447 750 0.9397 0.5560 0.231472
12.50 C 20260821 -1.00 -1.00 342 998 0.9082 0.4389 0.237426
13.00 C 20260821 -1.00 -1.00 648 2573 0.8880 0.3267 0.221915
13.50 C 20260821 -1.00 -1.00 636 936 0.9199 0.2401 0.186363
11.00 P 20260821 -1.00 -1.00 273 2546 0.8120 -0.1973 0.188763
11.50 P 20260821 -1.00 -1.00 70 1295 0.7499 -0.3028 0.256007
12.00 P 20260821 -1.00 -1.00 1259 6075 0.7597 -0.4435 0.286303
12.50 P 20260821 -1.00 -1.00 145 1260 0.6782 -0.5995 0.314918
13.00 P 20260821 -1.00 -1.00 162 3012 0.7287 -0.7197 0.254738
