# opt_chain F | epoch 1786626781 | 2026-08-13 09:13:01 | spot 13.83 | exps 20260814 20260821 20260828 20260904 20260911 20260918 20260925
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 61980 | band 0.4050 vencimientos 7 exp_hasta 2026-10-12
# strike right exp bid ask vol oi iv delta gamma
11.50 C 20260814 -1.00 -1.00 41 21 1.7328 0.9632 0.053373
12.00 C 20260814 -1.00 -1.00 28 30 -1.0000 -1.0000 -1.000000
12.50 C 20260814 -1.00 -1.00 3 8 -1.0000 -1.0000 -1.000000
13.00 C 20260814 -1.00 -1.00 52 73 -1.0000 -1.0000 -1.000000
13.50 C 20260814 -1.00 -1.00 747 449 0.2508 0.9626 0.388802
14.00 C 20260814 -1.00 -1.00 6440 12697 0.3330 0.3392 1.279164
14.50 C 20260814 -1.00 -1.00 1839 10229 0.4913 0.0774 0.341032
15.00 C 20260814 -1.00 -1.00 398 5236 0.7587 0.0534 0.163946
15.50 C 20260814 -1.00 -1.00 10 3285 1.0074 0.0419 0.101685
16.00 C 20260814 -1.00 -1.00 4 7034 1.3528 0.0509 0.088321
11.50 P 20260814 -1.00 -1.00 1 25 1.8711 -0.0483 0.061562
12.00 P 20260814 -1.00 -1.00 1 406 1.2947 -0.0323 0.064229
12.50 P 20260814 -1.00 -1.00 1 1385 0.9779 -0.0413 0.103328
13.00 P 20260814 -1.00 -1.00 685 2951 0.6735 -0.0578 0.198220
13.50 P 20260814 -1.00 -1.00 1961 4561 0.4075 -0.1362 0.623654
14.00 P 20260814 -1.00 -1.00 1212 5762 0.4291 -0.6247 1.029230
14.50 P 20260814 -1.00 -1.00 586 2319 0.5627 -0.8896 0.384824
15.00 P 20260814 -1.00 -1.00 83 368 0.9283 -0.9041 0.209974
15.50 P 20260814 -1.00 -1.00 31 68 1.2205 -0.9226 0.137467
16.00 P 20260814 -1.00 -1.00 5 18 1.5246 -0.9277 0.104611
11.50 C 20260821 -1.00 -1.00 3 2 -1.0000 -1.0000 -1.000000
12.00 C 20260821 -1.00 -1.00 5 131 -1.0000 -1.0000 -1.000000
12.50 C 20260821 -1.00 -1.00 4 10 -1.0000 -1.0000 -1.000000
13.00 C 20260821 -1.00 -1.00 8 399 0.3040 0.9280 0.226009
13.50 C 20260821 -1.00 -1.00 599 1032 0.2800 0.7469 0.551174
14.00 C 20260821 -1.00 -1.00 2540 10636 0.2859 0.4250 0.655332
14.50 C 20260821 -1.00 -1.00 3240 12419 0.3127 0.1822 0.402984
15.00 C 20260821 -1.00 -1.00 273 15448 0.3561 0.0751 0.190972
15.50 C 20260821 -1.00 -1.00 194 3602 0.4181 0.0418 0.101314
16.00 C 20260821 -1.00 -1.00 480 11118 0.5177 0.0351 0.071657
11.50 P 20260821 -1.00 -1.00 1 34 0.6685 -0.0266 0.044188
12.00 P 20260821 -1.00 -1.00 103 6856 0.5355 -0.0323 0.064398
12.50 P 20260821 -1.00 -1.00 24 858 0.4041 -0.0413 0.103682
13.00 P 20260821 -1.00 -1.00 194 26797 0.3119 -0.0806 0.228158
13.50 P 20260821 -1.00 -1.00 585 4365 0.3035 -0.2702 0.520011
14.00 P 20260821 -1.00 -1.00 664 8153 0.3120 -0.5667 0.601217
14.50 P 20260821 -1.00 -1.00 617 2678 0.3427 -0.7943 0.395861
15.00 P 20260821 -1.00 -1.00 174 2035 0.4014 -0.8937 0.215499
15.50 P 20260821 -1.00 -1.00 1 328 0.4971 -0.9267 0.133219
16.00 P 20260821 -1.00 -1.00 505 300 0.5970 -0.9369 0.097383
11.50 C 20260828 -1.00 -1.00 2 6 -1.0000 -1.0000 -1.000000
12.00 C 20260828 -1.00 -1.00 12 46 -1.0000 -1.0000 -1.000000
12.50 C 20260828 -1.00 -1.00 3 4 0.2956 0.9653 0.108737
13.00 C 20260828 -1.00 -1.00 16 53 0.3060 0.8590 0.265744
13.50 C 20260828 -1.00 -1.00 239 530 0.3073 0.6770 0.417688
14.00 C 20260828 -1.00 -1.00 319 1043 0.2883 0.4483 0.485707
14.50 C 20260828 -1.00 -1.00 1467 2798 0.2964 0.2384 0.374213
15.00 C 20260828 -1.00 -1.00 88 4095 0.3126 0.1163 0.220960
15.50 C 20260828 -1.00 -1.00 17 1011 0.3595 0.0678 0.129513
16.00 C 20260828 -1.00 -1.00 155 3807 0.3997 0.0432 0.080424
11.50 P 20260828 -1.00 -1.00 52 58 0.5342 -0.0383 0.054514
12.00 P 20260828 -1.00 -1.00 10 63 0.4319 -0.0464 0.078868
12.50 P 20260828 -1.00 -1.00 26 273 0.3337 -0.0588 0.124418
13.00 P 20260828 -1.00 -1.00 79 2628 0.3038 -0.1412 0.261221
13.50 P 20260828 -1.00 -1.00 582 1673 0.2998 -0.3198 0.422948
14.00 P 20260828 -1.00 -1.00 179 1054 0.2906 -0.5501 0.480195
14.50 P 20260828 -1.00 -1.00 41 300 0.3044 -0.7530 0.367798
15.00 P 20260828 -1.00 -1.00 3 601 0.3292 -0.8703 0.225175
15.50 P 20260828 -1.00 -1.00 3 2493 0.3904 -0.9104 0.143225
16.00 P 20260828 -1.00 -1.00 8 53 0.4647 -0.9276 0.102871
11.50 C 20260904 -1.00 -1.00 -1 0 0.4176 0.9760 0.050369
12.00 C 20260904 -1.00 -1.00 34 2 0.3677 0.9537 0.087119
12.50 C 20260904 -1.00 -1.00 3 3 0.3234 0.9124 0.152498
13.00 C 20260904 -1.00 -1.00 2 60 0.3085 0.8122 0.261095
13.50 C 20260904 -1.00 -1.00 57 167 0.3191 0.6480 0.347493
14.00 C 20260904 -1.00 -1.00 107 460 0.2995 0.4622 0.390231
14.50 C 20260904 -1.00 -1.00 191 848 0.2967 0.2829 0.334103
15.00 C 20260904 -1.00 -1.00 42 1154 0.3066 0.1572 0.230215
15.50 C 20260904 -1.00 -1.00 36 518 0.3176 0.0818 0.139395
16.00 C 20260904 -1.00 -1.00 9 919 0.3592 0.0576 0.093614
11.50 P 20260904 -1.00 -1.00 1 16 0.4426 -0.0383 0.054607
12.00 P 20260904 -1.00 -1.00 2 23 0.3577 -0.0465 0.079047
12.50 P 20260904 -1.00 -1.00 15 110 0.3154 -0.0856 0.144533
13.00 P 20260904 -1.00 -1.00 109 3313 0.3018 -0.1846 0.258390
13.50 P 20260904 -1.00 -1.00 322 899 0.2942 -0.3422 0.370517
14.00 P 20260904 -1.00 -1.00 189 505 0.2761 -0.5417 0.420164
14.50 P 20260904 -1.00 -1.00 28 441 0.2834 -0.7253 0.342585
15.00 P 20260904 -1.00 -1.00 6 126 0.3064 -0.8402 0.229488
15.50 P 20260904 -1.00 -1.00 15 25 0.3012 -0.9281 0.129680
16.00 P 20260904 -1.00 -1.00 1 3 0.3779 -0.9305 0.100026
11.50 C 20260911 -1.00 -1.00 -1 0 0.4472 0.9438 0.071646
12.00 C 20260911 -1.00 -1.00 24 0 0.3872 0.9177 0.106553
12.50 C 20260911 -1.00 -1.00 3 5 0.3446 0.8706 0.163947
13.00 C 20260911 -1.00 -1.00 2 24 0.3204 0.7772 0.245343
13.50 C 20260911 -1.00 -1.00 46 700 0.3195 0.6319 0.305679
14.00 C 20260911 -1.00 -1.00 235 379 0.3078 0.4711 0.332691
14.50 C 20260911 -1.00 -1.00 329 1095 0.3000 0.3126 0.302193
15.00 C 20260911 -1.00 -1.00 51 630 0.3013 0.1887 0.228942
15.50 C 20260911 -1.00 -1.00 8 334 0.3197 0.1164 0.156531
16.00 C 20260911 -1.00 -1.00 7 150 0.3470 0.0756 0.105700
11.50 P 20260911 -1.00 -1.00 1 22 0.3995 -0.0436 0.058645
12.00 P 20260911 -1.00 -1.00 2 483 0.3380 -0.0584 0.088514
12.50 P 20260911 -1.00 -1.00 6 158 0.3121 -0.1117 0.156140
13.00 P 20260911 -1.00 -1.00 50 417 0.2921 -0.2062 0.251194
13.50 P 20260911 -1.00 -1.00 571 621 0.2927 -0.3582 0.329060
14.00 P 20260911 -1.00 -1.00 88 614 0.2782 -0.5331 0.364877
14.50 P 20260911 -1.00 -1.00 10 425 0.2817 -0.6971 0.314067
15.00 P 20260911 -1.00 -1.00 104 30 0.2881 -0.8195 0.228929
15.50 P 20260911 -1.00 -1.00 2 2 0.2950 -0.8990 0.147615
16.00 P 20260911 -1.00 -1.00 1 1 0.3231 -0.9336 0.096872
12.00 C 20260918 -1.00 -1.00 31 748 0.4020 0.8886 0.114336
13.00 C 20260918 -1.00 -1.00 68 10019 0.3380 0.7429 0.222294
14.00 C 20260918 -1.00 -1.00 332 21608 0.3125 0.4771 0.295123
15.00 C 20260918 -1.00 -1.00 1377 39840 0.3181 0.2268 0.219862
16.00 C 20260918 -1.00 -1.00 139 32046 0.3371 0.0960 0.115507
12.00 P 20260918 -1.00 -1.00 294 38517 0.3354 -0.0779 0.099431
13.00 P 20260918 -1.00 -1.00 1269 23880 0.3005 -0.2336 0.235762
14.00 P 20260918 -1.00 -1.00 350 26610 0.2922 -0.5240 0.312900
