# opt_chain JOBY | epoch 1786625474 | 2026-08-13 08:51:14 | spot 7.96 | exps 20260814 20260821 20260828 20260904
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 60674 | band 0.6000 vencimientos 4 exp_hasta 2026-09-04
# strike right exp bid ask vol oi iv delta gamma
7.00 C 20260814 -1.00 -1.00 53 188 2.0860 0.8489 0.224441
7.50 C 20260814 -1.00 -1.00 29 857 1.1626 0.7981 0.488478
8.00 C 20260814 -1.00 -1.00 588 3990 0.9302 0.4706 0.859225
8.50 C 20260814 -1.00 -1.00 1048 2056 1.0465 0.1639 0.472892
7.00 P 20260814 -1.00 -1.00 35 1049 1.2829 -0.0526 0.167263
7.50 P 20260814 -1.00 -1.00 132 640 0.7557 -0.1060 0.484845
8.00 P 20260814 -1.00 -1.00 2337 2870 0.8105 -0.5372 0.984095
8.50 P 20260814 -1.00 -1.00 190 1399 0.9351 -0.8673 0.465467
7.00 C 20260821 -1.00 -1.00 73 2161 0.8375 0.8581 0.223282
7.50 C 20260821 -1.00 -1.00 24 837 0.7058 0.7267 0.392324
8.00 C 20260821 -1.00 -1.00 704 4467 0.7774 0.5054 0.431125
8.50 C 20260821 -1.00 -1.00 176 1104 0.7247 0.2934 0.395409
7.00 P 20260821 -1.00 -1.00 129 3098 0.7029 -0.1045 0.215341
7.50 P 20260821 -1.00 -1.00 1667 1745 0.6345 -0.2549 0.421829
8.00 P 20260821 -1.00 -1.00 959 5574 0.6966 -0.4999 0.481916
8.50 P 20260821 -1.00 -1.00 38 215 0.7275 -0.7070 0.395910
7.00 C 20260828 -1.00 -1.00 1 38 0.9889 0.7692 0.189768
7.50 C 20260828 -1.00 -1.00 66 363 0.7447 0.6810 0.299773
8.00 C 20260828 -1.00 -1.00 273 534 0.7256 0.5172 0.341940
8.50 C 20260828 -1.00 -1.00 174 762 0.7122 0.3547 0.323316
7.00 P 20260828 -1.00 -1.00 335 474 0.7233 -0.1738 0.219018
7.50 P 20260828 -1.00 -1.00 118 454 0.6919 -0.3114 0.318524
8.00 P 20260828 -1.00 -1.00 169 320 0.6890 -0.4862 0.361256
8.50 P 20260828 -1.00 -1.00 23 246 0.6804 -0.6558 0.336475
7.00 C 20260904 -1.00 -1.00 8 155 0.9258 0.7512 0.174817
7.50 C 20260904 -1.00 -1.00 3 79 0.7365 0.6646 0.255237
8.00 C 20260904 -1.00 -1.00 24 160 0.7527 0.5286 0.273326
8.50 C 20260904 -1.00 -1.00 152 223 0.7434 0.3957 0.269148
7.00 P 20260904 -1.00 -1.00 3 159 0.7284 -0.2082 0.203675
7.50 P 20260904 -1.00 -1.00 131 173 0.6579 -0.3250 0.284614
8.00 P 20260904 -1.00 -1.00 4 93 0.6582 -0.4789 0.314064
8.50 P 20260904 -1.00 -1.00 4 13 0.4986 -0.6806 0.371505
9.00 C 20260814 -1.00 -1.00 1302 4106 1.2193 0.0577 0.188549
9.00 P 20260814 -1.00 -1.00 616 811 1.2355 -0.9405 0.192896
9.00 C 20260821 -1.00 -1.00 470 5208 0.7882 0.1649 0.262768
9.00 P 20260821 -1.00 -1.00 183 5755 0.7036 -0.8681 0.259411
9.00 C 20260828 -1.00 -1.00 68 834 0.7104 0.2220 0.258300
9.00 P 20260828 -1.00 -1.00 10 79 0.7886 -0.7544 0.251142
9.00 C 20260904 -1.00 -1.00 23 373 0.7335 0.2795 0.235863
9.00 P 20260904 -1.00 -1.00 1 5 0.6608 -0.7519 0.251782
6.00 C 20260814 -1.00 -1.00 4 75 3.0265 0.9443 0.075113
6.50 C 20260814 -1.00 -1.00 1 20 2.9967 0.8787 0.135646
6.00 P 20260814 -1.00 -1.00 2 363 2.5962 -0.0354 0.059723
6.50 P 20260814 -1.00 -1.00 29 207 1.8599 -0.0374 0.087211
6.00 C 20260821 -1.00 -1.00 2 196 1.1284 0.9587 0.064775
6.50 C 20260821 -1.00 -1.00 1 9 1.8893 0.8033 0.123307
6.00 P 20260821 -1.00 -1.00 1 2043 1.1289 -0.0413 0.064865
6.50 P 20260821 -1.00 -1.00 24 986 0.7755 -0.0374 0.086881
6.00 C 20260828 -1.00 -1.00 5 10 1.3144 0.8829 0.092496
6.50 C 20260828 -1.00 -1.00 10 13 1.4508 0.7977 0.120357
6.00 P 20260828 -1.00 -1.00 10 398 0.9393 -0.0563 0.075134
6.50 P 20260828 -1.00 -1.00 302 908 0.7126 -0.0715 0.117772
6.00 C 20260904 -1.00 -1.00 5 5 1.0223 0.8963 0.091150
6.50 C 20260904 -1.00 -1.00 1 3 1.2397 0.7937 0.117977
6.00 P 20260904 -1.00 -1.00 6 26 0.8142 -0.0647 0.079340
6.50 P 20260904 -1.00 -1.00 8 45 0.7223 -0.1077 0.132508
9.50 C 20260814 -1.00 -1.00 726 1955 1.6248 0.0452 0.116291
10.00 C 20260814 -1.00 -1.00 52 1771 2.0963 0.0470 0.092881
9.50 P 20260814 -1.00 -1.00 34 45 -1.0000 -1.0000 -1.000000
10.00 P 20260814 -1.00 -1.00 2 9 -1.0000 -1.0000 -1.000000
9.50 C 20260821 -1.00 -1.00 236 1010 0.8122 0.0814 0.155277
10.00 C 20260821 -1.00 -1.00 94 4871 0.9059 0.0552 0.101652
9.50 P 20260821 -1.00 -1.00 10 59 -1.0000 -1.0000 -1.000000
10.00 P 20260821 -1.00 -1.00 5 1899 -1.0000 -1.0000 -1.000000
9.50 C 20260828 -1.00 -1.00 189 724 0.7877 0.1520 0.186295
10.00 C 20260828 -1.00 -1.00 269 1009 0.8306 0.1052 0.134249
9.50 P 20260828 -1.00 -1.00 6 10 0.6135 -0.9168 0.164663
10.00 P 20260828 -1.00 -1.00 2 28 -1.0000 -1.0000 -1.000000
9.50 C 20260904 -1.00 -1.00 53 369 0.7397 0.1927 0.188584
10.00 C 20260904 -1.00 -1.00 1 185 0.7766 0.1380 0.145164
9.50 P 20260904 -1.00 -1.00 1 10 0.5857 -0.8790 0.185557
10.00 P 20260904 -1.00 -1.00 1 10 -1.0000 -1.0000 -1.000000
5.00 C 20260814 -1.00 -1.00 8 14 5.2239 0.9430 0.043808
5.50 C 20260814 -1.00 -1.00 7 8 4.0424 0.9440 0.056208
5.00 P 20260814 -1.00 -1.00 10 34 3.8056 -0.0193 0.024622
5.50 P 20260814 -1.00 -1.00 2 73 4.1899 -0.0627 0.058804
5.00 C 20260821 -1.00 -1.00 5 67 1.9453 0.9580 0.038288
5.50 C 20260821 -1.00 -1.00 1 2 2.5500 0.8742 0.067276
5.00 P 20260821 -1.00 -1.00 11 152 1.6782 -0.0237 0.027849
5.50 P 20260821 -1.00 -1.00 5 87 1.3088 -0.0233 0.035246
5.00 C 20260828 -1.00 -1.00 12 12 2.8671 0.8618 0.047588
5.50 C 20260828 -1.00 -1.00 1 1 1.1331 0.9567 0.049846
5.00 P 20260828 -1.00 -1.00 1 27 1.4735 -0.0444 0.039305
5.50 P 20260828 -1.00 -1.00 31 33 1.0119 -0.0285 0.039619
5.00 C 20260904 -1.00 -1.00 10 4 2.2715 0.8668 0.048398
5.50 C 20260904 -1.00 -1.00 -1 0 1.7999 0.8545 0.064963
5.00 P 20260904 -1.00 -1.00 278 37 1.1281 -0.0350 0.034723
5.50 P 20260904 -1.00 -1.00 2 43 0.9628 -0.0460 0.051266
10.50 C 20260814 -1.00 -1.00 12 372 2.3459 0.0335 0.063664
11.00 C 20260814 -1.00 -1.00 2 249 2.6422 0.0302 0.051426
10.50 P 20260814 -1.00 -1.00 4 23 -1.0000 -1.0000 -1.000000
11.00 P 20260814 -1.00 -1.00 1 8 -1.0000 -1.0000 -1.000000
10.50 C 20260821 -1.00 -1.00 101 578 0.9733 0.0336 0.063870
11.00 C 20260821 -1.00 -1.00 27 4890 1.0968 0.0302 0.051559
10.50 P 20260821 -1.00 -1.00 1 8 -1.0000 -1.0000 -1.000000
11.00 P 20260821 -1.00 -1.00 6 1013 1.3441 -0.9337 0.081853
10.50 C 20260828 -1.00 -1.00 77 441 0.8836 0.0738 0.097599
