# opt_chain JPM | epoch 1786626904 | 2026-08-13 09:15:04 | spot 365.18 | exps 20260814 20260821 20260828 20260904 20260911 20260918 20260925
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 62104 | band 0.1800 vencimientos 7 exp_hasta 2026-10-12
# strike right exp bid ask vol oi iv delta gamma
322.50 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
325.00 C 20260814 -1.00 -1.00 1 12 -1.0000 -1.0000 -1.000000
327.50 C 20260814 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
330.00 C 20260814 -1.00 -1.00 5 23 -1.0000 -1.0000 -1.000000
332.50 C 20260814 -1.00 -1.00 3 16 -1.0000 -1.0000 -1.000000
335.00 C 20260814 -1.00 -1.00 4 65 -1.0000 -1.0000 -1.000000
337.50 C 20260814 -1.00 -1.00 14 15 -1.0000 -1.0000 -1.000000
340.00 C 20260814 -1.00 -1.00 6 77 -1.0000 -1.0000 -1.000000
342.50 C 20260814 -1.00 -1.00 3 45 -1.0000 -1.0000 -1.000000
345.00 C 20260814 -1.00 -1.00 9 501 -1.0000 -1.0000 -1.000000
347.50 C 20260814 -1.00 -1.00 31 72 -1.0000 -1.0000 -1.000000
350.00 C 20260814 -1.00 -1.00 67 530 -1.0000 -1.0000 -1.000000
352.50 C 20260814 -1.00 -1.00 41 46 -1.0000 -1.0000 -1.000000
355.00 C 20260814 -1.00 -1.00 195 315 -1.0000 -1.0000 -1.000000
357.50 C 20260814 -1.00 -1.00 164 1033 -1.0000 -1.0000 -1.000000
360.00 C 20260814 -1.00 -1.00 314 2587 -1.0000 -1.0000 -1.000000
362.50 C 20260814 -1.00 -1.00 232 1669 -1.0000 -1.0000 -1.000000
365.00 C 20260814 -1.00 -1.00 1250 2025 -1.0000 -1.0000 -1.000000
367.50 C 20260814 -1.00 -1.00 564 680 0.1020 0.6146 0.163571
370.00 C 20260814 -1.00 -1.00 985 2557 0.1475 0.2997 0.102370
372.50 C 20260814 -1.00 -1.00 241 2136 0.1713 0.1369 0.056346
375.00 C 20260814 -1.00 -1.00 187 1539 0.1867 0.0585 0.027154
377.50 C 20260814 -1.00 -1.00 83 166 0.1954 0.0205 0.010850
380.00 C 20260814 -1.00 -1.00 9 444 0.2310 0.0132 0.006363
382.50 C 20260814 -1.00 -1.00 1 76 0.2992 0.0210 0.007241
385.00 C 20260814 -1.00 -1.00 1 1194 0.2902 0.0067 0.002741
387.50 C 20260814 -1.00 -1.00 1 1 0.5280 0.0622 0.010093
390.00 C 20260814 -1.00 -1.00 3 714 0.3655 0.0054 0.001818
392.50 C 20260814 -1.00 -1.00 18 29 0.4744 0.0151 0.003467
395.00 C 20260814 -1.00 -1.00 81 83 0.6963 0.0559 0.006996
397.50 C 20260814 -1.00 -1.00 4 5 -1.0000 -1.0000 -1.000000
400.00 C 20260814 -1.00 -1.00 8 91 0.7919 0.0500 0.005611
405.00 C 20260814 -1.00 -1.00 25 84 0.7303 0.0191 0.002740
322.50 P 20260814 -1.00 -1.00 17 25 0.9886 -0.0142 0.001570
325.00 P 20260814 -1.00 -1.00 3 118 0.8026 -0.0056 0.000850
327.50 P 20260814 -1.00 -1.00 28 99 0.7576 -0.0059 0.000944
330.00 P 20260814 -1.00 -1.00 4 478 0.7128 -0.0062 0.001055
332.50 P 20260814 -1.00 -1.00 15 224 0.6684 -0.0066 0.001186
335.00 P 20260814 -1.00 -1.00 16 2098 0.6036 -0.0054 0.001089
337.50 P 20260814 -1.00 -1.00 1 177 0.5704 -0.0067 0.001397
340.00 P 20260814 -1.00 -1.00 35 1540 0.5818 -0.0124 0.002399
342.50 P 20260814 -1.00 -1.00 13 1206 0.4634 -0.0056 0.001469
345.00 P 20260814 -1.00 -1.00 396 1181 0.4310 -0.0073 0.002009
347.50 P 20260814 -1.00 -1.00 312 505 0.4091 -0.0105 0.002955
350.00 P 20260814 -1.00 -1.00 541 1222 0.3754 -0.0142 0.004147
352.50 P 20260814 -1.00 -1.00 797 1023 0.3497 -0.0224 0.006582
355.00 P 20260814 -1.00 -1.00 678 1196 0.3354 -0.0401 0.011111
357.50 P 20260814 -1.00 -1.00 812 552 0.3272 -0.0725 0.018397
360.00 P 20260814 -1.00 -1.00 2438 1287 0.3290 -0.1335 0.028786
362.50 P 20260814 -1.00 -1.00 999 541 0.3431 -0.2299 0.038987
365.00 P 20260814 -1.00 -1.00 1185 911 0.3629 -0.3465 0.044916
367.50 P 20260814 -1.00 -1.00 209 175 0.4000 -0.4662 0.043539
370.00 P 20260814 -1.00 -1.00 20 19 0.4493 -0.5636 0.038152
372.50 P 20260814 -1.00 -1.00 29 39 0.5178 -0.6358 0.032081
375.00 P 20260814 -1.00 -1.00 -1 0 0.5673 -0.6899 0.027081
377.50 P 20260814 -1.00 -1.00 4 0 0.7016 -0.7065 0.021333
380.00 P 20260814 -1.00 -1.00 2 0 0.7399 -0.7457 0.018993
382.50 P 20260814 -1.00 -1.00 -1 0 0.8361 -0.7612 0.016383
385.00 P 20260814 -1.00 -1.00 -1 0 0.9386 -0.7689 0.014283
387.50 P 20260814 -1.00 -1.00 2 0 1.0154 -0.7801 0.012765
390.00 P 20260814 -1.00 -1.00 5 0 1.0798 -0.7922 0.011560
392.50 P 20260814 -1.00 -1.00 -1 0 1.1517 -0.8011 0.010531
395.00 P 20260814 -1.00 -1.00 -1 0 1.2114 -0.8115 0.009677
397.50 P 20260814 -1.00 -1.00 -1 0 1.2746 -0.8200 0.008937
400.00 P 20260814 -1.00 -1.00 -1 0 1.3882 -0.8173 0.008281
405.00 P 20260814 -1.00 -1.00 -1 0 1.4812 -0.8370 0.007248
322.50 C 20260821 -1.00 -1.00 1 5 -1.0000 -1.0000 -1.000000
325.00 C 20260821 -1.00 -1.00 45 426 -1.0000 -1.0000 -1.000000
327.50 C 20260821 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
330.00 C 20260821 -1.00 -1.00 20 1549 -1.0000 -1.0000 -1.000000
332.50 C 20260821 -1.00 -1.00 1 27 -1.0000 -1.0000 -1.000000
335.00 C 20260821 -1.00 -1.00 12 1850 -1.0000 -1.0000 -1.000000
337.50 C 20260821 -1.00 -1.00 3 19 -1.0000 -1.0000 -1.000000
340.00 C 20260821 -1.00 -1.00 44 3445 -1.0000 -1.0000 -1.000000
342.50 C 20260821 -1.00 -1.00 1 97 -1.0000 -1.0000 -1.000000
345.00 C 20260821 -1.00 -1.00 9 2874 -1.0000 -1.0000 -1.000000
347.50 C 20260821 -1.00 -1.00 10 173 -1.0000 -1.0000 -1.000000
350.00 C 20260821 -1.00 -1.00 210 3810 -1.0000 -1.0000 -1.000000
352.50 C 20260821 -1.00 -1.00 39 345 -1.0000 -1.0000 -1.000000
355.00 C 20260821 -1.00 -1.00 536 3447 -1.0000 -1.0000 -1.000000
357.50 C 20260821 -1.00 -1.00 12 483 -1.0000 -1.0000 -1.000000
360.00 C 20260821 -1.00 -1.00 210 3529 -1.0000 -1.0000 -1.000000
362.50 C 20260821 -1.00 -1.00 390 847 0.1059 0.8402 0.041158
365.00 C 20260821 -1.00 -1.00 1752 4760 0.1261 0.6847 0.050984
367.50 C 20260821 -1.00 -1.00 367 717 0.1406 0.5452 0.051003
370.00 C 20260821 -1.00 -1.00 471 2590 0.1482 0.4242 0.047605
372.50 C 20260821 -1.00 -1.00 125 470 0.1533 0.3185 0.041945
375.00 C 20260821 -1.00 -1.00 445 4792 0.1558 0.2257 0.035011
377.50 C 20260821 -1.00 -1.00 84 124 0.1592 0.1555 0.027083
380.00 C 20260821 -1.00 -1.00 356 2668 0.1575 0.0976 0.019605
385.00 C 20260821 -1.00 -1.00 215 1600 0.1766 0.0501 0.010437
390.00 C 20260821 -1.00 -1.00 26 593 0.1765 0.0154 0.003918
395.00 C 20260821 -1.00 -1.00 37 162 0.2630 0.0401 0.005874
400.00 C 20260821 -1.00 -1.00 5 187 0.3053 0.0373 0.004789
405.00 C 20260821 -1.00 -1.00 1 36 0.3651 0.0450 0.004637
322.50 P 20260821 -1.00 -1.00 8 113 0.4081 -0.0137 0.001530
325.00 P 20260821 -1.00 -1.00 114 878 0.3684 -0.0103 0.001337
327.50 P 20260821 -1.00 -1.00 3 344 0.3938 -0.0222 0.002400
330.00 P 20260821 -1.00 -1.00 19 6316 0.3708 -0.0229 0.002622
332.50 P 20260821 -1.00 -1.00 3 215 0.3161 -0.0145 0.002078
335.00 P 20260821 -1.00 -1.00 190 1921 0.3010 -0.0173 0.002528
337.50 P 20260821 -1.00 -1.00 7 223 0.3047 -0.0262 0.003593
340.00 P 20260821 -1.00 -1.00 261 2704 0.2937 -0.0329 0.004497
342.50 P 20260821 -1.00 -1.00 12 893 0.2712 -0.0359 0.005211
345.00 P 20260821 -1.00 -1.00 464 1126 0.2757 -0.0555 0.007317
347.50 P 20260821 -1.00 -1.00 28 233 0.2554 -0.0617 0.008648
350.00 P 20260821 -1.00 -1.00 646 1379 0.2510 -0.0872 0.011330
352.50 P 20260821 -1.00 -1.00 256 425 0.2485 -0.1170 0.014336
355.00 P 20260821 -1.00 -1.00 594 1064 0.2430 -0.1548 0.017633
357.50 P 20260821 -1.00 -1.00 120 239 0.2395 -0.2007 0.021230
360.00 P 20260821 -1.00 -1.00 531 972 0.2447 -0.2640 0.024086
362.50 P 20260821 -1.00 -1.00 163 389 0.2446 -0.3274 0.026866
365.00 P 20260821 -1.00 -1.00 497 314 0.2509 -0.3997 0.027791
367.50 P 20260821 -1.00 -1.00 28 40 0.2486 -0.4701 0.029182
370.00 P 20260821 -1.00 -1.00 31 101 0.2600 -0.5388 0.027642
372.50 P 20260821 -1.00 -1.00 130 132 0.2672 -0.6035 0.026237
375.00 P 20260821 -1.00 -1.00 21 21 0.2773 -0.6593 0.024110
377.50 P 20260821 -1.00 -1.00 1 1 0.3038 -0.6959 0.020853
380.00 P 20260821 -1.00 -1.00 10 15 0.3414 -0.7189 0.017907
385.00 P 20260821 -1.00 -1.00 1 4 0.4042 -0.7597 0.014167
390.00 P 20260821 -1.00 -1.00 2 0 0.4567 -0.7866 0.011587
395.00 P 20260821 -1.00 -1.00 -1 0 0.5195 -0.8020 0.009698
400.00 P 20260821 -1.00 -1.00 4 0 0.5476 -0.8307 0.008366
405.00 P 20260821 -1.00 -1.00 1 0 0.6250 -0.8312 0.007310
325.00 C 20260828 -1.00 -1.00 1 12 -1.0000 -1.0000 -1.000000
330.00 C 20260828 -1.00 -1.00 3 23 -1.0000 -1.0000 -1.000000
332.50 C 20260828 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
335.00 C 20260828 -1.00 -1.00 2 37 -1.0000 -1.0000 -1.000000
337.50 C 20260828 -1.00 -1.00 -1 0 -1.0000 -1.0000 -1.000000
340.00 C 20260828 -1.00 -1.00 7 131 -1.0000 -1.0000 -1.000000
342.50 C 20260828 -1.00 -1.00 7 7 -1.0000 -1.0000 -1.000000
345.00 C 20260828 -1.00 -1.00 56 201 -1.0000 -1.0000 -1.000000
347.50 C 20260828 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
350.00 C 20260828 -1.00 -1.00 4 223 -1.0000 -1.0000 -1.000000
352.50 C 20260828 -1.00 -1.00 2 3 -1.0000 -1.0000 -1.000000
355.00 C 20260828 -1.00 -1.00 32 583 0.0008 0.9993 0.000000
357.50 C 20260828 -1.00 -1.00 8 5 0.1141 0.9026 0.019928
360.00 C 20260828 -1.00 -1.00 17 716 0.1408 0.7942 0.027140
362.50 C 20260828 -1.00 -1.00 10 19 0.1468 0.7097 0.031043
365.00 C 20260828 -1.00 -1.00 32 304 0.1538 0.6231 0.032961
367.50 C 20260828 -1.00 -1.00 81 76 0.1601 0.5375 0.033289
370.00 C 20260828 -1.00 -1.00 215 1132 0.1650 0.4577 0.032015
372.50 C 20260828 -1.00 -1.00 21 33 0.1691 0.3819 0.030361
375.00 C 20260828 -1.00 -1.00 149 1250 0.1706 0.3144 0.027681
377.50 C 20260828 -1.00 -1.00 48 51 0.1740 0.2522 0.024667
380.00 C 20260828 -1.00 -1.00 30 307 0.1701 0.1938 0.021445
385.00 C 20260828 -1.00 -1.00 17 246 0.1713 0.1091 0.014461
390.00 C 20260828 -1.00 -1.00 26 138 0.1765 0.0597 0.008910
395.00 C 20260828 -1.00 -1.00 13 122 0.1908 0.0371 0.005657
400.00 C 20260828 -1.00 -1.00 2 97 0.2366 0.0469 0.005467
405.00 C 20260828 -1.00 -1.00 1 4 0.2933 0.0608 0.005443
325.00 P 20260828 -1.00 -1.00 29 110 0.2734 -0.0103 0.001331
330.00 P 20260828 -1.00 -1.00 13 110 0.2944 -0.0297 0.003060
332.50 P 20260828 -1.00 -1.00 9 7 0.2787 -0.0326 0.003470
335.00 P 20260828 -1.00 -1.00 5 108 0.2819 -0.0467 0.004585
337.50 P 20260828 -1.00 -1.00 8 20 0.2581 -0.0459 0.004933
340.00 P 20260828 -1.00 -1.00 25 382 0.2651 -0.0632 0.006297
342.50 P 20260828 -1.00 -1.00 11 57 0.2587 -0.0800 0.007629
345.00 P 20260828 -1.00 -1.00 8 241 0.2433 -0.0900 0.008853
347.50 P 20260828 -1.00 -1.00 21 51 0.2446 -0.1152 0.010662
350.00 P 20260828 -1.00 -1.00 97 524 0.2349 -0.1366 0.012478
352.50 P 20260828 -1.00 -1.00 14 24 0.2313 -0.1704 0.014580
355.00 P 20260828 -1.00 -1.00 246 445 0.2343 -0.2110 0.016651
