# opt_chain LYFT | epoch 1786627022 | 2026-08-13 09:17:02 | spot 16.58 | exps 20260814 20260821 20260828 20260904 20260911 20260918 20260925
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 62222 | band 0.6000 vencimientos 7 exp_hasta 2026-10-12
# strike right exp bid ask vol oi iv delta gamma
12.50 C 20260814 -1.00 -1.00 2 71 3.0974 0.9444 0.035231
13.00 C 20260814 -1.00 -1.00 17 90 3.0461 0.9172 0.047983
13.50 C 20260814 -1.00 -1.00 1 5 2.2973 0.9387 0.051161
14.00 C 20260814 -1.00 -1.00 3 43 -1.0000 -1.0000 -1.000000
14.50 C 20260814 -1.00 -1.00 3 166 -1.0000 -1.0000 -1.000000
15.00 C 20260814 -1.00 -1.00 15 234 -1.0000 -1.0000 -1.000000
15.50 C 20260814 -1.00 -1.00 4 174 -1.0000 -1.0000 -1.000000
16.00 C 20260814 -1.00 -1.00 90 632 -1.0000 -1.0000 -1.000000
16.50 C 20260814 -1.00 -1.00 3320 1741 0.4566 0.6236 0.804979
17.00 C 20260814 -1.00 -1.00 848 2353 0.5038 0.2548 0.616988
17.50 C 20260814 -1.00 -1.00 357 1327 0.5855 0.0880 0.261581
18.00 C 20260814 -1.00 -1.00 265 2433 0.7815 0.0572 0.140597
18.50 C 20260814 -1.00 -1.00 186 1330 0.9455 0.0379 0.083729
19.00 C 20260814 -1.00 -1.00 66 574 1.1921 0.0399 0.069154
19.50 C 20260814 -1.00 -1.00 28 234 1.3127 0.0286 0.047762
20.00 C 20260814 -1.00 -1.00 8 902 1.5631 0.0319 0.044151
20.50 C 20260814 -1.00 -1.00 8 8 2.1059 0.0645 0.057434
21.00 C 20260814 -1.00 -1.00 2 58 3.0403 0.1306 0.067070
12.50 P 20260814 -1.00 -1.00 1 88 2.7373 -0.0396 0.029827
13.00 P 20260814 -1.00 -1.00 3 2524 1.9602 -0.0187 0.022251
13.50 P 20260814 -1.00 -1.00 10 556 2.3692 -0.0679 0.053311
14.00 P 20260814 -1.00 -1.00 3 446 2.0323 -0.0776 0.068521
14.50 P 20260814 -1.00 -1.00 30 365 1.2577 -0.0362 0.060418
15.00 P 20260814 -1.00 -1.00 4 350 0.9449 -0.0364 0.080801
15.50 P 20260814 -1.00 -1.00 4 689 0.7397 -0.0584 0.152319
16.00 P 20260814 -1.00 -1.00 679 1146 0.6660 -0.1687 0.363098
16.50 P 20260814 -1.00 -1.00 560 814 0.6926 -0.4137 0.541708
17.00 P 20260814 -1.00 -1.00 429 483 0.8911 -0.6392 0.410618
17.50 P 20260814 -1.00 -1.00 151 373 0.8514 -0.8192 0.297548
18.00 P 20260814 -1.00 -1.00 140 91 1.2226 -0.8384 0.193490
18.50 P 20260814 -1.00 -1.00 3 4 1.4270 -0.8733 0.140939
19.00 P 20260814 -1.00 -1.00 1 0 1.5606 -0.9045 0.104584
19.50 P 20260814 -1.00 -1.00 2 2 3.3307 -0.7455 0.093758
20.00 P 20260814 -1.00 -1.00 2 2 3.2062 -0.7907 0.086121
20.50 P 20260814 -1.00 -1.00 1 0 3.1336 -0.8342 0.076957
21.00 P 20260814 -1.00 -1.00 4 1 3.8698 -0.7977 0.069888
12.50 C 20260821 -1.00 -1.00 1 67 2.0685 0.8576 0.043236
13.00 C 20260821 -1.00 -1.00 2 347 0.8912 0.9736 0.027547
13.50 C 20260821 -1.00 -1.00 4 5 1.5816 0.8398 0.061300
14.00 C 20260821 -1.00 -1.00 63 6513 -1.0000 -1.0000 -1.000000
14.50 C 20260821 -1.00 -1.00 1 154 0.8130 0.8844 0.096530
15.00 C 20260821 -1.00 -1.00 146 3582 -1.0000 -1.0000 -1.000000
