# opt_chain PYPL | epoch 1786625407 | 2026-08-13 08:50:07 | spot 59.20 | exps 20260814 20260821 20260828 20260904
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 60607 | band 0.1800 vencimientos 4 exp_hasta 2026-09-04
# strike right exp bid ask vol oi iv delta gamma
53.00 C 20260814 -1.00 -1.00 3 43 -1.0000 -1.0000 -1.000000
54.00 C 20260814 -1.00 -1.00 8 580 -1.0000 -1.0000 -1.000000
55.00 C 20260814 -1.00 -1.00 21 468 -1.0000 -1.0000 -1.000000
56.00 C 20260814 -1.00 -1.00 3 159 -1.0000 -1.0000 -1.000000
57.00 C 20260814 -1.00 -1.00 12 613 -1.0000 -1.0000 -1.000000
58.00 C 20260814 -1.00 -1.00 138 1847 -1.0000 -1.0000 -1.000000
59.00 C 20260814 -1.00 -1.00 915 3342 -1.0000 -1.0000 -1.000000
60.00 C 20260814 -1.00 -1.00 905 6774 0.2712 0.3515 0.369810
61.00 C 20260814 -1.00 -1.00 982 4396 0.3390 0.1390 0.176403
62.00 C 20260814 -1.00 -1.00 124 2372 0.4347 0.0749 0.087292
63.00 C 20260814 -1.00 -1.00 36 2591 0.5111 0.0438 0.048034
64.00 C 20260814 -1.00 -1.00 10 160 0.5703 0.0244 0.026541
65.00 C 20260814 -1.00 -1.00 108 878 0.6474 0.0168 0.017035
66.00 C 20260814 -1.00 -1.00 60 108 0.7478 0.0149 0.013333
53.00 P 20260814 -1.00 -1.00 216 418 0.9960 -0.0269 0.016727
54.00 P 20260814 -1.00 -1.00 2 147 0.8159 -0.0249 0.019006
55.00 P 20260814 -1.00 -1.00 50 1551 0.6933 -0.0290 0.025679
56.00 P 20260814 -1.00 -1.00 51 1160 0.5421 -0.0307 0.034283
57.00 P 20260814 -1.00 -1.00 1028 2981 0.4333 -0.0497 0.062839
58.00 P 20260814 -1.00 -1.00 152 1600 0.4102 -0.1421 0.147052
59.00 P 20260814 -1.00 -1.00 41 690 0.4556 -0.3556 0.221466
60.00 P 20260814 -1.00 -1.00 15 334 0.6321 -0.5579 0.166898
61.00 P 20260814 -1.00 -1.00 5 28 0.8021 -0.6669 0.121652
62.00 P 20260814 -1.00 -1.00 2 8 1.3040 -0.6685 0.074517
63.00 P 20260814 -1.00 -1.00 -1 0 1.4854 -0.7060 0.061917
64.00 P 20260814 -1.00 -1.00 2 3 1.2766 -0.7995 0.058648
65.00 P 20260814 -1.00 -1.00 4 2 1.4162 -0.8220 0.049073
66.00 P 20260814 -1.00 -1.00 8 0 2.1722 -0.7527 0.039388
52.50 C 20260821 -1.00 -1.00 1 1454 0.0008 0.9998 -0.000000
53.00 C 20260821 -1.00 -1.00 4 54 -1.0000 -1.0000 -1.000000
54.00 C 20260821 -1.00 -1.00 1501 519 -1.0000 -1.0000 -1.000000
55.00 C 20260821 -1.00 -1.00 372 5075 -1.0000 -1.0000 -1.000000
56.00 C 20260821 -1.00 -1.00 23 760 -1.0000 -1.0000 -1.000000
57.00 C 20260821 -1.00 -1.00 97 1175 -1.0000 -1.0000 -1.000000
57.50 C 20260821 -1.00 -1.00 60 1740 -1.0000 -1.0000 -1.000000
58.00 C 20260821 -1.00 -1.00 45 283 0.1715 0.8608 0.143999
59.00 C 20260821 -1.00 -1.00 590 1581 0.2158 0.6342 0.194984
60.00 C 20260821 -1.00 -1.00 1085 14790 0.2337 0.4387 0.187364
61.00 C 20260821 -1.00 -1.00 255 1979 0.2502 0.2821 0.150057
62.00 C 20260821 -1.00 -1.00 156 1735 0.2787 0.1852 0.106176
62.50 C 20260821 -1.00 -1.00 40 17641 0.3025 0.1577 0.088714
63.00 C 20260821 -1.00 -1.00 41 412 0.2868 0.1078 0.071489
64.00 C 20260821 -1.00 -1.00 43 357 0.3423 0.0904 0.052686
65.00 C 20260821 -1.00 -1.00 301 6891 0.4145 0.0896 0.043240
66.00 C 20260821 -1.00 -1.00 7 160 0.3938 0.0472 0.027533
52.50 P 20260821 -1.00 -1.00 7 59 0.6549 -0.0919 0.027877
53.00 P 20260821 -1.00 -1.00 1 358 0.3930 -0.0217 0.014568
54.00 P 20260821 -1.00 -1.00 3 240 0.3768 -0.0383 0.024367
55.00 P 20260821 -1.00 -1.00 162 2569 0.3125 -0.0417 0.031411
56.00 P 20260821 -1.00 -1.00 350 1855 0.3181 -0.0929 0.057842
57.00 P 20260821 -1.00 -1.00 176 1340 0.3496 -0.1907 0.086718
57.50 P 20260821 -1.00 -1.00 28 1439 0.3037 -0.2072 0.105747
58.00 P 20260821 -1.00 -1.00 42 1621 0.3134 -0.2732 0.117962
59.00 P 20260821 -1.00 -1.00 514 833 0.3245 -0.4058 0.133076
60.00 P 20260821 -1.00 -1.00 20 249 0.3421 -0.5374 0.129697
61.00 P 20260821 -1.00 -1.00 10 5 0.4497 -0.6193 0.095704
62.00 P 20260821 -1.00 -1.00 5 6 0.5795 -0.6555 0.071234
62.50 P 20260821 -1.00 -1.00 20 22 0.5221 -0.7103 0.073195
63.00 P 20260821 -1.00 -1.00 3 3 0.5097 -0.7528 0.070281
64.00 P 20260821 -1.00 -1.00 12 12 0.5597 -0.7861 0.058448
