# opt_chain RIVN | epoch 1786626854 | 2026-08-13 09:14:14 | spot 15.93 | exps 20260814 20260821 20260828 20260904 20260911 20260918 20260925
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 62054 | band 0.6000 vencimientos 7 exp_hasta 2026-10-12
# strike right exp bid ask vol oi iv delta gamma
12.00 C 20260814 -1.00 -1.00 10 136 -1.0000 -1.0000 -1.000000
12.50 C 20260814 -1.00 -1.00 6 12 4.2531 0.8513 0.054584
13.00 C 20260814 -1.00 -1.00 2 152 3.2699 0.8636 0.067065
13.50 C 20260814 -1.00 -1.00 3 8 2.1324 0.9046 0.079669
14.00 C 20260814 -1.00 -1.00 5 104 1.6113 0.9087 0.101820
14.50 C 20260814 -1.00 -1.00 8 116 1.1385 0.9133 0.138563
15.00 C 20260814 -1.00 -1.00 76 535 1.0595 0.8279 0.241249
15.50 C 20260814 -1.00 -1.00 1129 1873 0.6329 0.7683 0.488793
16.00 C 20260814 -1.00 -1.00 5056 8631 0.5895 0.4689 0.679984
16.50 C 20260814 -1.00 -1.00 17399 13619 0.6500 0.2060 0.440915
17.00 C 20260814 -1.00 -1.00 2538 11992 0.7162 0.0776 0.204356
17.50 C 20260814 -1.00 -1.00 1205 4546 0.8548 0.0427 0.105919
18.00 C 20260814 -1.00 -1.00 372 2219 1.0691 0.0356 0.073615
18.50 C 20260814 -1.00 -1.00 31 872 1.2601 0.0309 0.055565
19.00 C 20260814 -1.00 -1.00 21 696 1.5231 0.0340 0.050030
19.50 C 20260814 -1.00 -1.00 1 824 1.8101 0.0415 0.049010
20.00 C 20260814 -1.00 -1.00 8 3322 1.8553 0.0285 0.035000
12.00 P 20260814 -1.00 -1.00 1 76 2.6292 -0.0351 0.029366
12.50 P 20260814 -1.00 -1.00 6 123 2.5280 -0.0522 0.042500
13.00 P 20260814 -1.00 -1.00 2 360 1.6802 -0.0225 0.031877
13.50 P 20260814 -1.00 -1.00 10 440 1.4234 -0.0264 0.043342
14.00 P 20260814 -1.00 -1.00 7 3244 1.1522 -0.0318 0.062149
14.50 P 20260814 -1.00 -1.00 145 1610 0.8805 -0.0402 0.097820
15.00 P 20260814 -1.00 -1.00 466 3316 0.6182 -0.0552 0.181031
15.50 P 20260814 -1.00 -1.00 1378 4042 0.5915 -0.2171 0.505316
16.00 P 20260814 -1.00 -1.00 2916 4166 0.6200 -0.5292 0.647662
16.50 P 20260814 -1.00 -1.00 299 784 0.6204 -0.8058 0.446443
17.00 P 20260814 -1.00 -1.00 166 478 0.7806 -0.9013 0.224300
17.50 P 20260814 -1.00 -1.00 32 477 1.2549 -0.8747 0.165954
18.00 P 20260814 -1.00 -1.00 33 225 -1.0000 -1.0000 -1.000000
18.50 P 20260814 -1.00 -1.00 4 55 2.7059 -0.7846 0.108500
19.00 P 20260814 -1.00 -1.00 2 215 -1.0000 -1.0000 -1.000000
19.50 P 20260814 -1.00 -1.00 11 4 2.0916 -0.9309 0.064205
20.00 P 20260814 -1.00 -1.00 13 0 3.8670 -0.7906 0.074451
12.00 C 20260821 -1.00 -1.00 2 119 -1.0000 -1.0000 -1.000000
12.50 C 20260821 -1.00 -1.00 1 1 1.4998 0.8841 0.054532
13.00 C 20260821 -1.00 -1.00 20 72 1.7858 0.8153 0.062849
13.50 C 20260821 -1.00 -1.00 8 1 1.5482 0.7979 0.076453
14.00 C 20260821 -1.00 -1.00 3 265 -1.0000 -1.0000 -1.000000
14.50 C 20260821 -1.00 -1.00 122 137 0.4985 0.9032 0.142568
15.00 C 20260821 -1.00 -1.00 13 1036 0.5305 0.7916 0.227648
15.50 C 20260821 -1.00 -1.00 72 1889 0.5234 0.6576 0.296083
16.00 C 20260821 -1.00 -1.00 580 4315 0.4988 0.4999 0.335635
16.50 C 20260821 -1.00 -1.00 2221 2305 0.5436 0.3564 0.287671
17.00 C 20260821 -1.00 -1.00 2195 13896 0.5486 0.2337 0.234392
17.50 C 20260821 -1.00 -1.00 1132 3198 0.5798 0.1546 0.171590
18.00 C 20260821 -1.00 -1.00 313 7027 0.6049 0.1022 0.121853
18.50 C 20260821 -1.00 -1.00 346 1273 0.6385 0.0677 0.085329
19.00 C 20260821 -1.00 -1.00 102 4327 0.6666 0.0457 0.059339
19.50 C 20260821 -1.00 -1.00 59 200 0.8021 0.0557 0.057717
20.00 C 20260821 -1.00 -1.00 143 8882 0.7661 0.0285 0.035130
12.00 P 20260821 -1.00 -1.00 2 1342 1.0905 -0.0351 0.029286
12.50 P 20260821 -1.00 -1.00 4 1282 0.8546 -0.0242 0.027717
13.00 P 20260821 -1.00 -1.00 34 8306 0.6980 -0.0225 0.031745
13.50 P 20260821 -1.00 -1.00 3002 3968 0.5920 -0.0263 0.043105
14.00 P 20260821 -1.00 -1.00 35 5588 0.5444 -0.0516 0.080667
14.50 P 20260821 -1.00 -1.00 63 1485 0.4914 -0.0940 0.141488
15.00 P 20260821 -1.00 -1.00 352 6274 0.4857 -0.1916 0.234622
15.50 P 20260821 -1.00 -1.00 802 2937 0.4808 -0.3326 0.319231
16.00 P 20260821 -1.00 -1.00 1092 3563 0.4805 -0.5025 0.349523
16.50 P 20260821 -1.00 -1.00 73 648 0.4761 -0.6678 0.320247
17.00 P 20260821 -1.00 -1.00 125 2523 0.4307 -0.8296 0.250090
17.50 P 20260821 -1.00 -1.00 4 334 0.5968 -0.8392 0.173580
18.00 P 20260821 -1.00 -1.00 29 1718 -1.0000 -1.0000 -1.000000
18.50 P 20260821 -1.00 -1.00 6 211 0.5590 -0.9618 0.069626
19.00 P 20260821 -1.00 -1.00 2 671 -1.0000 -1.0000 -1.000000
19.50 P 20260821 -1.00 -1.00 1 2 1.1876 -0.8516 0.082718
20.00 P 20260821 -1.00 -1.00 5 747 0.8992 -0.9469 0.052333
12.00 C 20260828 -1.00 -1.00 12 15 1.6405 0.8453 0.044650
12.50 C 20260828 -1.00 -1.00 2 11 1.5024 0.8292 0.052306
13.00 C 20260828 -1.00 -1.00 2 10 0.9563 0.8750 0.066398
13.50 C 20260828 -1.00 -1.00 1 1 1.4051 0.7657 0.067026
14.00 C 20260828 -1.00 -1.00 4 250 0.7176 0.8323 0.107415
14.50 C 20260828 -1.00 -1.00 8 50 0.4795 0.8474 0.150905
15.00 C 20260828 -1.00 -1.00 1 364 0.3886 0.7959 0.226839
15.50 C 20260828 -1.00 -1.00 184 1910 0.5312 0.6276 0.219508
16.00 C 20260828 -1.00 -1.00 213 2471 0.5459 0.5145 0.227180
16.50 C 20260828 -1.00 -1.00 97 885 0.5801 0.4135 0.207520
17.00 C 20260828 -1.00 -1.00 273 1044 0.5316 0.3017 0.201426
17.50 C 20260828 -1.00 -1.00 131 788 0.5574 0.2276 0.167220
18.00 C 20260828 -1.00 -1.00 100 2787 0.5783 0.1696 0.134465
18.50 C 20260828 -1.00 -1.00 35 961 0.5913 0.1241 0.106293
19.00 C 20260828 -1.00 -1.00 104 482 0.5585 0.0701 0.074082
19.50 C 20260828 -1.00 -1.00 2 135 0.6788 0.0825 0.069356
20.00 C 20260828 -1.00 -1.00 15 2491 0.7780 0.0891 0.063754
12.00 P 20260828 -1.00 -1.00 1 46 0.7545 -0.0251 0.024076
12.50 P 20260828 -1.00 -1.00 2 510 0.6749 -0.0322 0.032721
13.00 P 20260828 -1.00 -1.00 5 148 0.7488 -0.0788 0.060079
13.50 P 20260828 -1.00 -1.00 2 261 0.5409 -0.0566 0.065137
14.00 P 20260828 -1.00 -1.00 159 771 0.5197 -0.0995 0.103482
14.50 P 20260828 -1.00 -1.00 29 907 0.5004 -0.1625 0.150891
15.00 P 20260828 -1.00 -1.00 219 1357 0.4821 -0.2494 0.202904
15.50 P 20260828 -1.00 -1.00 55 546 0.4980 -0.3678 0.234208
16.00 P 20260828 -1.00 -1.00 144 393 0.5132 -0.4889 0.242693
16.50 P 20260828 -1.00 -1.00 118 1198 0.5180 -0.6045 0.232646
17.00 P 20260828 -1.00 -1.00 14 214 0.5209 -0.7057 0.205914
17.50 P 20260828 -1.00 -1.00 4 95 0.5207 -0.7928 0.172402
18.00 P 20260828 -1.00 -1.00 6 725 -1.0000 -1.0000 -1.000000
18.50 P 20260828 -1.00 -1.00 4 5 0.6741 -0.8470 0.111707
19.00 P 20260828 -1.00 -1.00 2 8 -1.0000 -1.0000 -1.000000
19.50 P 20260828 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
20.00 P 20260828 -1.00 -1.00 2 11 0.6100 -0.9686 0.044208
12.00 C 20260904 -1.00 -1.00 4 2 1.0195 0.8983 0.044883
12.50 C 20260904 -1.00 -1.00 2 1 0.9645 0.8751 0.054460
13.00 C 20260904 -1.00 -1.00 2 4 1.1027 0.8157 0.062404
13.50 C 20260904 -1.00 -1.00 2 2 0.0017 1.0000 -0.000000
14.00 C 20260904 -1.00 -1.00 16 29 0.6340 0.8213 0.105461
14.50 C 20260904 -1.00 -1.00 2 5 0.5170 0.7966 0.141553
