# opt_chain WULF | epoch 1786625262 | 2026-08-13 08:47:42 | spot 17.19 | exps 20260814 20260821 20260828 20260904
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 60462 | band 0.6000 vencimientos 4 exp_hasta 2026-09-04
# strike right exp bid ask vol oi iv delta gamma
15.50 C 20260814 -1.00 -1.00 14 17 1.4911 0.8682 0.133834
16.00 C 20260814 -1.00 -1.00 36 714 1.3769 0.7975 0.191815
16.50 C 20260814 -1.00 -1.00 177 1248 1.3083 0.6899 0.251680
17.00 C 20260814 -1.00 -1.00 701 2672 1.2136 0.5552 0.303437
17.50 C 20260814 -1.00 -1.00 1211 5208 1.2261 0.4070 0.294967
18.00 C 20260814 -1.00 -1.00 2369 3670 1.2293 0.2754 0.252624
18.50 C 20260814 -1.00 -1.00 766 2929 1.2628 0.1788 0.191615
19.00 C 20260814 -1.00 -1.00 967 7371 1.2741 0.1070 0.133659
15.50 P 20260814 -1.00 -1.00 184 1180 1.1989 -0.0871 0.122164
16.00 P 20260814 -1.00 -1.00 240 9583 1.0786 -0.1497 0.200370
16.50 P 20260814 -1.00 -1.00 440 1474 1.0296 -0.2716 0.298879
17.00 P 20260814 -1.00 -1.00 1322 7095 1.0087 -0.4394 0.363953
17.50 P 20260814 -1.00 -1.00 168 955 0.9897 -0.6223 0.361286
18.00 P 20260814 -1.00 -1.00 49 1622 1.0314 -0.7680 0.278297
18.50 P 20260814 -1.00 -1.00 53 183 0.8488 -0.9231 0.160126
19.00 P 20260814 -1.00 -1.00 13 367 -1.0000 -1.0000 -1.000000
15.50 C 20260821 -1.00 -1.00 9 51 0.9571 0.7795 0.120661
16.00 C 20260821 -1.00 -1.00 161 7257 0.9418 0.7100 0.140862
16.50 C 20260821 -1.00 -1.00 32 146 0.9449 0.6328 0.154436
17.00 C 20260821 -1.00 -1.00 170 2317 0.9427 0.5518 0.163572
17.50 C 20260821 -1.00 -1.00 248 4004 0.9182 0.4698 0.167472
18.00 C 20260821 -1.00 -1.00 590 14818 0.9335 0.3912 0.161113
18.50 C 20260821 -1.00 -1.00 1731 4226 0.9288 0.3207 0.148758
19.00 C 20260821 -1.00 -1.00 424 7029 0.9551 0.2600 0.132768
15.50 P 20260821 -1.00 -1.00 679 1646 0.8797 -0.2039 0.126157
16.00 P 20260821 -1.00 -1.00 2257 17199 0.8532 -0.2759 0.151487
16.50 P 20260821 -1.00 -1.00 77 422 0.8539 -0.3594 0.170266
17.00 P 20260821 -1.00 -1.00 217 16063 0.8487 -0.4490 0.181904
17.50 P 20260821 -1.00 -1.00 138 311 0.8400 -0.5388 0.183052
18.00 P 20260821 -1.00 -1.00 502 28304 0.8405 -0.6267 0.176945
18.50 P 20260821 -1.00 -1.00 14 247 0.8315 -0.7058 0.160951
19.00 P 20260821 -1.00 -1.00 42 7860 0.8568 -0.7678 0.139567
15.50 C 20260828 -1.00 -1.00 1 1 0.9230 0.7352 0.101381
16.00 C 20260828 -1.00 -1.00 9 127 0.9233 0.6795 0.112542
16.50 C 20260828 -1.00 -1.00 4 10 0.9074 0.6189 0.120050
17.00 C 20260828 -1.00 -1.00 91 271 0.8957 0.5562 0.127371
17.50 C 20260828 -1.00 -1.00 238 189 0.9105 0.4956 0.125550
18.00 C 20260828 -1.00 -1.00 643 854 0.9048 0.4344 0.124673
18.50 C 20260828 -1.00 -1.00 86 213 0.9091 0.3775 0.120627
19.00 C 20260828 -1.00 -1.00 120 190 0.8364 0.3062 0.119860
15.50 P 20260828 -1.00 -1.00 29 15 0.8519 -0.2530 0.107343
16.00 P 20260828 -1.00 -1.00 223 707 0.8306 -0.3103 0.123070
16.50 P 20260828 -1.00 -1.00 1052 837 0.8333 -0.3776 0.130650
17.00 P 20260828 -1.00 -1.00 259 416 0.8412 -0.4455 0.135982
17.50 P 20260828 -1.00 -1.00 28 204 0.8391 -0.5119 0.136507
18.00 P 20260828 -1.00 -1.00 98 228 0.8383 -0.5778 0.134645
18.50 P 20260828 -1.00 -1.00 13 36 0.8497 -0.6362 0.127731
19.00 P 20260828 -1.00 -1.00 200 324 0.8443 -0.6931 0.119700
15.50 C 20260904 -1.00 -1.00 8 30 0.9161 0.7138 0.088619
16.00 C 20260904 -1.00 -1.00 11 117 0.9142 0.6650 0.095134
16.50 C 20260904 -1.00 -1.00 2 10 0.9019 0.6139 0.100595
17.00 C 20260904 -1.00 -1.00 11 40 0.9110 0.5619 0.103762
17.50 C 20260904 -1.00 -1.00 39 150 0.9033 0.5110 0.105109
18.00 C 20260904 -1.00 -1.00 209 328 0.8995 0.4603 0.104665
18.50 C 20260904 -1.00 -1.00 36 188 0.9102 0.4120 0.102616
19.00 C 20260904 -1.00 -1.00 2 128 0.9049 0.3672 0.099060
15.50 P 20260904 -1.00 -1.00 9 125 0.8320 -0.2753 0.095528
16.00 P 20260904 -1.00 -1.00 10 164 0.8762 -0.3324 0.099303
16.50 P 20260904 -1.00 -1.00 5 291 0.8560 -0.3855 0.106171
17.00 P 20260904 -1.00 -1.00 9 35 0.8634 -0.4404 0.109911
17.50 P 20260904 -1.00 -1.00 1 83 0.8593 -0.4941 0.110871
18.00 P 20260904 -1.00 -1.00 3 79 0.8567 -0.5475 0.110230
18.50 P 20260904 -1.00 -1.00 7 39 0.8440 -0.6036 0.110702
19.00 P 20260904 -1.00 -1.00 1 33 0.8542 -0.6467 0.104087
14.50 C 20260814 -1.00 -1.00 10 20 1.9369 0.9232 0.068825
15.00 C 20260814 -1.00 -1.00 85 93 1.6812 0.9038 0.093990
14.50 P 20260814 -1.00 -1.00 14 845 1.3961 -0.0250 0.038892
15.00 P 20260814 -1.00 -1.00 143 1979 1.3507 -0.0538 0.075163
14.50 C 20260821 -1.00 -1.00 1 2 1.0388 0.8746 0.077194
15.00 C 20260821 -1.00 -1.00 18 3226 0.9829 0.8333 0.098131
14.50 P 20260821 -1.00 -1.00 50 671 0.8611 -0.0894 0.072241
15.00 P 20260821 -1.00 -1.00 601 38573 0.9009 -0.1484 0.099160
14.50 C 20260828 -1.00 -1.00 7 2 0.9709 0.8273 0.075476
15.00 C 20260828 -1.00 -1.00 1 27 0.9514 0.7849 0.088416
14.50 P 20260828 -1.00 -1.00 154 51 0.8613 -0.1499 0.077229
15.00 P 20260828 -1.00 -1.00 18 5819 0.8425 -0.1929 0.094026
15.00 C 20260904 -1.00 -1.00 2 71 0.9200 0.7598 0.080117
15.00 P 20260904 -1.00 -1.00 35 7284 0.8888 -0.2352 0.082142
19.50 C 20260814 -1.00 -1.00 1409 1456 1.5026 0.0937 0.102900
20.00 C 20260814 -1.00 -1.00 299 1612 1.3885 0.0413 0.058802
19.50 P 20260814 -1.00 -1.00 12 47 -1.0000 -1.0000 -1.000000
20.00 P 20260814 -1.00 -1.00 27 257 -1.0000 -1.0000 -1.000000
19.50 C 20260821 -1.00 -1.00 106 2780 0.9376 0.2035 0.116271
20.00 C 20260821 -1.00 -1.00 10697 31650 0.9468 0.1559 0.098445
19.50 P 20260821 -1.00 -1.00 1 302 0.8470 -0.8275 0.117856
20.00 P 20260821 -1.00 -1.00 7 10341 0.8003 -0.8881 0.093610
19.50 C 20260828 -1.00 -1.00 11 144 0.8999 0.2721 0.106402
20.00 C 20260828 -1.00 -1.00 526 827 0.9160 0.2353 0.096271
19.50 P 20260828 -1.00 -1.00 16 23 0.8608 -0.7429 0.109737
20.00 P 20260828 -1.00 -1.00 7 181 0.8116 -0.8002 0.099757
19.50 C 20260904 -1.00 -1.00 2 45 0.9009 0.3239 0.094473
20.00 C 20260904 -1.00 -1.00 16 224 0.9127 0.2853 0.088840
19.50 P 20260904 -1.00 -1.00 2 11 0.8544 -0.6918 0.098593
20.00 P 20260904 -1.00 -1.00 5 68 0.8634 -0.7340 0.092528
13.00 C 20260814 -1.00 -1.00 15 18 2.8107 0.9508 0.033668
13.50 C 20260814 -1.00 -1.00 1 4 2.5088 0.9452 0.041340
14.00 C 20260814 -1.00 -1.00 8 130 2.2017 0.9383 0.051722
13.00 P 20260814 -1.00 -1.00 5 176 2.1337 -0.0167 0.017875
13.50 P 20260814 -1.00 -1.00 12 101 2.0700 -0.0274 0.028460
