# opt_chain DRAM | epoch 1786970724 | 2026-08-17 08:45:24 | spot 57.32 | exps 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 233124 | band 0.4050 vencimientos 1 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
50.50 C 20260821 -1.00 -1.00 18 300 -1.0000 -1.0000 -1.000000
51.00 C 20260821 -1.00 -1.00 46 865 -1.0000 -1.0000 -1.000000
51.50 C 20260821 -1.00 -1.00 8 155 -1.0000 -1.0000 -1.000000
52.00 C 20260821 -1.00 -1.00 57 1665 -1.0000 -1.0000 -1.000000
52.50 C 20260821 -1.00 -1.00 13 215 -1.0000 -1.0000 -1.000000
53.00 C 20260821 -1.00 -1.00 194 9382 -1.0000 -1.0000 -1.000000
53.50 C 20260821 -1.00 -1.00 112 338 -1.0000 -1.0000 -1.000000
54.00 C 20260821 -1.00 -1.00 176 7287 -1.0000 -1.0000 -1.000000
54.50 C 20260821 -1.00 -1.00 76 443 -1.0000 -1.0000 -1.000000
55.00 C 20260821 -1.00 -1.00 2683 9685 -1.0000 -1.0000 -1.000000
55.50 C 20260821 -1.00 -1.00 50 1049 -1.0000 -1.0000 -1.000000
56.00 C 20260821 -1.00 -1.00 374 3309 -1.0000 -1.0000 -1.000000
56.50 C 20260821 -1.00 -1.00 325 408 -1.0000 -1.0000 -1.000000
57.00 C 20260821 -1.00 -1.00 3086 5428 -1.0000 -1.0000 -1.000000
57.50 C 20260821 -1.00 -1.00 2456 2969 -1.0000 -1.0000 -1.000000
58.00 C 20260821 -1.00 -1.00 2392 9449 -1.0000 -1.0000 -1.000000
58.50 C 20260821 -1.00 -1.00 477 2964 0.0007 1.0000 -0.000000
59.00 C 20260821 -1.00 -1.00 1739 5241 0.2302 0.7337 0.216942
59.50 C 20260821 -1.00 -1.00 1337 1380 0.2854 0.5955 0.206609
60.00 C 20260821 -1.00 -1.00 42054 104754 0.3430 0.4948 0.178742
61.00 C 20260821 -1.00 -1.00 1193 17642 0.4136 0.3563 0.138741
62.00 C 20260821 -1.00 -1.00 2369 50149 0.4551 0.2558 0.108301
63.00 C 20260821 -1.00 -1.00 456 1804 0.4812 0.1806 0.082903
64.00 C 20260821 -1.00 -1.00 2176 6882 0.5232 0.1316 0.062446
50.50 P 20260821 -1.00 -1.00 352 597 1.0643 -0.0621 0.017640
51.00 P 20260821 -1.00 -1.00 709 2044 1.0548 -0.0736 0.020075
51.50 P 20260821 -1.00 -1.00 93 470 1.0222 -0.0806 0.022162
52.00 P 20260821 -1.00 -1.00 996 2177 1.0270 -0.0954 0.025067
52.50 P 20260821 -1.00 -1.00 599 755 1.0408 -0.1117 0.027997
53.00 P 20260821 -1.00 -1.00 960 2022 1.0364 -0.1269 0.030800
53.50 P 20260821 -1.00 -1.00 252 1302 1.0258 -0.1447 0.033752
54.00 P 20260821 -1.00 -1.00 1233 5341 1.0423 -0.1685 0.036680
54.50 P 20260821 -1.00 -1.00 317 785 1.0888 -0.1968 0.039067
55.00 P 20260821 -1.00 -1.00 1713 15243 1.0750 -0.2149 0.041907
