# opt_chain MSFT | epoch 1786970711 | 2026-08-17 08:45:11 | spot 497.36 | exps 20260817 20260819 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 260051 | band 0.4050 vencimientos 3 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
365.00 C 20260817 -1.00 -1.00 6 3 5.9974 0.9340 0.001222
370.00 C 20260817 -1.00 -1.00 -1 0 5.8845 0.9280 0.001328
375.00 C 20260817 -1.00 -1.00 -1 0 5.5510 0.9293 0.001390
380.00 C 20260817 -1.00 -1.00 -1 0 5.3323 0.9267 0.001486
385.00 C 20260817 -1.00 -1.00 -1 0 5.1896 0.9212 0.001612
390.00 C 20260817 -1.00 -1.00 -1 0 5.0125 0.9168 0.001739
395.00 C 20260817 -1.00 -1.00 4 4 4.6666 0.9189 0.001832
400.00 C 20260817 -1.00 -1.00 3 18 4.4683 0.9152 0.001980
405.00 C 20260817 -1.00 -1.00 -1 0 4.2548 0.9119 0.002140
410.00 C 20260817 -1.00 -1.00 1 1 4.0705 0.9071 0.002330
415.00 C 20260817 -1.00 -1.00 1 8 3.8796 0.9024 0.002541
420.00 C 20260817 -1.00 -1.00 3 19 3.6650 0.8985 0.002772
425.00 C 20260817 -1.00 -1.00 1 14 3.3229 0.9014 0.002987
430.00 C 20260817 -1.00 -1.00 1 8 3.2693 0.8881 0.003355
435.00 C 20260817 -1.00 -1.00 4 20 3.0878 0.8813 0.003723
437.50 C 20260817 -1.00 -1.00 4 28 2.9836 0.8783 0.003927
440.00 C 20260817 -1.00 -1.00 5 28 2.8898 0.8731 0.004157
442.50 C 20260817 -1.00 -1.00 1 14 2.8362 0.8641 0.004416
445.00 C 20260817 -1.00 -1.00 4 11 2.6587 0.8660 0.004672
447.50 C 20260817 -1.00 -1.00 4 29 2.5497 0.8615 0.004973
450.00 C 20260817 -1.00 -1.00 32 51 2.4302 0.8577 0.005307
452.50 C 20260817 -1.00 -1.00 10 35 2.3505 0.8495 0.005682
455.00 C 20260817 -1.00 -1.00 50 95 2.3214 0.8357 0.006086
457.50 C 20260817 -1.00 -1.00 33 42 2.1423 0.8367 0.006570
460.00 C 20260817 -1.00 -1.00 1 39 1.9864 0.8353 0.007124
462.50 C 20260817 -1.00 -1.00 11 42 1.9143 0.8238 0.007726
465.00 C 20260817 -1.00 -1.00 23 82 1.8096 0.8153 0.008434
467.50 C 20260817 -1.00 -1.00 4 48 1.8319 0.7916 0.009050
470.00 C 20260817 -1.00 -1.00 8 42 1.4810 0.8112 0.010454
472.50 C 20260817 -1.00 -1.00 4 33 1.5041 0.7823 0.011351
475.00 C 20260817 -1.00 -1.00 54 56 1.3885 0.7677 0.012705
477.50 C 20260817 -1.00 -1.00 29 37 1.3091 0.7437 0.014094
480.00 C 20260817 -1.00 -1.00 29 60 1.1097 0.7363 0.016851
482.50 C 20260817 -1.00 -1.00 33 53 1.0356 0.7030 0.019130
485.00 C 20260817 -1.00 -1.00 17 287 0.9289 0.6693 0.022528
487.50 C 20260817 -1.00 -1.00 529 532 0.8362 0.6221 0.026160
490.00 C 20260817 -1.00 -1.00 107 819 0.7416 0.5604 0.030464
492.50 C 20260817 -1.00 -1.00 138 126 0.6760 0.4822 0.034010
495.00 C 20260817 -1.00 -1.00 1259 2127 0.6158 0.3885 0.035819
497.50 C 20260817 -1.00 -1.00 9592 1972 0.5625 0.2881 0.034676
500.00 C 20260817 -1.00 -1.00 9539 3280 0.5420 0.2002 0.029609
502.50 C 20260817 -1.00 -1.00 2383 575 0.5393 0.1316 0.022890
