# opt_chain NFLX | epoch 1786970719 | 2026-08-17 08:45:19 | spot 78.24 | exps 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 260059 | band 0.4050 vencimientos 1 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
58.00 C 20260821 -1.00 -1.00 2 112 -1.0000 -1.0000 -1.000000
59.00 C 20260821 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
60.00 C 20260821 -1.00 -1.00 18 552 0.0007 1.0000 0.000000
61.00 C 20260821 -1.00 -1.00 6 101 -1.0000 -1.0000 -1.000000
62.00 C 20260821 -1.00 -1.00 7 114 -1.0000 -1.0000 -1.000000
63.00 C 20260821 -1.00 -1.00 1 119 -1.0000 -1.0000 -1.000000
64.00 C 20260821 -1.00 -1.00 2 163 -1.0000 -1.0000 -1.000000
65.00 C 20260821 -1.00 -1.00 9 791 0.7539 0.9903 0.004005
66.00 C 20260821 -1.00 -1.00 6 460 0.8286 0.9747 0.008307
67.00 C 20260821 -1.00 -1.00 14 4840 -1.0000 -1.0000 -1.000000
68.00 C 20260821 -1.00 -1.00 67 3248 -1.0000 -1.0000 -1.000000
69.00 C 20260821 -1.00 -1.00 15 2108 -1.0000 -1.0000 -1.000000
70.00 C 20260821 -1.00 -1.00 588 9751 -1.0000 -1.0000 -1.000000
71.00 C 20260821 -1.00 -1.00 65 3197 -1.0000 -1.0000 -1.000000
72.00 C 20260821 -1.00 -1.00 130 2479 0.0007 1.0000 -0.000000
73.00 C 20260821 -1.00 -1.00 317 7488 -1.0000 -1.0000 -1.000000
74.00 C 20260821 -1.00 -1.00 368 8268 0.0007 1.0000 -0.000000
75.00 C 20260821 -1.00 -1.00 1200 12602 0.2713 0.9349 0.054999
76.00 C 20260821 -1.00 -1.00 1206 5264 0.3091 0.8210 0.098264
77.00 C 20260821 -1.00 -1.00 3021 5339 0.3235 0.6966 0.125931
78.00 C 20260821 -1.00 -1.00 7097 14497 0.3307 0.5602 0.139005
79.00 C 20260821 -1.00 -1.00 11134 11916 0.3425 0.4255 0.133181
80.00 C 20260821 -1.00 -1.00 13468 37361 0.3520 0.3073 0.116052
81.00 C 20260821 -1.00 -1.00 5310 10176 0.3631 0.2120 0.093116
