# opt_chain PLTR | epoch 1786970733 | 2026-08-17 08:45:33 | spot 178.39 | exps 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 260013 | band 0.4050 vencimientos 1 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
157.50 C 20260821 -1.00 -1.00 85 1021 0.8243 0.8654 0.013891
160.00 C 20260821 -1.00 -1.00 1353 15875 0.7407 0.8458 0.016831
162.50 C 20260821 -1.00 -1.00 297 1716 0.7096 0.8061 0.020460
165.00 C 20260821 -1.00 -1.00 775 11011 0.6575 0.7635 0.024813
167.50 C 20260821 -1.00 -1.00 207 793 0.6217 0.7022 0.029370
170.00 C 20260821 -1.00 -1.00 1167 12392 0.6018 0.6277 0.033230
172.50 C 20260821 -1.00 -1.00 1073 2157 0.5857 0.5421 0.035885
175.00 C 20260821 -1.00 -1.00 6842 10897 0.5663 0.4517 0.036794
177.50 C 20260821 -1.00 -1.00 5063 4391 0.5630 0.3614 0.035457
180.00 C 20260821 -1.00 -1.00 15507 21110 0.5512 0.2775 0.032019
182.50 C 20260821 -1.00 -1.00 3879 6280 0.5505 0.2070 0.027323
185.00 C 20260821 -1.00 -1.00 9815 17196 0.5584 0.1499 0.022104
187.50 C 20260821 -1.00 -1.00 2076 6270 0.5598 0.1075 0.017291
190.00 C 20260821 -1.00 -1.00 5340 9281 0.5795 0.0772 0.013207
192.50 C 20260821 -1.00 -1.00 1086 1248 0.5889 0.0564 0.010064
195.00 C 20260821 -1.00 -1.00 1360 3647 0.6112 0.0421 0.007671
197.50 C 20260821 -1.00 -1.00 443 1123 0.6417 0.0326 0.006000
157.50 P 20260821 -1.00 -1.00 720 1721 0.5740 -0.0593 0.010884
160.00 P 20260821 -1.00 -1.00 2829 9641 0.5458 -0.0873 0.015228
162.50 P 20260821 -1.00 -1.00 1447 2452 0.5357 -0.1287 0.020855
165.00 P 20260821 -1.00 -1.00 12988 10167 0.5161 -0.1866 0.027393
167.50 P 20260821 -1.00 -1.00 3552 4636 0.5004 -0.2596 0.034108
170.00 P 20260821 -1.00 -1.00 8707 9533 0.4952 -0.3507 0.039946
172.50 P 20260821 -1.00 -1.00 7722 4646 0.4762 -0.4543 0.044098
175.00 P 20260821 -1.00 -1.00 8367 4360 0.4609 -0.5655 0.045045
177.50 P 20260821 -1.00 -1.00 2399 1248 0.4411 -0.6795 0.042959
180.00 P 20260821 -1.00 -1.00 2435 2743 0.4242 -0.7856 0.036725
182.50 P 20260821 -1.00 -1.00 223 270 0.3749 -0.8929 0.026675
185.00 P 20260821 -1.00 -1.00 210 541 -1.0000 -1.0000 -1.000000
187.50 P 20260821 -1.00 -1.00 29 110 -1.0000 -1.0000 -1.000000
190.00 P 20260821 -1.00 -1.00 117 155 -1.0000 -1.0000 -1.000000
192.50 P 20260821 -1.00 -1.00 3 10 -1.0000 -1.0000 -1.000000
195.00 P 20260821 -1.00 -1.00 41 61 -1.0000 -1.0000 -1.000000
197.50 P 20260821 -1.00 -1.00 6 31 -1.0000 -1.0000 -1.000000
150.00 C 20260821 -1.00 -1.00 585 11506 1.0151 0.9107 0.008326
152.50 C 20260821 -1.00 -1.00 161 748 1.0150 0.8866 0.010044
155.00 C 20260821 -1.00 -1.00 452 8475 0.8734 0.8879 0.011556
150.00 P 20260821 -1.00 -1.00 2733 7997 0.6734 -0.0228 0.004202
152.50 P 20260821 -1.00 -1.00 175 902 0.6400 -0.0303 0.005648
155.00 P 20260821 -1.00 -1.00 1669 5378 0.5985 -0.0419 0.007799
200.00 C 20260821 -1.00 -1.00 4084 12105 0.6603 0.0260 0.004774
202.50 C 20260821 -1.00 -1.00 181 605 0.6693 0.0182 0.003465
205.00 C 20260821 -1.00 -1.00 468 1161 0.7107 0.0164 0.002995
210.00 C 20260821 -1.00 -1.00 716 4265 0.7790 0.0126 0.002197
200.00 P 20260821 -1.00 -1.00 83 401 -1.0000 -1.0000 -1.000000
202.50 P 20260821 -1.00 -1.00 10 40 -1.0000 -1.0000 -1.000000
205.00 P 20260821 -1.00 -1.00 20 45 -1.0000 -1.0000 -1.000000
210.00 P 20260821 -1.00 -1.00 5 14 -1.0000 -1.0000 -1.000000
131.00 C 20260821 -1.00 -1.00 5 330 1.6751 0.9477 0.003372
132.00 C 20260821 -1.00 -1.00 9 198 1.7091 0.9403 0.003676
133.00 C 20260821 -1.00 -1.00 10 277 1.6605 0.9401 0.003792
134.00 C 20260821 -1.00 -1.00 8 359 1.6208 0.9389 0.003943
135.00 C 20260821 -1.00 -1.00 129 6825 1.5067 0.9457 0.003871
136.00 C 20260821 -1.00 -1.00 23 637 1.5506 0.9351 0.004301
137.00 C 20260821 -1.00 -1.00 26 217 1.4389 0.9433 0.004205
138.00 C 20260821 -1.00 -1.00 20 434 1.4731 0.9322 0.004674
139.00 C 20260821 -1.00 -1.00 19 240 1.4348 0.9307 0.004879
140.00 C 20260821 -1.00 -1.00 445 20221 1.3719 0.9328 0.004992
141.00 C 20260821 -1.00 -1.00 2 233 1.3672 0.9261 0.005364
142.00 C 20260821 -1.00 -1.00 39 316 1.2557 0.9363 0.005251
143.00 C 20260821 -1.00 -1.00 8 833 1.2925 0.9224 0.005883
144.00 C 20260821 -1.00 -1.00 19 345 1.3045 0.9129 0.006363
145.00 C 20260821 -1.00 -1.00 85 8714 1.2107 0.9197 0.006444
146.00 C 20260821 -1.00 -1.00 52 1149 1.2229 0.9096 0.006985
131.00 P 20260821 -1.00 -1.00 100 987 1.0552 -0.0064 0.000884
132.00 P 20260821 -1.00 -1.00 42 235 1.0294 -0.0066 0.000925
133.00 P 20260821 -1.00 -1.00 21 337 1.0039 -0.0067 0.000970
134.00 P 20260821 -1.00 -1.00 21 258 1.0059 -0.0081 0.001146
135.00 P 20260821 -1.00 -1.00 1025 8143 0.9670 -0.0077 0.001137
136.00 P 20260821 -1.00 -1.00 5 1973 0.9827 -0.0097 0.001387
137.00 P 20260821 -1.00 -1.00 4 226 0.9307 -0.0087 0.001328
138.00 P 20260821 -1.00 -1.00 4 163 0.9418 -0.0108 0.001593
139.00 P 20260821 -1.00 -1.00 17 264 0.9142 -0.0111 0.001676
140.00 P 20260821 -1.00 -1.00 3687 13288 0.8868 -0.0114 0.001766
141.00 P 20260821 -1.00 -1.00 64 823 0.8654 -0.0123 0.001933
142.00 P 20260821 -1.00 -1.00 143 422 0.8441 -0.0133 0.002114
143.00 P 20260821 -1.00 -1.00 11 277 0.8229 -0.0144 0.002311
144.00 P 20260821 -1.00 -1.00 38 459 0.7962 -0.0148 0.002450
145.00 P 20260821 -1.00 -1.00 866 3674 0.7641 -0.0146 0.002518
146.00 P 20260821 -1.00 -1.00 897 1084 0.7434 -0.0158 0.002767
215.00 C 20260821 -1.00 -1.00 708 899 0.8241 0.0094 0.001581
220.00 C 20260821 -1.00 -1.00 652 9324 0.8786 0.0072 0.001174
225.00 C 20260821 -1.00 -1.00 369 627 0.9168 0.0046 0.000760
215.00 P 20260821 -1.00 -1.00 3 0 -1.0000 -1.0000 -1.000000
220.00 P 20260821 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
225.00 P 20260821 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
110.00 C 20260821 -1.00 -1.00 6 990 2.5355 0.9616 0.001719
111.00 C 20260821 -1.00 -1.00 10 24 2.4931 0.9610 0.001772
112.00 C 20260821 -1.00 -1.00 10 50 2.5636 0.9551 0.001943
113.00 C 20260821 -1.00 -1.00 21 23 2.4254 0.9589 0.001903
114.00 C 20260821 -1.00 -1.00 5 11 2.3841 0.9582 0.001963
115.00 C 20260821 -1.00 -1.00 7 1786 2.3432 0.9575 0.002025
116.00 C 20260821 -1.00 -1.00 1 23 2.3026 0.9568 0.002090
117.00 C 20260821 -1.00 -1.00 1 36 2.2467 0.9569 0.002136
118.00 C 20260821 -1.00 -1.00 1 207 2.2538 0.9537 0.002267
119.00 C 20260821 -1.00 -1.00 3 176 2.3231 0.9473 0.002460
120.00 C 20260821 -1.00 -1.00 6 3053 2.1594 0.9529 0.002398
121.00 C 20260821 -1.00 -1.00 5 57 2.2254 0.9463 0.002606
122.00 C 20260821 -1.00 -1.00 2 168 2.0819 0.9512 0.002562
123.00 C 20260821 -1.00 -1.00 9 246 2.2263 0.9367 0.002932
124.00 C 20260821 -1.00 -1.00 4 395 2.1032 0.9426 0.002893
125.00 C 20260821 -1.00 -1.00 158 4302 2.0426 0.9433 0.002957
126.00 C 20260821 -1.00 -1.00 15 419 1.9460 0.9467 0.002959
127.00 C 20260821 -1.00 -1.00 57 1996 1.8940 0.9466 0.003041
128.00 C 20260821 -1.00 -1.00 2 325 1.8573 0.9456 0.003151
129.00 C 20260821 -1.00 -1.00 3 565 1.8209 0.9446 0.003266
130.00 C 20260821 -1.00 -1.00 210 9152 1.7254 0.9477 0.003278
110.00 P 20260821 -1.00 -1.00 610 15187 1.4714 -0.0017 0.000190
111.00 P 20260821 -1.00 -1.00 5 411 1.4854 -0.0022 0.000240
112.00 P 20260821 -1.00 -1.00 3 233 1.5717 -0.0039 0.000386
113.00 P 20260821 -1.00 -1.00 9 464 1.5267 -0.0036 0.000368
114.00 P 20260821 -1.00 -1.00 545 661 1.4969 -0.0037 0.000382
115.00 P 20260821 -1.00 -1.00 356 10613 1.4183 -0.0028 0.000321
116.00 P 20260821 -1.00 -1.00 1 56 1.3513 -0.0024 0.000288
117.00 P 20260821 -1.00 -1.00 4 335 1.4091 -0.0039 0.000426
118.00 P 20260821 -1.00 -1.00 8 230 1.2992 -0.0025 0.000311
119.00 P 20260821 -1.00 -1.00 10 547 1.3373 -0.0036 0.000417
120.00 P 20260821 -1.00 -1.00 881 6136 1.3091 -0.0036 0.000433
