# opt_chain SNDK | epoch 1786970729 | 2026-08-17 08:45:29 | spot 1629.32 | exps 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 260008 | band 0.6000 vencimientos 1 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
1435.00 C 20260821 -1.00 -1.00 8 186 -1.0000 -1.0000 -1.000000
1440.00 C 20260821 -1.00 -1.00 11 186 -1.0000 -1.0000 -1.000000
1445.00 C 20260821 -1.00 -1.00 4 51 -1.0000 -1.0000 -1.000000
1450.00 C 20260821 -1.00 -1.00 255 1001 -1.0000 -1.0000 -1.000000
1455.00 C 20260821 -1.00 -1.00 40 106 -1.0000 -1.0000 -1.000000
1460.00 C 20260821 -1.00 -1.00 18 120 -1.0000 -1.0000 -1.000000
1465.00 C 20260821 -1.00 -1.00 22 26 -1.0000 -1.0000 -1.000000
1470.00 C 20260821 -1.00 -1.00 14 152 -1.0000 -1.0000 -1.000000
1475.00 C 20260821 -1.00 -1.00 9 227 -1.0000 -1.0000 -1.000000
1480.00 C 20260821 -1.00 -1.00 22 144 -1.0000 -1.0000 -1.000000
1485.00 C 20260821 -1.00 -1.00 8 224 -1.0000 -1.0000 -1.000000
1490.00 C 20260821 -1.00 -1.00 42 194 -1.0000 -1.0000 -1.000000
1495.00 C 20260821 -1.00 -1.00 20 43 -1.0000 -1.0000 -1.000000
1500.00 C 20260821 -1.00 -1.00 1274 3114 -1.0000 -1.0000 -1.000000
1505.00 C 20260821 -1.00 -1.00 46 85 -1.0000 -1.0000 -1.000000
1510.00 C 20260821 -1.00 -1.00 49 362 -1.0000 -1.0000 -1.000000
1515.00 C 20260821 -1.00 -1.00 15 162 -1.0000 -1.0000 -1.000000
1520.00 C 20260821 -1.00 -1.00 102 257 -1.0000 -1.0000 -1.000000
1525.00 C 20260821 -1.00 -1.00 37 43 -1.0000 -1.0000 -1.000000
1530.00 C 20260821 -1.00 -1.00 79 243 -1.0000 -1.0000 -1.000000
1535.00 C 20260821 -1.00 -1.00 41 183 -1.0000 -1.0000 -1.000000
1540.00 C 20260821 -1.00 -1.00 58 104 -1.0000 -1.0000 -1.000000
1545.00 C 20260821 -1.00 -1.00 120 65 -1.0000 -1.0000 -1.000000
1550.00 C 20260821 -1.00 -1.00 752 803 -1.0000 -1.0000 -1.000000
1555.00 C 20260821 -1.00 -1.00 52 103 -1.0000 -1.0000 -1.000000
1560.00 C 20260821 -1.00 -1.00 194 341 -1.0000 -1.0000 -1.000000
1565.00 C 20260821 -1.00 -1.00 50 54 -1.0000 -1.0000 -1.000000
1570.00 C 20260821 -1.00 -1.00 272 249 -1.0000 -1.0000 -1.000000
1580.00 C 20260821 -1.00 -1.00 428 234 -1.0000 -1.0000 -1.000000
1590.00 C 20260821 -1.00 -1.00 273 278 -1.0000 -1.0000 -1.000000
1600.00 C 20260821 -1.00 -1.00 4916 4153 -1.0000 -1.0000 -1.000000
1610.00 C 20260821 -1.00 -1.00 940 279 -1.0000 -1.0000 -1.000000
1620.00 C 20260821 -1.00 -1.00 2316 630 0.2989 0.9413 0.002103
1630.00 C 20260821 -1.00 -1.00 1531 741 0.3899 0.8551 0.003131
1640.00 C 20260821 -1.00 -1.00 870 324 0.4559 0.7865 0.003458
1650.00 C 20260821 -1.00 -1.00 3007 1381 0.5024 0.7283 0.003529
1660.00 C 20260821 -1.00 -1.00 417 162 0.5492 0.6786 0.003519
1670.00 C 20260821 -1.00 -1.00 431 213 0.5750 0.6377 0.003517
1680.00 C 20260821 -1.00 -1.00 212 157 0.5996 0.5979 0.003452
1690.00 C 20260821 -1.00 -1.00 108 180 0.6282 0.5612 0.003367
1700.00 C 20260821 -1.00 -1.00 4282 4067 0.6504 0.5276 0.003315
1710.00 C 20260821 -1.00 -1.00 106 194 0.6698 0.4964 0.003215
1720.00 C 20260821 -1.00 -1.00 173 172 0.6812 0.4664 0.003127
1730.00 C 20260821 -1.00 -1.00 215 388 0.7051 0.4390 0.002991
1740.00 C 20260821 -1.00 -1.00 127 264 0.7230 0.4125 0.002889
1750.00 C 20260821 -1.00 -1.00 826 963 0.7169 0.3824 0.002882
1760.00 C 20260821 -1.00 -1.00 208 428 0.7472 0.3623 0.002717
1770.00 C 20260821 -1.00 -1.00 256 340 0.7540 0.3398 0.002610
1780.00 C 20260821 -1.00 -1.00 183 509 0.7637 0.3185 0.002500
1790.00 C 20260821 -1.00 -1.00 170 180 0.7755 0.2983 0.002390
1800.00 C 20260821 -1.00 -1.00 4886 2259 0.7903 0.2797 0.002281
1810.00 C 20260821 -1.00 -1.00 230 331 0.8057 0.2620 0.002177
1820.00 C 20260821 -1.00 -1.00 143 262 0.8196 0.2445 0.002082
1435.00 P 20260821 -1.00 -1.00 30 41 1.2269 -0.0907 0.000710
1440.00 P 20260821 -1.00 -1.00 1565 718 1.2348 -0.0961 0.000737
1445.00 P 20260821 -1.00 -1.00 75 84 1.2377 -0.1006 0.000763
1450.00 P 20260821 -1.00 -1.00 1669 1360 1.2423 -0.1054 0.000788
1455.00 P 20260821 -1.00 -1.00 74 69 1.2469 -0.1101 0.000814
1460.00 P 20260821 -1.00 -1.00 104 138 1.2595 -0.1159 0.000839
1465.00 P 20260821 -1.00 -1.00 131 45 1.2561 -0.1203 0.000864
1470.00 P 20260821 -1.00 -1.00 175 250 1.2541 -0.1259 0.000889
1475.00 P 20260821 -1.00 -1.00 139 68 1.2520 -0.1314 0.000914
1480.00 P 20260821 -1.00 -1.00 190 306 1.2511 -0.1372 0.000940
1485.00 P 20260821 -1.00 -1.00 121 94 1.2480 -0.1426 0.000965
1490.00 P 20260821 -1.00 -1.00 223 633 1.2514 -0.1491 0.000991
1495.00 P 20260821 -1.00 -1.00 76 100 1.2515 -0.1551 0.001017
1500.00 P 20260821 -1.00 -1.00 2274 2009 1.2474 -0.1603 0.001043
1505.00 P 20260821 -1.00 -1.00 58 62 1.2529 -0.1672 0.001068
1510.00 P 20260821 -1.00 -1.00 81 173 1.2605 -0.1743 0.001092
1515.00 P 20260821 -1.00 -1.00 34 51 1.2670 -0.1812 0.001116
1520.00 P 20260821 -1.00 -1.00 113 325 1.2725 -0.1879 0.001139
1525.00 P 20260821 -1.00 -1.00 83 78 1.2800 -0.1948 0.001162
1530.00 P 20260821 -1.00 -1.00 163 327 1.2875 -0.2016 0.001184
1535.00 P 20260821 -1.00 -1.00 22 30 1.2957 -0.2088 0.001204
1540.00 P 20260821 -1.00 -1.00 247 179 1.2928 -0.2157 0.001225
1545.00 P 20260821 -1.00 -1.00 45 51 1.2914 -0.2228 0.001245
1550.00 P 20260821 -1.00 -1.00 1172 1298 1.2925 -0.2304 0.001264
1555.00 P 20260821 -1.00 -1.00 32 46 1.2936 -0.2379 0.001282
1560.00 P 20260821 -1.00 -1.00 163 139 1.2955 -0.2455 0.001301
1565.00 P 20260821 -1.00 -1.00 48 20 1.3127 -0.2551 0.001308
1570.00 P 20260821 -1.00 -1.00 217 324 1.2969 -0.2604 0.001338
1580.00 P 20260821 -1.00 -1.00 127 138 1.3159 -0.2772 0.001362
1590.00 P 20260821 -1.00 -1.00 170 191 1.3323 -0.2933 0.001387
1600.00 P 20260821 -1.00 -1.00 2216 3597 1.3391 -0.3082 0.001418
1610.00 P 20260821 -1.00 -1.00 480 206 1.3585 -0.3239 0.001438
1620.00 P 20260821 -1.00 -1.00 883 447 1.3655 -0.3397 0.001451
1630.00 P 20260821 -1.00 -1.00 752 296 1.3633 -0.3551 0.001470
1640.00 P 20260821 -1.00 -1.00 437 174 1.3754 -0.3712 0.001473
1650.00 P 20260821 -1.00 -1.00 716 264 1.4073 -0.3878 0.001457
1660.00 P 20260821 -1.00 -1.00 121 118 1.4036 -0.4028 0.001476
1670.00 P 20260821 -1.00 -1.00 51 211 1.4107 -0.4180 0.001484
1680.00 P 20260821 -1.00 -1.00 39 63 1.4273 -0.4331 0.001482
1690.00 P 20260821 -1.00 -1.00 22 189 1.4553 -0.4478 0.001468
1700.00 P 20260821 -1.00 -1.00 581 2130 1.4838 -0.4619 0.001454
1710.00 P 20260821 -1.00 -1.00 2 53 1.5017 -0.4755 0.001438
1720.00 P 20260821 -1.00 -1.00 6 145 1.5066 -0.4890 0.001428
1730.00 P 20260821 -1.00 -1.00 5 165 1.5235 -0.5019 0.001408
1740.00 P 20260821 -1.00 -1.00 3 254 1.5249 -0.5154 0.001402
1750.00 P 20260821 -1.00 -1.00 89 1283 1.5370 -0.5281 0.001386
1760.00 P 20260821 -1.00 -1.00 57 132 1.5669 -0.5394 0.001356
1770.00 P 20260821 -1.00 -1.00 3 113 1.5893 -0.5508 0.001333
1780.00 P 20260821 -1.00 -1.00 2 88 1.6202 -0.5612 0.001304
1790.00 P 20260821 -1.00 -1.00 1 68 1.6377 -0.5723 0.001287
