# opt_chain SPCX | epoch 1786970726 | 2026-08-17 08:45:26 | spot 140.00 | exps 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src polygon_prev_close spot_edad_s 233125 | band 0.4050 vencimientos 1 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
124.00 C 20260821 -1.00 -1.00 70 829 0.6085 0.9696 0.007309
125.00 C 20260821 -1.00 -1.00 483 12436 0.7638 0.9181 0.012793
126.00 C 20260821 -1.00 -1.00 139 1577 0.6043 0.9478 0.011397
127.00 C 20260821 -1.00 -1.00 74 2676 0.7865 0.8814 0.016547
128.00 C 20260821 -1.00 -1.00 213 446 0.7633 0.8688 0.018263
129.00 C 20260821 -1.00 -1.00 139 954 0.7398 0.8531 0.020196
130.00 C 20260821 -1.00 -1.00 1903 15807 0.7546 0.8248 0.022185
131.00 C 20260821 -1.00 -1.00 122 1133 0.7124 0.8129 0.024561
132.00 C 20260821 -1.00 -1.00 385 3515 0.7862 0.7673 0.025450
133.00 C 20260821 -1.00 -1.00 249 1131 0.7656 0.7433 0.027374
134.00 C 20260821 -1.00 -1.00 572 1294 0.7738 0.7118 0.028689
135.00 C 20260821 -1.00 -1.00 4212 18444 0.7725 0.6825 0.030232
136.00 C 20260821 -1.00 -1.00 2749 1777 0.7531 0.6551 0.032278
137.00 C 20260821 -1.00 -1.00 3750 1998 0.7417 0.6223 0.033437
138.00 C 20260821 -1.00 -1.00 4290 2462 0.7345 0.5882 0.034457
139.00 C 20260821 -1.00 -1.00 4685 1716 0.7766 0.5522 0.033290
140.00 C 20260821 -1.00 -1.00 27893 16380 0.7816 0.5192 0.033715
141.00 C 20260821 -1.00 -1.00 4174 3333 0.7723 0.4862 0.033774
142.00 C 20260821 -1.00 -1.00 2076 927 0.7782 0.4541 0.033133
143.00 C 20260821 -1.00 -1.00 2386 1071 0.7841 0.4224 0.032510
144.00 C 20260821 -1.00 -1.00 2100 1524 0.7979 0.3926 0.031601
145.00 C 20260821 -1.00 -1.00 19073 22279 0.8003 0.3630 0.030879
146.00 C 20260821 -1.00 -1.00 1278 530 0.7907 0.3335 0.030004
147.00 C 20260821 -1.00 -1.00 2031 1300 0.8021 0.3090 0.028546
148.00 C 20260821 -1.00 -1.00 1092 613 0.7998 0.2812 0.027457
149.00 C 20260821 -1.00 -1.00 915 768 0.8130 0.2582 0.026067
