# opt_chain XSP | epoch 1786970773 | 2026-08-17 08:46:13 | spot 778.58 | exps 20260817 20260818 20260819 20260820 20260821
# fuente cboe_delayed | greeks cboe_delayed | iv cboe_delayed | oi cboe_delayed | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src cboe_delayed_quote spot_edad_s 232272 | band 0.1800 vencimientos 5 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
686.00 C 20260817 -1.00 -1.00 0 0 1.7055 0.9994 0.000100
686.00 P 20260817 -1.00 -1.00 0 0 1.5185 -0.0006 0.000100
687.00 C 20260817 -1.00 -1.00 0 0 1.6879 0.9994 0.000100
687.00 P 20260817 -1.00 -1.00 0 0 1.5026 -0.0006 0.000100
688.00 C 20260817 -1.00 -1.00 0 0 1.6703 0.9994 0.000100
688.00 P 20260817 -1.00 -1.00 0 0 1.4866 -0.0006 0.000100
689.00 C 20260817 -1.00 -1.00 0 0 1.6528 0.9994 0.000100
689.00 P 20260817 -1.00 -1.00 0 0 1.4707 -0.0006 0.000100
690.00 C 20260817 -1.00 -1.00 0 0 1.6353 0.9994 0.000100
690.00 P 20260817 -1.00 -1.00 0 28 1.4548 -0.0006 0.000100
691.00 C 20260817 -1.00 -1.00 0 0 1.6177 0.9993 0.000100
691.00 P 20260817 -1.00 -1.00 0 0 1.4389 -0.0007 0.000100
692.00 C 20260817 -1.00 -1.00 0 0 1.6002 0.9993 0.000100
692.00 P 20260817 -1.00 -1.00 0 0 1.4230 -0.0007 0.000100
693.00 C 20260817 -1.00 -1.00 0 0 1.5827 0.9993 0.000100
693.00 P 20260817 -1.00 -1.00 0 1 1.4071 -0.0007 0.000100
694.00 C 20260817 -1.00 -1.00 0 0 1.5652 0.9993 0.000100
694.00 P 20260817 -1.00 -1.00 0 3 1.3913 -0.0007 0.000100
695.00 C 20260817 -1.00 -1.00 0 0 1.5477 0.9993 0.000100
695.00 P 20260817 -1.00 -1.00 0 67 1.3754 -0.0007 0.000100
696.00 C 20260817 -1.00 -1.00 0 0 1.5302 0.9993 0.000100
696.00 P 20260817 -1.00 -1.00 0 0 1.3596 -0.0007 0.000100
697.00 C 20260817 -1.00 -1.00 0 0 1.5127 0.9992 0.000100
697.00 P 20260817 -1.00 -1.00 0 6 1.3437 -0.0008 0.000100
698.00 C 20260817 -1.00 -1.00 0 0 1.4953 0.9992 0.000100
698.00 P 20260817 -1.00 -1.00 0 0 1.3279 -0.0008 0.000100
699.00 C 20260817 -1.00 -1.00 0 0 1.4778 0.9992 0.000100
699.00 P 20260817 -1.00 -1.00 0 0 1.3120 -0.0008 0.000100
700.00 C 20260817 -1.00 -1.00 0 0 1.4603 0.9992 0.000100
700.00 P 20260817 -1.00 -1.00 0 30 1.2962 -0.0008 0.000100
701.00 C 20260817 -1.00 -1.00 0 0 1.4429 0.9992 0.000100
701.00 P 20260817 -1.00 -1.00 0 0 1.2804 -0.0008 0.000100
702.00 C 20260817 -1.00 -1.00 0 0 1.4254 0.9992 0.000100
702.00 P 20260817 -1.00 -1.00 0 3 1.2646 -0.0008 0.000100
703.00 C 20260817 -1.00 -1.00 0 0 1.4080 0.9991 0.000100
703.00 P 20260817 -1.00 -1.00 0 9 1.2488 -0.0009 0.000100
704.00 C 20260817 -1.00 -1.00 0 0 1.3906 0.9991 0.000100
704.00 P 20260817 -1.00 -1.00 0 0 1.2330 -0.0009 0.000100
705.00 C 20260817 -1.00 -1.00 0 1 1.3731 0.9991 0.000100
705.00 P 20260817 -1.00 -1.00 0 21 1.2173 -0.0009 0.000100
706.00 C 20260817 -1.00 -1.00 0 0 1.3557 0.9991 0.000100
706.00 P 20260817 -1.00 -1.00 0 0 1.2015 -0.0009 0.000100
707.00 C 20260817 -1.00 -1.00 0 0 1.3383 0.9991 0.000100
707.00 P 20260817 -1.00 -1.00 0 0 1.1857 -0.0009 0.000100
708.00 C 20260817 -1.00 -1.00 0 0 1.3208 0.9990 0.000100
708.00 P 20260817 -1.00 -1.00 0 100 1.1700 -0.0010 0.000100
709.00 C 20260817 -1.00 -1.00 0 0 1.3034 0.9990 0.000100
709.00 P 20260817 -1.00 -1.00 0 0 1.1542 -0.0010 0.000100
710.00 C 20260817 -1.00 -1.00 0 2 1.2860 0.9990 0.000100
710.00 P 20260817 -1.00 -1.00 0 90 1.1385 -0.0010 0.000100
711.00 C 20260817 -1.00 -1.00 0 0 1.2686 0.9990 0.000100
