# opt_chain AMD | epoch 1787500979 | 2026-08-23 12:02:59 | spot 472.4500 | exps 20260824 20260826 20260828 20260831 20260902 20260904 20260911 20260918 20260925 20261002 20261016 20261120
# fuente cboe | spot_src cboe | spot_age 158580 | band 1.1800 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# delayed y DESIGUAL entre simbolos (fuente_ts 2026-08-21T15:59:59): NO dispara ninguna orden
# strike right exp bid ask vol oi iv delta gamma
290.00 C 20260824 180.15 186.40 0 1 -1.0000 0.9997 0.000000
290.00 P 20260824 0.00 0.25 28 11 2.1272 -0.0003 0.000000
300.00 C 20260824 169.10 178.00 0 2 -1.0000 0.9996 0.000000
300.00 P 20260824 0.00 0.25 0 53 1.9920 -0.0004 0.000000
310.00 C 20260824 159.00 167.40 0 1 -1.0000 0.9995 0.000000
310.00 P 20260824 0.00 0.25 0 10 1.8608 -0.0005 0.000000
315.00 C 20260824 154.00 162.30 1 1 -1.0000 0.9995 0.000000
315.00 P 20260824 0.00 0.25 0 8 1.7966 -0.0005 0.000000
320.00 C 20260824 150.35 156.65 0 0 1.7592 0.9994 0.000000
320.00 P 20260824 0.00 0.25 3 11 1.7333 -0.0006 0.000000
325.00 C 20260824 144.15 152.40 0 14 1.5603 0.9994 0.000000
325.00 P 20260824 0.00 0.25 0 5 1.6708 -0.0006 0.000000
330.00 C 20260824 139.00 148.00 0 0 2.1081 0.9993 0.000000
330.00 P 20260824 0.00 0.25 0 18 1.7284 -0.0007 0.000000
335.00 C 20260824 134.10 143.00 0 0 2.0320 0.9992 0.000000
335.00 P 20260824 0.00 0.25 1 4 1.6638 -0.0008 0.000000
340.00 C 20260824 129.50 137.45 0 0 1.9568 0.9992 0.000100
340.00 P 20260824 0.00 0.25 2 13 1.5809 -0.0008 0.000100
345.00 C 20260824 125.30 131.70 0 0 1.4767 0.9991 0.000100
345.00 P 20260824 0.00 0.25 0 12 1.5370 -0.0009 0.000100
350.00 C 20260824 120.30 126.40 4 2 -1.0000 0.9990 0.000100
350.00 P 20260824 0.00 0.06 0 42 1.1793 -0.0010 0.000100
355.00 C 20260824 115.35 122.60 0 5 1.8108 0.9989 0.000100
355.00 P 20260824 0.00 0.25 2 18 1.4130 -0.0011 0.000100
360.00 C 20260824 111.80 115.20 2 6 1.5474 0.9988 0.000100
360.00 P 20260824 0.00 0.26 1 29 1.3520 -0.0012 0.000100
365.00 C 20260824 105.30 111.70 2 0 1.4690 0.9987 0.000100
365.00 P 20260824 0.00 0.25 0 25 1.1981 -0.0013 0.000100
370.00 C 20260824 99.15 106.70 0 0 -1.0000 0.9986 0.000100
370.00 P 20260824 0.00 0.26 0 62 1.2318 -0.0014 0.000100
375.00 C 20260824 96.80 99.80 0 1 -1.0000 0.9984 0.000100
375.00 P 20260824 0.00 0.26 2 60 1.0915 -0.0016 0.000100
380.00 C 20260824 91.85 95.10 1 1 1.0150 0.9982 0.000100
380.00 P 20260824 0.00 0.26 4 25 1.0361 -0.0018 0.000100
382.50 C 20260824 89.30 93.80 1 0 -1.0000 0.9982 0.000200
382.50 P 20260824 0.00 0.12 13 433 0.9210 -0.0018 0.000200
385.00 C 20260824 84.30 89.80 0 3 -1.0000 0.9981 0.000200
385.00 P 20260824 0.00 0.26 2 22 0.9812 -0.0019 0.000200
387.50 C 20260824 84.30 87.30 2 1 -1.0000 0.9980 0.000200
387.50 P 20260824 0.00 0.26 5 27 0.9539 -0.0020 0.000200
390.00 C 20260824 81.80 84.80 2 0 -1.0000 0.9979 0.000200
390.00 P 20260824 0.00 0.01 13 21 0.6718 -0.0021 0.000200
392.50 C 20260824 79.30 82.35 0 0 -1.0000 0.9978 0.000200
392.50 P 20260824 0.00 0.26 12 14 0.8996 -0.0022 0.000200
395.00 C 20260824 76.90 79.80 0 0 -1.0000 0.9976 0.000200
395.00 P 20260824 0.00 0.01 4 135 0.6306 -0.0024 0.000200
397.50 C 20260824 74.35 78.80 0 0 -1.0000 0.9975 0.000300
397.50 P 20260824 0.00 0.01 18 21 0.6102 -0.0025 0.000300
400.00 C 20260824 71.80 74.80 12 27 -1.0000 0.9974 0.000300
400.00 P 20260824 0.00 0.01 165 144 0.5898 -0.0026 0.000300
402.50 C 20260824 69.70 72.35 0 2 0.7941 0.9972 0.000300
402.50 P 20260824 0.00 0.26 6 32 0.7923 -0.0028 0.000300
405.00 C 20260824 65.30 69.85 0 0 -1.0000 0.9971 0.000300
405.00 P 20260824 0.01 0.03 23 58 0.6198 -0.0029 0.000300
407.50 C 20260824 64.35 67.30 2 0 -1.0000 0.9969 0.000400
407.50 P 20260824 0.00 0.06 1 24 0.6222 -0.0031 0.000400
410.00 C 20260824 61.80 64.80 4 11 -1.0000 0.9967 0.000400
410.00 P 20260824 0.00 0.03 57 18 0.5598 -0.0033 0.000400
412.50 C 20260824 59.30 62.60 0 0 0.6175 0.9965 0.000400
412.50 P 20260824 0.00 0.05 2 4 0.5763 -0.0035 0.000400
