# opt_chain QCOM | epoch 1787499736 | 2026-08-23 11:42:16 | spot 161.6100 | exps 20260821 20260828 20260904 20260911 20260918 20260925 20261002 20261016 20261120 20261218 20270115 20270219
# fuente cboe | spot_src cboe | spot_age 157337 | band 0.9436 | greeks_ok_pct 1.0000 | bidask_ok_pct 1.0000
# delayed y DESIGUAL entre simbolos (fuente_ts 2026-08-21T15:59:59): NO dispara ninguna orden
# strike right exp bid ask vol oi iv delta gamma
70.00 C 20260821 89.25 92.25 0 176 -1.0000 1.0000 0.000000
70.00 P 20260821 0.00 0.02 0 2380 -1.0000 0.0000 0.000000
75.00 C 20260821 84.25 87.25 0 15 -1.0000 1.0000 0.000000
75.00 P 20260821 0.00 0.02 0 24 -1.0000 0.0000 0.000000
80.00 C 20260821 79.25 82.25 0 16 -1.0000 1.0000 0.000000
80.00 P 20260821 0.00 0.02 0 717 -1.0000 0.0000 0.000000
85.00 C 20260821 74.25 77.25 0 13 -1.0000 1.0000 0.000000
85.00 P 20260821 0.00 0.33 0 44 -1.0000 0.0000 0.000000
90.00 C 20260821 69.35 71.90 8 22 -1.0000 1.0000 0.000000
90.00 P 20260821 0.00 0.02 3 609 -1.0000 0.0000 0.000000
95.00 C 20260821 64.60 67.25 0 69 -1.0000 1.0000 0.000000
95.00 P 20260821 0.00 2.13 0 166 -1.0000 0.0000 0.000000
100.00 C 20260821 59.60 62.25 0 18 -1.0000 1.0000 0.000000
100.00 P 20260821 0.00 0.02 1 454 -1.0000 0.0000 0.000000
105.00 C 20260821 54.25 56.40 0 6 -1.0000 0.9999 0.000000
105.00 P 20260821 0.00 0.01 161 385 -1.0000 -0.0001 0.000000
110.00 C 20260821 49.60 52.00 0 37 -1.0000 0.9999 0.000000
110.00 P 20260821 0.00 0.01 14 911 -1.0000 -0.0001 0.000000
115.00 C 20260821 44.25 47.25 0 70 -1.0000 0.9999 0.000000
115.00 P 20260821 0.00 0.04 20 1438 -1.0000 -0.0001 0.000000
120.00 C 20260821 39.45 41.35 2 124 -1.0000 0.9998 0.000000
120.00 P 20260821 0.00 0.01 0 4428 -1.0000 -0.0002 0.000000
125.00 C 20260821 34.30 37.00 0 55 -1.0000 0.9998 0.000100
125.00 P 20260821 0.00 0.02 2 1883 -1.0000 -0.0002 0.000100
130.00 C 20260821 29.35 31.35 5 231 -1.0000 0.9997 0.000100
130.00 P 20260821 0.00 0.01 41 1608 -1.0000 -0.0003 0.000100
135.00 C 20260821 24.45 26.35 2 163 -1.0000 0.9996 0.000200
135.00 P 20260821 0.00 0.01 3 2291 8.0468 -0.0004 0.000200
140.00 C 20260821 19.55 21.25 14 342 -1.0000 0.9994 0.000300
