# opt_chain AAPL | epoch 1785722419 | 2026-08-02 22:00:19 | spot 307.34 | exps 20260803 20260805
# fuente polygon | band 0.1500 | max_strikes 136 | narrow 0 | vencimientos 2 | rows 136 | greeks_ok_pct 0.7721 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
265.00 C 20260803 -1.00 -1.00 4 3 2.4406 0.8994 0.004727
270.00 C 20260803 -1.00 -1.00 68 0 2.0640 0.9045 0.005366
275.00 C 20260803 -1.00 -1.00 2 1 1.9185 0.8879 0.006543
277.50 C 20260803 -1.00 -1.00 6 2 1.7256 0.8911 0.007103
280.00 C 20260803 -1.00 -1.00 147 4 1.6406 0.8826 0.007926
282.50 C 20260803 -1.00 -1.00 22 0 1.5276 0.8766 0.008858
285.00 C 20260803 -1.00 -1.00 131 8 1.4530 0.8604 0.010043
287.50 C 20260803 -1.00 -1.00 38 2 1.3639 0.8446 0.011437
290.00 C 20260803 -1.00 -1.00 125 12 1.1996 0.8410 0.013195
292.50 C 20260803 -1.00 -1.00 26 5 1.1502 0.8131 0.015300
295.00 C 20260803 -1.00 -1.00 1822 34 1.0071 0.8001 0.018283
297.50 C 20260803 -1.00 -1.00 1028 21 0.9091 0.7727 0.021995
300.00 C 20260803 -1.00 -1.00 12423 38 0.8617 0.7198 0.025561
302.50 C 20260803 -1.00 -1.00 20216 118 0.7769 0.6670 0.030947
305.00 C 20260803 -1.00 -1.00 32852 115 0.7120 0.5926 0.035700
307.50 C 20260803 -1.00 -1.00 14381 129 0.6943 0.5019 0.038173
310.00 C 20260803 -1.00 -1.00 27666 186 0.6272 0.3986 0.040441
312.50 C 20260803 -1.00 -1.00 9574 16 0.6317 0.3063 0.036362
315.00 C 20260803 -1.00 -1.00 13160 233 0.6359 0.2234 0.031046
317.50 C 20260803 -1.00 -1.00 7090 421 0.6234 0.1510 0.024691
320.00 C 20260803 -1.00 -1.00 10080 151 0.6531 0.1116 0.019012
322.50 C 20260803 -1.00 -1.00 4944 192 0.6780 0.0785 0.014172
325.00 C 20260803 -1.00 -1.00 3694 415 0.6893 0.0541 0.010365
