# opt_chain AMZN | epoch 1784314253 | 2026-07-17 14:50:53 | spot 247.64 | exps 20260717 20260720
# strike right exp bid ask vol oi iv delta gamma
247.50 C 20260717 0.66 0.68 27306 11060 0.5205 0.5328 0.2696
247.50 P 20260717 0.51 0.55 26113 3751 0.5205 -0.4673 0.2696
250.00 C 20260717 0.06 0.07 77435 32055 0.6026 0.0877 0.0930
250.00 P 20260717 2.33 2.55 9053 10817 0.6026 -0.9124 0.0931
245.00 C 20260717 2.58 2.75 10602 23673 0.6042 0.9411 0.0684
245.00 P 20260717 0.05 0.06 28947 13161 0.6042 -0.0589 0.0684
252.50 C 20260717 0.02 0.03 24830 10258 0.8944 0.0298 0.0266
252.50 P 20260717 4.75 5.10 1053 4346 0.8944 -0.9703 0.0266
242.50 C 20260717 4.75 5.30 451 3781 0.8221 0.9869 0.0144
242.50 P 20260717 0.01 0.02 6833 5189 0.8221 -0.0131 0.0144
255.00 C 20260717 0.01 0.02 12158 17865 1.0902 0.0087 0.0076
255.00 P 20260717 7.25 7.60 1102 10555 1.0902 -0.9914 0.0076
240.00 C 20260717 7.25 7.75 2055 11716 0.9264 0.9986 0.0018
240.00 P 20260717 -1.00 0.01 3810 15233 0.9264 -0.0014 0.0018
257.50 C 20260717 -1.00 0.01 9692 14574 1.1002 0.0009 0.0010
257.50 P 20260717 9.70 10.30 197 2226 1.1002 -0.9993 0.0010
247.50 C 20260720 2.34 2.47 3419 321 0.2547 0.5116 0.0697
247.50 P 20260720 2.21 2.31 3849 582 0.2547 -0.4896 0.0700
250.00 C 20260720 1.30 1.37 10814 1051 0.2534 0.3508 0.0651
250.00 P 20260720 3.60 3.85 1379 710 0.2534 -0.6526 0.0653
245.00 C 20260720 3.75 4.00 1642 527 0.2633 0.6806 0.0602
245.00 P 20260720 1.26 1.29 3482 816 0.2633 -0.3200 0.0604
252.50 C 20260720 0.64 0.70 5606 2838 0.2588 0.2104 0.0495
252.50 P 20260720 5.40 5.75 398 272 0.2588 -0.7924 0.0500
242.50 C 20260720 5.65 5.95 247 200 0.2740 0.8046 0.0447
242.50 P 20260720 0.66 0.70 1959 264 0.2740 -0.1957 0.0448
255.00 C 20260720 0.33 0.35 4073 5035 0.2687 0.1211 0.0333
255.00 P 20260720 7.50 8.05 273 340 0.2687 -0.8826 0.0338
240.00 C 20260720 7.60 8.20 1468 515 0.2828 0.8936 0.0288
240.00 P 20260720 0.34 0.35 1065 399 0.2828 -0.1066 0.0289
257.50 C 20260720 0.16 0.19 952 1665 0.2819 0.0674 0.0204
257.50 P 20260720 9.75 10.55 392 5832 0.2819 -0.9371 0.0210
