# opt_chain AVGO | epoch 1785746353 | 2026-08-03 04:39:13 | spot 389.98 | exps 20260803 20260805
# fuente polygon | band 0.1500 | max_strikes 127 | narrow 0 | vencimientos 2 | rows 127 | greeks_ok_pct 0.9291 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
332.50 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
335.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
337.50 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
340.00 C 20260803 -1.00 -1.00 13 1 -1.0000 -1.0000 -1.000000
342.50 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
345.00 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
347.50 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
350.00 C 20260803 -1.00 -1.00 1 1 -1.0000 -1.0000 -1.000000
352.50 C 20260803 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
355.00 C 20260803 -1.00 -1.00 10 15 0.9055 0.9946 0.001042
357.50 C 20260803 -1.00 -1.00 0 0 0.9164 0.9901 0.001762
360.00 C 20260803 -1.00 -1.00 11 13 0.7811 0.9938 0.001348
362.50 C 20260803 -1.00 -1.00 14 14 0.8573 0.9809 0.003305
365.00 C 20260803 -1.00 -1.00 22 0 0.8892 0.9660 0.005229
367.50 C 20260803 -1.00 -1.00 29 3 0.7501 0.9737 0.005021
370.00 C 20260803 -1.00 -1.00 28 72 0.8392 0.9380 0.009046
372.50 C 20260803 -1.00 -1.00 7 71 0.9698 0.8780 0.013010
375.00 C 20260803 -1.00 -1.00 15 30 0.9350 0.8475 0.015571
377.50 C 20260803 -1.00 -1.00 3 241 0.8080 0.8367 0.018806
380.00 C 20260803 -1.00 -1.00 189 317 0.8227 0.7823 0.022370
382.50 C 20260803 -1.00 -1.00 70 231 0.8385 0.7156 0.024964
385.00 C 20260803 -1.00 -1.00 721 244 0.8305 0.6530 0.027909
387.50 C 20260803 -1.00 -1.00 989 236 0.7953 0.5830 0.030312
390.00 C 20260803 -1.00 -1.00 837 731 0.7972 0.5066 0.031436
392.50 C 20260803 -1.00 -1.00 544 57 0.7902 0.4301 0.030703
395.00 C 20260803 -1.00 -1.00 955 441 0.8195 0.3598 0.028635
397.50 C 20260803 -1.00 -1.00 238 99 0.7822 0.2861 0.026838
400.00 C 20260803 -1.00 -1.00 1784 464 0.7991 0.2271 0.023574
402.50 C 20260803 -1.00 -1.00 542 178 0.7961 0.1761 0.020028
405.00 C 20260803 -1.00 -1.00 794 265 0.8272 0.1376 0.016634
407.50 C 20260803 -1.00 -1.00 223 97 0.8299 0.1060 0.013568
410.00 C 20260803 -1.00 -1.00 891 516 0.8244 0.0723 0.010397
412.50 C 20260803 -1.00 -1.00 203 60 0.8049 0.0488 0.007701
415.00 C 20260803 -1.00 -1.00 148 95 0.8365 0.0373 0.005992
417.50 C 20260803 -1.00 -1.00 133 33 0.8725 0.0299 0.004812
420.00 C 20260803 -1.00 -1.00 101 110 0.8799 0.0221 0.003660
422.50 C 20260803 -1.00 -1.00 5 24 1.0021 0.0278 0.003926
425.00 C 20260803 -1.00 -1.00 13 38 1.0605 0.0264 0.003543
427.50 C 20260803 -1.00 -1.00 6 15 0.9546 0.0103 0.001745
430.00 C 20260803 -1.00 -1.00 19 147 1.1479 0.0214 0.002720
432.50 C 20260803 -1.00 -1.00 2 13 1.1997 0.0199 0.002452
