# opt_chain COIN | epoch 1785990109 | 2026-08-06 00:21:49 | spot 150.07 | spot_src intrinio_quote | spot_age 16414 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 202 | narrow 0 | vencimientos 4 | rows 202 | greeks_ok_pct 0.9802 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
128.00 C 20260807 -1.00 -1.00 3 20 2.0547 0.8836 0.009182
129.00 C 20260807 -1.00 -1.00 1 20 2.1648 0.8591 0.009818
130.00 C 20260807 -1.00 -1.00 14 78 2.0392 0.8599 0.010385
131.00 C 20260807 -1.00 -1.00 2 3 1.9625 0.8554 0.011015
132.00 C 20260807 -1.00 -1.00 2 21 1.8959 0.8494 0.011704
133.00 C 20260807 -1.00 -1.00 7 15 1.4176 0.8980 0.011942
134.00 C 20260807 -1.00 -1.00 13 15 1.5277 0.8695 0.013291
135.00 C 20260807 -1.00 -1.00 20 89 1.3787 0.8779 0.014171
136.00 C 20260807 -1.00 -1.00 20 37 1.6065 0.8246 0.015277
137.00 C 20260807 -1.00 -1.00 2 8 1.2712 0.8593 0.016745
138.00 C 20260807 -1.00 -1.00 16 16 1.2367 0.8452 0.018275
139.00 C 20260807 -1.00 -1.00 16 38 1.2768 0.8176 0.019728
140.00 C 20260807 -1.00 -1.00 11 343 1.0574 0.8366 0.022140
141.00 C 20260807 -1.00 -1.00 3 146 1.3813 0.7581 0.021565
142.00 C 20260807 -1.00 -1.00 17 2072 1.0186 0.7948 0.026781
143.00 C 20260807 -1.00 -1.00 18 2092 1.1174 0.7467 0.027270
144.00 C 20260807 -1.00 -1.00 10 1122 0.9834 0.7400 0.031385
145.00 C 20260807 -1.00 -1.00 18 446 0.9407 0.7135 0.034411
146.00 C 20260807 -1.00 -1.00 128 2372 1.0160 0.6683 0.034401
147.00 C 20260807 -1.00 -1.00 64 121 0.9435 0.6407 0.038053
148.00 C 20260807 -1.00 -1.00 69 2407 0.8437 0.6099 0.043339
149.00 C 20260807 -1.00 -1.00 236 3343 0.8285 0.5662 0.045236
150.00 C 20260807 -1.00 -1.00 718 3642 0.8492 0.5210 0.045247
152.50 C 20260807 -1.00 -1.00 1414 5470 0.8595 0.4130 0.043186
155.00 C 20260807 -1.00 -1.00 3530 6765 0.8708 0.3159 0.038863
157.50 C 20260807 -1.00 -1.00 517 2656 0.8953 0.2334 0.032927
160.00 C 20260807 -1.00 -1.00 3929 7097 0.9084 0.1696 0.026421
162.50 C 20260807 -1.00 -1.00 440 6510 0.9259 0.1198 0.020528
165.00 C 20260807 -1.00 -1.00 1274 2170 0.9374 0.0799 0.015111
167.50 C 20260807 -1.00 -1.00 434 1987 0.9820 0.0607 0.011609
170.00 C 20260807 -1.00 -1.00 1982 2490 1.0126 0.0434 0.008586
172.50 C 20260807 -1.00 -1.00 107 936 1.0986 0.0379 0.007127
128.00 P 20260807 -1.00 -1.00 14 109 1.0788 -0.0152 0.003331
129.00 P 20260807 -1.00 -1.00 254 509 1.0322 -0.0158 0.003602
130.00 P 20260807 -1.00 -1.00 122 1686 1.1676 -0.0349 0.006244
131.00 P 20260807 -1.00 -1.00 811 1154 1.2187 -0.0501 0.008040
132.00 P 20260807 -1.00 -1.00 364 648 0.9341 -0.0221 0.005320
133.00 P 20260807 -1.00 -1.00 101 435 1.0932 -0.0519 0.009227
134.00 P 20260807 -1.00 -1.00 115 677 0.9526 -0.0408 0.008667
135.00 P 20260807 -1.00 -1.00 243 2471 0.9648 -0.0533 0.010684
136.00 P 20260807 -1.00 -1.00 140 356 1.0354 -0.0803 0.013651
137.00 P 20260807 -1.00 -1.00 774 1449 0.8868 -0.0630 0.013419
138.00 P 20260807 -1.00 -1.00 137 686 0.8687 -0.0774 0.015842
139.00 P 20260807 -1.00 -1.00 280 428 0.8658 -0.0965 0.018724
140.00 P 20260807 -1.00 -1.00 1162 3665 0.8768 -0.1188 0.021742
141.00 P 20260807 -1.00 -1.00 112 493 0.8471 -0.1360 0.024655
142.00 P 20260807 -1.00 -1.00 687 584 0.8534 -0.1679 0.027921
143.00 P 20260807 -1.00 -1.00 318 1227 0.8340 -0.1932 0.031364
144.00 P 20260807 -1.00 -1.00 107 231 0.8552 -0.2309 0.034178
145.00 P 20260807 -1.00 -1.00 2185 1018 0.8519 -0.2689 0.036835
146.00 P 20260807 -1.00 -1.00 738 1065 0.8307 -0.3039 0.040162
147.00 P 20260807 -1.00 -1.00 723 690 0.8700 -0.3498 0.041072
148.00 P 20260807 -1.00 -1.00 434 577 0.8306 -0.3890 0.044014
149.00 P 20260807 -1.00 -1.00 310 569 0.8527 -0.4352 0.044012
150.00 P 20260807 -1.00 -1.00 627 1010 0.8745 -0.4791 0.043973
152.50 P 20260807 -1.00 -1.00 600 753 0.8845 -0.5841 0.042053
155.00 P 20260807 -1.00 -1.00 75 425 0.8333 -0.6931 0.040140
157.50 P 20260807 -1.00 -1.00 100 789 0.7298 -0.8151 0.034840
160.00 P 20260807 -1.00 -1.00 131 493 1.0615 -0.7905 0.025889
