# opt_chain GOOGL | epoch 1784663639 | 2026-07-21 15:53:59 | spot 348.23 | exps 20260722 20260724
# strike right exp bid ask vol oi iv delta gamma
347.50 C 20260722 7.45 11.45 0 1 1.1703 0.5306 0.0191
347.50 P 20260722 6.45 10.40 1 8 1.1703 -0.4695 0.0192
350.00 C 20260722 6.60 10.40 0 18 1.1913 0.4834 0.0184
350.00 P 20260722 7.80 11.70 0 48 1.1913 -0.5167 0.0184
345.00 C 20260722 9.00 12.65 0 7 1.1470 0.5794 0.0192
345.00 P 20260722 5.05 8.90 15 98 1.1470 -0.4207 0.0192
352.50 C 20260722 5.25 9.35 0 16 1.2095 0.4369 0.0179
352.50 P 20260722 9.25 13.05 0 19 1.2095 -0.5632 0.0180
342.50 C 20260722 10.05 13.90 0 25 1.1224 0.6231 0.0186
342.50 P 20260722 3.90 7.85 0 15 1.1224 -0.3770 0.0186
355.00 C 20260722 4.50 8.40 0 113 1.2241 0.3980 0.0173
355.00 P 20260722 10.75 14.75 0 25 1.2241 -0.6022 0.0173
340.00 C 20260722 11.35 15.35 0 3 1.0972 0.6748 0.0181
340.00 P 20260722 2.77 6.85 1 30 1.0972 -0.3253 0.0181
357.50 C 20260722 3.50 7.45 0 34 1.2350 0.3546 0.0166
357.50 P 20260722 14.30 16.15 18 179 1.2350 -0.6456 0.0166
337.50 C 20260722 12.65 16.80 0 0 1.0723 0.7212 0.0172
337.50 P 20260722 1.81 5.75 0 22 1.0723 -0.2789 0.0172
360.00 C 20260722 2.50 6.65 25 66 1.2418 0.3169 0.0157
360.00 P 20260722 14.15 18.05 0 6 1.2418 -0.6833 0.0157
335.00 C 20260722 14.45 18.40 0 0 1.0487 0.7681 0.0160
335.00 P 20260722 0.95 4.85 1 85 1.0487 -0.2320 0.0160
362.50 C 20260722 1.97 5.85 0 898 1.2447 0.2779 0.0152
362.50 P 20260722 15.80 19.95 0 5 1.2447 -0.7223 0.0152
332.50 C 20260722 16.15 20.20 0 6 1.0270 0.8185 0.0143
332.50 P 20260722 0.28 4.10 0 14 1.0270 -0.1816 0.0143
365.00 C 20260722 1.24 4.80 0 1234 1.2439 0.2436 0.0141
365.00 P 20260722 17.60 21.20 1 2 1.2439 -0.7566 0.0141
330.00 C 20260722 17.95 22.05 0 0 1.0080 0.8572 0.0124
330.00 P 20260722 -1.00 3.60 0 125 1.0080 -0.1429 0.0124
367.50 C 20260722 0.58 4.50 0 28 1.2398 0.2099 0.0130
367.50 P 20260722 19.55 23.45 0 0 1.2398 -0.7903 0.0131
327.50 C 20260722 20.10 24.10 0 0 0.9920 0.8914 0.0104
327.50 P 20260722 -1.00 3.10 0 7 0.9920 -0.1087 0.0104
347.50 C 20260724 10.85 11.00 618 270 0.8285 0.5309 0.0153
347.50 P 20260724 9.90 10.05 605 881 0.8285 -0.4694 0.0153
350.00 C 20260724 9.70 9.75 4780 3705 0.8307 0.4931 0.0153
350.00 P 20260724 11.15 11.35 1857 1790 0.8307 -0.5073 0.0153
345.00 C 20260724 12.10 12.35 380 852 0.8260 0.5692 0.0151
345.00 P 20260724 8.65 8.80 2655 1165 0.8260 -0.4311 0.0151
352.50 C 20260724 8.55 8.80 1356 2785 0.8325 0.4555 0.0151
352.50 P 20260724 12.30 12.80 42 256 0.8325 -0.5449 0.0152
342.50 C 20260724 13.50 14.00 42 341 0.8235 0.6072 0.0149
342.50 P 20260724 7.35 7.75 131 379 0.8235 -0.3930 0.0149
355.00 C 20260724 7.60 7.80 2218 2880 0.8339 0.4189 0.0149
355.00 P 20260724 13.70 14.35 498 1713 0.8339 -0.5815 0.0149
340.00 C 20260724 15.00 15.55 655 338 0.8211 0.6439 0.0144
340.00 P 20260724 6.45 6.70 3440 1870 0.8211 -0.3563 0.0144
357.50 C 20260724 6.65 6.95 1306 1604 0.8348 0.3824 0.0145
357.50 P 20260724 15.30 15.95 106 536 0.8348 -0.6180 0.0145
337.50 C 20260724 16.30 17.20 13 39 0.8190 0.6807 0.0139
337.50 P 20260724 5.65 5.75 386 743 0.8190 -0.3194 0.0139
360.00 C 20260724 5.80 6.00 6140 6342 0.8351 0.3478 0.0141
360.00 P 20260724 16.95 17.65 151 846 0.8351 -0.6527 0.0141
335.00 C 20260724 17.95 18.85 23 105 0.8173 0.7157 0.0132
335.00 P 20260724 4.75 4.90 1696 2053 0.8173 -0.2844 0.0132
362.50 C 20260724 5.05 5.30 454 3831 0.8349 0.3149 0.0135
362.50 P 20260724 18.65 19.40 49 192 0.8349 -0.6856 0.0135
332.50 C 20260724 19.70 20.60 3 20 0.8161 0.7496 0.0124
332.50 P 20260724 3.80 4.15 708 653 0.8161 -0.2505 0.0124
365.00 C 20260724 4.35 4.45 2559 3900 0.8344 0.2827 0.0129
365.00 P 20260724 20.00 21.55 40 480 0.8344 -0.7179 0.0129
330.00 C 20260724 21.80 22.40 37 299 0.8155 0.7808 0.0115
330.00 P 20260724 3.40 3.50 2795 2511 0.8155 -0.2193 0.0115
367.50 C 20260724 3.75 3.90 557 1396 0.8336 0.2535 0.0122
367.50 P 20260724 22.40 23.05 15 232 0.8336 -0.7471 0.0122
327.50 C 20260724 23.40 24.40 10 55 0.8156 0.8103 0.0106
327.50 P 20260724 2.81 2.92 653 364 0.8156 -0.1898 0.0106
