# opt_chain INTC | epoch 1786711543 | 2026-08-14 08:45:43 | spot 105.49 | spot_src finnhub | spot_age 103 | exps 20260814 20260817 20260819 20260821 20260824 20260826 20260828
# fuente polygon | band 0.1500 | max_strikes 524 | narrow 0 | vencimientos 8 | rows 524 | greeks_ok_pct 0.9218 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
90.00 C 20260814 -1.00 -1.00 116 5618 -1.0000 -1.0000 -1.000000
91.00 C 20260814 -1.00 -1.00 23 118 -1.0000 -1.0000 -1.000000
91.50 C 20260814 -1.00 -1.00 25 391 -1.0000 -1.0000 -1.000000
92.00 C 20260814 -1.00 -1.00 44 479 -1.0000 -1.0000 -1.000000
92.50 C 20260814 -1.00 -1.00 16 185 -1.0000 -1.0000 -1.000000
93.00 C 20260814 -1.00 -1.00 26 492 -1.0000 -1.0000 -1.000000
94.00 C 20260814 -1.00 -1.00 95 267 -1.0000 -1.0000 -1.000000
95.00 C 20260814 -1.00 -1.00 234 1535 -1.0000 -1.0000 -1.000000
96.00 C 20260814 -1.00 -1.00 96 301 -1.0000 -1.0000 -1.000000
97.00 C 20260814 -1.00 -1.00 431 2592 -1.0000 -1.0000 -1.000000
98.00 C 20260814 -1.00 -1.00 684 9233 -1.0000 -1.0000 -1.000000
99.00 C 20260814 -1.00 -1.00 536 1320 -1.0000 -1.0000 -1.000000
100.00 C 20260814 -1.00 -1.00 3296 7646 -1.0000 -1.0000 -1.000000
101.00 C 20260814 -1.00 -1.00 1922 5262 -1.0000 -1.0000 -1.000000
102.00 C 20260814 -1.00 -1.00 6009 3885 -1.0000 -1.0000 -1.000000
103.00 C 20260814 -1.00 -1.00 5887 6080 0.5167 0.8951 0.093725
104.00 C 20260814 -1.00 -1.00 5882 8505 0.7110 0.7036 0.129906
105.00 C 20260814 -1.00 -1.00 29321 12829 0.8011 0.5575 0.131856
106.00 C 20260814 -1.00 -1.00 27439 6069 0.8606 0.4326 0.122048
107.00 C 20260814 -1.00 -1.00 15409 8094 0.9487 0.3341 0.103051
108.00 C 20260814 -1.00 -1.00 11613 6796 0.9539 0.2397 0.088111
109.00 C 20260814 -1.00 -1.00 7728 3027 0.9858 0.1748 0.069617
110.00 C 20260814 -1.00 -1.00 26089 14989 1.0307 0.1251 0.053657
111.00 C 20260814 -1.00 -1.00 2922 1583 1.0705 0.0904 0.040457
112.00 C 20260814 -1.00 -1.00 4439 3993 1.0966 0.0615 0.029574
113.00 C 20260814 -1.00 -1.00 2406 1393 1.1403 0.0448 0.021948
114.00 C 20260814 -1.00 -1.00 1326 2256 1.1167 0.0249 0.013809
115.00 C 20260814 -1.00 -1.00 2856 4267 1.2180 0.0230 0.011821
116.00 C 20260814 -1.00 -1.00 1759 1576 1.2162 0.0125 0.007124
117.00 C 20260814 -1.00 -1.00 443 563 1.3035 0.0117 0.006255
118.00 C 20260814 -1.00 -1.00 1461 1353 1.3330 0.0088 0.004685
119.00 C 20260814 -1.00 -1.00 445 6174 1.4759 0.0104 0.004962
