# opt_chain MSFT | epoch 1784650692 | 2026-07-21 12:18:12 | spot 397.47 | exps 20260722 20260724
# strike right exp bid ask vol oi iv delta gamma
397.50 C 20260722 3.55 3.65 1953 530 0.3976 0.5121 0.0451
397.50 P 20260722 3.45 3.55 7077 298 0.3976 -0.4882 0.0452
395.00 C 20260722 4.90 5.15 611 870 0.3976 0.6226 0.0428
395.00 P 20260722 2.36 2.45 4025 753 0.3976 -0.3776 0.0429
400.00 C 20260722 2.48 2.57 15823 3110 0.4001 0.4020 0.0434
400.00 P 20260722 4.85 5.00 2554 1076 0.4001 -0.5985 0.0434
392.50 C 20260722 6.55 6.90 154 326 0.4006 0.7222 0.0376
392.50 P 20260722 1.55 1.62 2120 781 0.4006 -0.2780 0.0376
402.50 C 20260722 1.65 1.70 16250 2020 0.4048 0.3005 0.0386
402.50 P 20260722 6.45 6.80 247 367 0.4048 -0.6986 0.0388
390.00 C 20260722 8.35 8.80 174 457 0.4055 0.8049 0.0305
390.00 P 20260722 0.99 1.03 2886 851 0.4055 -0.1952 0.0306
405.00 C 20260722 1.08 1.11 28553 3774 0.4106 0.2157 0.0321
405.00 P 20260722 8.40 8.70 518 87 0.4106 -0.7852 0.0322
387.50 C 20260722 10.35 11.05 83 123 0.4121 0.8714 0.0228
387.50 P 20260722 0.59 0.65 1221 542 0.4121 -0.1287 0.0228
407.50 C 20260722 0.69 0.71 4471 1676 0.4170 0.1478 0.0248
407.50 P 20260722 10.45 11.10 8 9 0.4170 -0.8533 0.0249
385.00 C 20260722 12.35 14.30 22 188 0.4218 0.9134 0.0168
385.00 P 20260722 0.35 0.39 1437 1196 0.4218 -0.0867 0.0168
410.00 C 20260722 0.43 0.45 18790 3714 0.4235 0.1006 0.0186
410.00 P 20260722 11.45 13.55 19 46 0.4235 -0.9007 0.0187
382.50 C 20260722 14.30 17.40 1 106 0.4354 0.9443 0.0116
382.50 P 20260722 0.21 0.23 347 414 0.4354 -0.0558 0.0116
397.50 C 20260724 6.50 6.85 615 2029 0.4346 0.5106 0.0250
397.50 P 20260724 6.05 6.40 623 229 0.4346 -0.4901 0.0251
395.00 C 20260724 7.75 8.15 246 2274 0.4341 0.5723 0.0246
395.00 P 20260724 5.00 5.20 789 1726 0.4341 -0.4282 0.0246
400.00 C 20260724 5.30 5.40 3658 7394 0.4354 0.4489 0.0247
400.00 P 20260724 7.40 7.75 544 1163 0.4354 -0.5519 0.0248
392.50 C 20260724 9.20 9.65 45 752 0.4341 0.6342 0.0235
392.50 P 20260724 3.95 4.20 239 348 0.4341 -0.3662 0.0235
402.50 C 20260724 4.30 4.50 992 958 0.4366 0.3893 0.0238
402.50 P 20260724 8.85 9.25 28 491 0.4366 -0.6116 0.0239
390.00 C 20260724 10.75 11.30 188 2789 0.4346 0.6939 0.0219
390.00 P 20260724 3.15 3.30 1116 1636 0.4346 -0.3065 0.0219
405.00 C 20260724 3.45 3.55 3798 4169 0.4381 0.3325 0.0225
405.00 P 20260724 10.50 10.90 21 700 0.4381 -0.6686 0.0226
387.50 C 20260724 12.50 13.15 14 490 0.4357 0.7478 0.0199
387.50 P 20260724 2.47 2.57 226 807 0.4357 -0.2524 0.0199
407.50 C 20260724 2.76 2.84 505 1621 0.4398 0.2816 0.0209
407.50 P 20260724 12.35 12.70 7 146 0.4398 -0.7197 0.0210
385.00 C 20260724 14.40 15.00 34 1363 0.4375 0.7946 0.0177
385.00 P 20260724 1.91 1.98 461 1944 0.4375 -0.2056 0.0177
410.00 C 20260724 2.20 2.27 5155 7316 0.4418 0.2361 0.0189
410.00 P 20260724 14.20 14.75 24 715 0.4418 -0.7647 0.0190
382.50 C 20260724 16.45 17.05 2 233 0.4402 0.8335 0.0154
382.50 P 20260724 1.40 1.50 111 456 0.4402 -0.1667 0.0154
