# opt_chain MU | epoch 1784663548 | 2026-07-21 15:52:28 | spot 972.72 | exps 20260722 20260724
# strike right exp bid ask vol oi iv delta gamma
975.00 C 20260722 21.15 21.55 7232 909 1.0978 0.4944 0.0071
975.00 P 20260722 23.25 23.65 4543 28 1.0978 -0.5057 0.0071
970.00 C 20260722 23.75 24.20 9198 298 1.1068 0.5299 0.0071
970.00 P 20260722 20.85 21.35 6596 110 1.1068 -0.4702 0.0071
980.00 C 20260722 18.65 19.00 9027 364 1.0890 0.4585 0.0072
980.00 P 20260722 25.75 26.25 3965 46 1.0890 -0.5416 0.0072
965.00 C 20260722 26.55 27.30 3251 245 1.1160 0.5645 0.0069
965.00 P 20260722 18.60 19.20 4299 19 1.1160 -0.4356 0.0069
985.00 C 20260722 16.25 16.85 3138 245 1.0806 0.4225 0.0071
985.00 P 20260722 28.30 29.05 334 9 1.0806 -0.5777 0.0071
960.00 C 20260722 29.05 30.30 5848 413 1.1252 0.5983 0.0068
960.00 P 20260722 16.75 17.20 3587 36 1.1252 -0.4017 0.0068
990.00 C 20260722 14.30 14.70 3247 356 1.0726 0.3872 0.0070
990.00 P 20260722 31.10 32.05 229 63 1.0726 -0.6130 0.0070
955.00 C 20260722 32.25 33.55 4886 438 1.1344 0.6316 0.0065
955.00 P 20260722 14.85 15.20 3435 64 1.1344 -0.3684 0.0065
995.00 C 20260722 12.40 12.80 1919 259 1.0652 0.3514 0.0069
995.00 P 20260722 34.15 35.45 195 17 1.0652 -0.6488 0.0069
950.00 C 20260722 35.70 36.65 11374 1886 1.1437 0.6632 0.0063
950.00 P 20260722 13.15 13.70 8059 109 1.1437 -0.3369 0.0063
1000.00 C 20260722 10.80 11.00 26833 2229 1.0585 0.3185 0.0066
1000.00 P 20260722 37.20 38.40 824 73 1.0585 -0.6818 0.0066
945.00 C 20260722 39.05 40.30 3230 93 1.1529 0.6958 0.0060
945.00 P 20260722 11.60 12.05 3575 190 1.1529 -0.3043 0.0060
1005.00 C 20260722 9.10 9.55 2167 293 1.0526 0.2847 0.0064
1005.00 P 20260722 40.90 42.10 22 0 1.0526 -0.7156 0.0064
940.00 C 20260722 42.95 43.70 5691 550 1.1624 0.7246 0.0056
940.00 P 20260722 10.20 10.70 4864 74 1.1624 -0.2754 0.0057
975.00 C 20260724 37.80 38.85 2075 501 1.1200 0.5175 0.0040
975.00 P 20260724 39.55 40.30 1406 406 1.1200 -0.4827 0.0040
970.00 C 20260724 40.45 41.40 3750 3564 1.1244 0.5322 0.0040
970.00 P 20260724 37.15 37.90 2303 218 1.1244 -0.4680 0.0040
980.00 C 20260724 35.30 36.20 2083 1643 1.1154 0.4974 0.0040
980.00 P 20260724 42.05 42.85 1851 690 1.1154 -0.5028 0.0041
965.00 C 20260724 43.05 43.90 935 318 1.1288 0.5576 0.0040
965.00 P 20260724 34.75 35.60 817 124 1.1288 -0.4426 0.0040
985.00 C 20260724 33.00 34.05 759 322 1.1107 0.4772 0.0041
985.00 P 20260724 44.60 45.65 354 153 1.1107 -0.5231 0.0041
960.00 C 20260724 45.90 46.75 2039 2103 1.1331 0.5775 0.0039
960.00 P 20260724 32.50 33.40 1010 218 1.1331 -0.4227 0.0039
990.00 C 20260724 30.85 31.60 1005 734 1.1059 0.4567 0.0041
990.00 P 20260724 47.30 48.25 168 579 1.1059 -0.5435 0.0041
955.00 C 20260724 48.55 49.75 890 467 1.1374 0.5968 0.0039
955.00 P 20260724 30.40 31.40 821 190 1.1374 -0.4034 0.0039
952.50 C 20260724 49.65 51.35 381 150 1.1395 0.6065 0.0038
952.50 P 20260724 29.35 30.35 531 34 1.1395 -0.3937 0.0038
995.00 C 20260724 28.65 29.10 688 418 1.1008 0.4364 0.0041
995.00 P 20260724 50.15 51.05 248 363 1.1008 -0.5639 0.0041
950.00 C 20260724 51.30 52.70 8112 2603 1.1416 0.6160 0.0038
950.00 P 20260724 28.50 29.00 6064 2997 1.1416 -0.3842 0.0038
947.50 C 20260724 52.70 54.25 312 97 1.1438 0.6254 0.0038
947.50 P 20260724 27.40 28.40 331 177 1.1438 -0.3747 0.0038
1000.00 C 20260724 26.60 27.50 19437 9922 1.0957 0.4166 0.0040
1000.00 P 20260724 53.10 54.00 1945 837 1.0957 -0.5837 0.0040
945.00 C 20260724 54.30 55.70 606 288 1.1459 0.6349 0.0037
945.00 P 20260724 26.50 27.20 723 322 1.1459 -0.3653 0.0037
1002.50 C 20260724 25.60 26.55 195 171 1.0931 0.4066 0.0040
1002.50 P 20260724 54.70 55.65 117 6 1.0931 -0.5937 0.0040
942.50 C 20260724 56.05 57.35 249 290 1.1480 0.6443 0.0037
942.50 P 20260724 25.55 26.45 189 52 1.1480 -0.3559 0.0037
1005.00 C 20260724 24.55 25.35 1459 929 1.0905 0.3966 0.0040
1005.00 P 20260724 55.80 57.40 100 123 1.0905 -0.6037 0.0040
940.00 C 20260724 57.70 58.90 1404 582 1.1502 0.6527 0.0036
940.00 P 20260724 24.70 25.50 9211 629 1.1502 -0.3474 0.0037
1007.50 C 20260724 23.55 24.50 135 77 1.0879 0.3866 0.0040
1007.50 P 20260724 57.30 59.10 11 6 1.0879 -0.6138 0.0040
937.50 C 20260724 59.10 60.55 282 161 1.1523 0.6587 0.0036
937.50 P 20260724 23.70 24.60 207 146 1.1523 -0.3414 0.0036
