# opt_chain PLTR | epoch 1785988488 | 2026-08-05 23:54:48 | spot 156.90 | spot_src intrinio_quote | spot_age 14095 | exps 20260807 20260814 20260821 20260828
# fuente polygon | band 0.1500 | max_strikes 204 | narrow 0 | vencimientos 4 | rows 204 | greeks_ok_pct 0.9265 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
134.00 C 20260807 -1.00 -1.00 132 2163 2.0475 0.8812 0.008896
135.00 C 20260807 -1.00 -1.00 1000 8496 2.0290 0.8710 0.009438
136.00 C 20260807 -1.00 -1.00 161 1667 1.9923 0.8627 0.009992
137.00 C 20260807 -1.00 -1.00 84 1215 1.8648 0.8652 0.010560
138.00 C 20260807 -1.00 -1.00 117 1499 1.8471 0.8538 0.011219
139.00 C 20260807 -1.00 -1.00 81 1346 1.6939 0.8597 0.011922
140.00 C 20260807 -1.00 -1.00 1203 10865 1.6410 0.8521 0.012724
141.00 C 20260807 -1.00 -1.00 105 1357 1.6064 0.8416 0.013591
142.00 C 20260807 -1.00 -1.00 125 1661 1.5363 0.8355 0.014566
143.00 C 20260807 -1.00 -1.00 100 1327 1.5202 0.8215 0.015551
144.00 C 20260807 -1.00 -1.00 69 875 1.4420 0.8154 0.016769
145.00 C 20260807 -1.00 -1.00 811 7683 1.3467 0.8113 0.018224
146.00 C 20260807 -1.00 -1.00 193 1191 1.2697 0.8039 0.019838
147.00 C 20260807 -1.00 -1.00 284 3347 1.2284 0.7904 0.021481
148.00 C 20260807 -1.00 -1.00 290 1403 1.1621 0.7784 0.023456
149.00 C 20260807 -1.00 -1.00 715 2887 1.0938 0.7637 0.025669
150.00 C 20260807 -1.00 -1.00 2246 21222 1.0458 0.7432 0.027914
152.50 C 20260807 -1.00 -1.00 406 10614 0.9374 0.6817 0.034700
155.00 C 20260807 -1.00 -1.00 1452 9044 0.8625 0.5952 0.040684
157.50 C 20260807 -1.00 -1.00 3744 8643 0.8122 0.4900 0.044831
160.00 C 20260807 -1.00 -1.00 23390 15099 0.7985 0.3788 0.043637
162.50 C 20260807 -1.00 -1.00 14182 6583 0.7741 0.2743 0.039028
165.00 C 20260807 -1.00 -1.00 29179 20952 0.7593 0.1856 0.031809
167.50 C 20260807 -1.00 -1.00 26001 11077 0.7665 0.1213 0.023842
170.00 C 20260807 -1.00 -1.00 43008 20349 0.7861 0.0780 0.016866
172.50 C 20260807 -1.00 -1.00 4424 0 0.7961 0.0498 0.011598
175.00 C 20260807 -1.00 -1.00 13785 9760 0.8434 0.0341 0.008148
177.50 C 20260807 -1.00 -1.00 2361 0 0.8644 0.0234 0.005731
180.00 C 20260807 -1.00 -1.00 16222 11174 0.9134 0.0176 0.004245
134.00 P 20260807 -1.00 -1.00 33 896 0.9782 -0.0091 0.002265
135.00 P 20260807 -1.00 -1.00 893 6625 0.9613 -0.0106 0.002632
136.00 P 20260807 -1.00 -1.00 319 508 0.9002 -0.0099 0.002649
137.00 P 20260807 -1.00 -1.00 93 644 0.8617 -0.0103 0.002877
138.00 P 20260807 -1.00 -1.00 664 1489 0.8550 -0.0142 0.003791
139.00 P 20260807 -1.00 -1.00 953 1223 0.8215 -0.0160 0.004363
140.00 P 20260807 -1.00 -1.00 3098 9779 0.7788 -0.0168 0.004795
141.00 P 20260807 -1.00 -1.00 383 1257 0.7645 -0.0213 0.005988
142.00 P 20260807 -1.00 -1.00 674 1358 0.7317 -0.0236 0.006861
143.00 P 20260807 -1.00 -1.00 797 1516 0.7235 -0.0296 0.008469
144.00 P 20260807 -1.00 -1.00 719 1395 0.6943 -0.0360 0.010246
145.00 P 20260807 -1.00 -1.00 1995 5075 0.6699 -0.0440 0.012475
146.00 P 20260807 -1.00 -1.00 1274 1154 0.6548 -0.0547 0.015309
147.00 P 20260807 -1.00 -1.00 1214 1092 0.6400 -0.0670 0.018513
148.00 P 20260807 -1.00 -1.00 1832 2313 0.6223 -0.0862 0.022768
149.00 P 20260807 -1.00 -1.00 4830 3523 0.6073 -0.1073 0.027544
150.00 P 20260807 -1.00 -1.00 35378 15395 0.5970 -0.1328 0.032865
152.50 P 20260807 -1.00 -1.00 11622 6062 0.5686 -0.2262 0.048557
155.00 P 20260807 -1.00 -1.00 13587 13673 0.5348 -0.3591 0.064051
157.50 P 20260807 -1.00 -1.00 17076 3895 0.4920 -0.5290 0.073642
160.00 P 20260807 -1.00 -1.00 25086 6354 0.4255 -0.7306 0.070706
162.50 P 20260807 -1.00 -1.00 5750 1595 -1.0000 -1.0000 -1.000000
165.00 P 20260807 -1.00 -1.00 4016 1819 -1.0000 -1.0000 -1.000000
167.50 P 20260807 -1.00 -1.00 672 289 -1.0000 -1.0000 -1.000000
170.00 P 20260807 -1.00 -1.00 400 1219 -1.0000 -1.0000 -1.000000
172.50 P 20260807 -1.00 -1.00 16 0 -1.0000 -1.0000 -1.000000
175.00 P 20260807 -1.00 -1.00 86 418 -1.0000 -1.0000 -1.000000
177.50 P 20260807 -1.00 -1.00 5 0 -1.0000 -1.0000 -1.000000
180.00 P 20260807 -1.00 -1.00 35 434 -1.0000 -1.0000 -1.000000
134.00 C 20260814 -1.00 -1.00 54 357 0.9707 0.8726 0.008913
135.00 C 20260814 -1.00 -1.00 122 1219 0.9832 0.8579 0.009428
136.00 C 20260814 -1.00 -1.00 49 421 0.9496 0.8537 0.009949
137.00 C 20260814 -1.00 -1.00 31 380 0.9287 0.8463 0.010506
138.00 C 20260814 -1.00 -1.00 21 250 0.8705 0.8476 0.011147
139.00 C 20260814 -1.00 -1.00 33 363 0.8377 0.8426 0.011833
140.00 C 20260814 -1.00 -1.00 337 1666 0.8050 0.8373 0.012589
141.00 C 20260814 -1.00 -1.00 16 361 0.7933 0.8261 0.013359
142.00 C 20260814 -1.00 -1.00 18 291 0.7775 0.8156 0.014188
143.00 C 20260814 -1.00 -1.00 56 507 0.7781 0.8009 0.014961
144.00 C 20260814 -1.00 -1.00 21 83 0.7618 0.7897 0.015872
145.00 C 20260814 -1.00 -1.00 172 974 0.7418 0.7761 0.016778
146.00 C 20260814 -1.00 -1.00 58 3818 0.7189 0.7626 0.017800
147.00 C 20260814 -1.00 -1.00 122 184 0.6993 0.7475 0.018860
148.00 C 20260814 -1.00 -1.00 106 140 0.6798 0.7315 0.020007
149.00 C 20260814 -1.00 -1.00 187 367 0.6696 0.7125 0.021042
150.00 C 20260814 -1.00 -1.00 658 2745 0.6625 0.6922 0.022049
152.50 C 20260814 -1.00 -1.00 201 4460 0.6360 0.6379 0.024471
155.00 C 20260814 -1.00 -1.00 777 4622 0.6166 0.5749 0.026273
157.50 C 20260814 -1.00 -1.00 564 1534 0.6105 0.5088 0.027279
160.00 C 20260814 -1.00 -1.00 2990 4266 0.5906 0.4398 0.027566
162.50 C 20260814 -1.00 -1.00 9541 1477 0.5977 0.3742 0.026584
165.00 C 20260814 -1.00 -1.00 7228 5161 0.5791 0.3096 0.025107
167.50 C 20260814 -1.00 -1.00 8762 742 0.5871 0.2534 0.022761
170.00 C 20260814 -1.00 -1.00 6717 6163 0.5837 0.2055 0.020104
172.50 C 20260814 -1.00 -1.00 860 0 0.5885 0.1632 0.017317
175.00 C 20260814 -1.00 -1.00 3756 2445 0.5974 0.1309 0.014745
177.50 C 20260814 -1.00 -1.00 374 0 0.5908 0.0993 0.012131
180.00 C 20260814 -1.00 -1.00 4405 2641 0.6111 0.0798 0.010080
134.00 P 20260814 -1.00 -1.00 69 393 0.5892 -0.0363 0.005539
135.00 P 20260814 -1.00 -1.00 409 544 0.5900 -0.0440 0.006473
136.00 P 20260814 -1.00 -1.00 110 382 0.5689 -0.0463 0.006993
137.00 P 20260814 -1.00 -1.00 67 267 0.5633 -0.0526 0.007873
138.00 P 20260814 -1.00 -1.00 85 244 0.5598 -0.0596 0.008821
139.00 P 20260814 -1.00 -1.00 174 410 0.5474 -0.0668 0.009814
140.00 P 20260814 -1.00 -1.00 794 2235 0.5385 -0.0770 0.011039
141.00 P 20260814 -1.00 -1.00 132 432 0.5258 -0.0860 0.012268
142.00 P 20260814 -1.00 -1.00 191 109 0.5207 -0.0983 0.013720
143.00 P 20260814 -1.00 -1.00 186 1175 0.5292 -0.1157 0.015349
144.00 P 20260814 -1.00 -1.00 234 118 0.5165 -0.1275 0.016854
145.00 P 20260814 -1.00 -1.00 1769 2548 0.5037 -0.1429 0.018531
146.00 P 20260814 -1.00 -1.00 219 376 0.5007 -0.1637 0.020326
147.00 P 20260814 -1.00 -1.00 322 382 0.4986 -0.1850 0.022153
148.00 P 20260814 -1.00 -1.00 436 1129 0.4949 -0.2059 0.024041
149.00 P 20260814 -1.00 -1.00 410 367 0.4896 -0.2301 0.025834
150.00 P 20260814 -1.00 -1.00 3418 2195 0.4846 -0.2575 0.027529
152.50 P 20260814 -1.00 -1.00 852 388 0.4842 -0.3316 0.031427
155.00 P 20260814 -1.00 -1.00 2473 4859 0.4636 -0.4124 0.034748
157.50 P 20260814 -1.00 -1.00 896 480 0.4562 -0.5007 0.036581
160.00 P 20260814 -1.00 -1.00 2353 977 0.4482 -0.5914 0.036110
162.50 P 20260814 -1.00 -1.00 662 432 0.4274 -0.6838 0.034681
165.00 P 20260814 -1.00 -1.00 584 271 0.4137 -0.7719 0.030934
167.50 P 20260814 -1.00 -1.00 162 27 0.3699 -0.8684 0.025017
170.00 P 20260814 -1.00 -1.00 163 202 0.2539 -0.9912 0.008887
172.50 P 20260814 -1.00 -1.00 40 0 -1.0000 -1.0000 -1.000000
175.00 P 20260814 -1.00 -1.00 39 240 -1.0000 -1.0000 -1.000000
177.50 P 20260814 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
180.00 P 20260814 -1.00 -1.00 8 31 -1.0000 -1.0000 -1.000000
134.00 C 20260821 -1.00 -1.00 11 340 0.8007 0.8514 0.008902
135.00 C 20260821 -1.00 -1.00 299 7433 0.7657 0.8499 0.009373
136.00 C 20260821 -1.00 -1.00 4 617 0.7593 0.8403 0.009848
137.00 C 20260821 -1.00 -1.00 6 211 0.7498 0.8315 0.010346
138.00 C 20260821 -1.00 -1.00 10 408 0.7091 0.8307 0.010970
139.00 C 20260821 -1.00 -1.00 15 232 0.7092 0.8187 0.011504
140.00 C 20260821 -1.00 -1.00 2791 22184 0.7000 0.8089 0.012091
141.00 C 20260821 -1.00 -1.00 66 271 0.6786 0.8020 0.012789
142.00 C 20260821 -1.00 -1.00 14 305 0.6742 0.7894 0.013371
143.00 C 20260821 -1.00 -1.00 3 793 0.6588 0.7778 0.014032
144.00 C 20260821 -1.00 -1.00 10 304 0.6622 0.7604 0.014482
145.00 C 20260821 -1.00 -1.00 797 9670 0.6308 0.7525 0.015453
146.00 C 20260821 -1.00 -1.00 63 832 0.6204 0.7380 0.016171
150.00 C 20260821 -1.00 -1.00 1413 12607 0.6039 0.6706 0.018780
152.50 C 20260821 -1.00 -1.00 233 642 0.5825 0.6228 0.020136
155.00 C 20260821 -1.00 -1.00 567 9634 0.5712 0.5710 0.021259
157.50 C 20260821 -1.00 -1.00 102 0 0.5680 0.5177 0.021908
160.00 C 20260821 -1.00 -1.00 2751 16657 0.5582 0.4636 0.021946
162.50 C 20260821 -1.00 -1.00 582 0 0.5581 0.4100 0.021605
165.00 C 20260821 -1.00 -1.00 3112 11777 0.5571 0.3597 0.020852
167.50 C 20260821 -1.00 -1.00 247 0 0.5500 0.3106 0.019771
170.00 C 20260821 -1.00 -1.00 2408 7044 0.5532 0.2653 0.018417
172.50 C 20260821 -1.00 -1.00 270 0 0.5483 0.2246 0.016898
175.00 C 20260821 -1.00 -1.00 2064 6940 0.5476 0.1888 0.015176
177.50 C 20260821 -1.00 -1.00 118 0 0.5533 0.1566 0.013468
180.00 C 20260821 -1.00 -1.00 1933 9933 0.5561 0.1319 0.011876
134.00 P 20260821 -1.00 -1.00 42 215 0.5380 -0.0672 0.007473
