# opt_chain QCOM | epoch 1786711545 | 2026-08-14 08:45:45 | spot 165.97 | spot_src intrinio_quote | spot_age 921 | exps 20260814 20260821 20260828 20260904 20260911
# fuente polygon | band 0.1500 | max_strikes 162 | narrow 0 | vencimientos 5 | rows 162 | greeks_ok_pct 0.8704 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
142.00 C 20260814 -1.00 -1.00 2 4 -1.0000 -1.0000 -1.000000
143.00 C 20260814 -1.00 -1.00 2 1 -1.0000 -1.0000 -1.000000
144.00 C 20260814 -1.00 -1.00 4 10 -1.0000 -1.0000 -1.000000
145.00 C 20260814 -1.00 -1.00 2 14 -1.0000 -1.0000 -1.000000
146.00 C 20260814 -1.00 -1.00 3 2 -1.0000 -1.0000 -1.000000
147.00 C 20260814 -1.00 -1.00 2 56 -1.0000 -1.0000 -1.000000
148.00 C 20260814 -1.00 -1.00 25 54 -1.0000 -1.0000 -1.000000
149.00 C 20260814 -1.00 -1.00 2 143 -1.0000 -1.0000 -1.000000
150.00 C 20260814 -1.00 -1.00 28 300 -1.0000 -1.0000 -1.000000
152.50 C 20260814 -1.00 -1.00 2 141 -1.0000 -1.0000 -1.000000
155.00 C 20260814 -1.00 -1.00 20 5828 -1.0000 -1.0000 -1.000000
157.50 C 20260814 -1.00 -1.00 27 154 -1.0000 -1.0000 -1.000000
160.00 C 20260814 -1.00 -1.00 164 387 -1.0000 -1.0000 -1.000000
162.50 C 20260814 -1.00 -1.00 271 493 -1.0000 -1.0000 -1.000000
165.00 C 20260814 -1.00 -1.00 1290 3140 0.4527 0.6469 0.141549
167.50 C 20260814 -1.00 -1.00 5837 2394 0.5662 0.3296 0.108984
170.00 C 20260814 -1.00 -1.00 3896 7414 0.6515 0.1534 0.061737
172.50 C 20260814 -1.00 -1.00 1195 1891 0.7220 0.0666 0.030546
175.00 C 20260814 -1.00 -1.00 1439 1951 0.8185 0.0338 0.015590
177.50 C 20260814 -1.00 -1.00 580 325 0.9279 0.0216 0.009347
180.00 C 20260814 -1.00 -1.00 349 1241 1.0430 0.0137 0.005672
182.50 C 20260814 -1.00 -1.00 104 1003 1.1223 0.0088 0.003545
185.00 C 20260814 -1.00 -1.00 369 1347 1.2612 0.0079 0.002865
187.50 C 20260814 -1.00 -1.00 11 167 1.6267 0.0183 0.004626
190.00 C 20260814 -1.00 -1.00 1 1127 1.6053 0.0092 0.002588
142.00 P 20260814 -1.00 -1.00 1 532 2.0016 -0.0117 0.002584
143.00 P 20260814 -1.00 -1.00 1 151 2.1675 -0.0237 0.004357
144.00 P 20260814 -1.00 -1.00 20 176 1.8546 -0.0136 0.003150
145.00 P 20260814 -1.00 -1.00 19 317 1.7730 -0.0141 0.003406
146.00 P 20260814 -1.00 -1.00 12 201 1.7096 -0.0158 0.003871
147.00 P 20260814 -1.00 -1.00 11 147 1.5590 -0.0120 0.003398
148.00 P 20260814 -1.00 -1.00 2 83 1.4968 -0.0138 0.003957
149.00 P 20260814 -1.00 -1.00 26 137 1.2715 -0.0077 0.002773
150.00 P 20260814 -1.00 -1.00 49 1596 1.3735 -0.0178 0.005341
152.50 P 20260814 -1.00 -1.00 31 720 1.4000 -0.0424 0.010854
155.00 P 20260814 -1.00 -1.00 110 1091 1.1445 -0.0448 0.013871
157.50 P 20260814 -1.00 -1.00 208 732 0.9776 -0.0621 0.021378
160.00 P 20260814 -1.00 -1.00 627 1728 0.8388 -0.1076 0.037388
162.50 P 20260814 -1.00 -1.00 803 712 0.8452 -0.2353 0.062318
165.00 P 20260814 -1.00 -1.00 1267 1365 0.9179 -0.4226 0.072325
167.50 P 20260814 -1.00 -1.00 102 224 1.1123 -0.5830 0.059564
170.00 P 20260814 -1.00 -1.00 85 157 1.3696 -0.6783 0.044465
172.50 P 20260814 -1.00 -1.00 25 14 1.6008 -0.7417 0.034451
175.00 P 20260814 -1.00 -1.00 5 119 1.8768 -0.7761 0.027230
177.50 P 20260814 -1.00 -1.00 4 0 2.0491 -0.8098 0.022420
180.00 P 20260814 -1.00 -1.00 141 0 2.4175 -0.8141 0.018730
182.50 P 20260814 -1.00 -1.00 6 0 2.3246 -0.8667 0.015823
185.00 P 20260814 -1.00 -1.00 4 0 2.5576 -0.8740 0.013754
187.50 P 20260814 -1.00 -1.00 1 0 2.8100 -0.8781 0.012199
190.00 P 20260814 -1.00 -1.00 1 0 3.2599 -0.8664 0.011272
145.00 C 20260821 -1.00 -1.00 7 933 -1.0000 -1.0000 -1.000000
150.00 C 20260821 -1.00 -1.00 24 1036 -1.0000 -1.0000 -1.000000
152.50 C 20260821 -1.00 -1.00 2 1616 -1.0000 -1.0000 -1.000000
155.00 C 20260821 -1.00 -1.00 30 829 -1.0000 -1.0000 -1.000000
157.50 C 20260821 -1.00 -1.00 29 323 0.2951 0.8974 0.025566
160.00 C 20260821 -1.00 -1.00 93 4072 0.3537 0.7771 0.036291
162.50 C 20260821 -1.00 -1.00 99 616 0.3720 0.6663 0.041982
165.00 C 20260821 -1.00 -1.00 460 2606 0.3929 0.5536 0.042854
167.50 C 20260821 -1.00 -1.00 338 824 0.4098 0.4509 0.041028
170.00 C 20260821 -1.00 -1.00 1210 3010 0.4206 0.3561 0.038060
172.50 C 20260821 -1.00 -1.00 127 474 0.4280 0.2748 0.033138
175.00 C 20260821 -1.00 -1.00 631 2668 0.4380 0.2083 0.027846
177.50 C 20260821 -1.00 -1.00 313 4214 0.4584 0.1598 0.022553
180.00 C 20260821 -1.00 -1.00 392 8464 0.4624 0.1161 0.017919
182.50 C 20260821 -1.00 -1.00 47 800 0.4675 0.0805 0.013592
185.00 C 20260821 -1.00 -1.00 279 1683 0.4831 0.0611 0.010598
187.50 C 20260821 -1.00 -1.00 85 390 0.4794 0.0385 0.007376
190.00 C 20260821 -1.00 -1.00 860 2801 0.5068 0.0313 0.005916
145.00 P 20260821 -1.00 -1.00 236 2679 0.5717 -0.0443 0.006898
150.00 P 20260821 -1.00 -1.00 256 2932 0.5130 -0.0766 0.011884
152.50 P 20260821 -1.00 -1.00 246 811 0.5190 -0.1166 0.016165
155.00 P 20260821 -1.00 -1.00 562 1833 0.4922 -0.1560 0.020611
157.50 P 20260821 -1.00 -1.00 409 1050 0.5014 -0.2176 0.025326
160.00 P 20260821 -1.00 -1.00 315 3233 0.4965 -0.2900 0.029290
162.50 P 20260821 -1.00 -1.00 121 854 0.5056 -0.3696 0.031892
165.00 P 20260821 -1.00 -1.00 371 3664 0.5187 -0.4529 0.032629
167.50 P 20260821 -1.00 -1.00 64 131 0.5241 -0.5324 0.032298
170.00 P 20260821 -1.00 -1.00 101 2491 0.5595 -0.6023 0.029487
172.50 P 20260821 -1.00 -1.00 21 189 0.5646 -0.6681 0.027397
175.00 P 20260821 -1.00 -1.00 22 4643 0.5704 -0.7288 0.024780
177.50 P 20260821 -1.00 -1.00 11 63 0.6322 -0.7599 0.021202
180.00 P 20260821 -1.00 -1.00 42 6379 0.6895 -0.7806 0.018299
182.50 P 20260821 -1.00 -1.00 30 79 0.6815 -0.8226 0.016205
185.00 P 20260821 -1.00 -1.00 6 1699 0.7603 -0.8279 0.014263
187.50 P 20260821 -1.00 -1.00 3 14 0.7325 -0.8687 0.012448
190.00 P 20260821 -1.00 -1.00 2 7660 0.8564 -0.8555 0.011444
145.00 C 20260828 -1.00 -1.00 2 33 -1.0000 -1.0000 -1.000000
150.00 C 20260828 -1.00 -1.00 2 164 -1.0000 -1.0000 -1.000000
152.50 C 20260828 -1.00 -1.00 2 1 0.2640 0.9498 0.011697
155.00 C 20260828 -1.00 -1.00 2 195 0.3760 0.8295 0.020445
157.50 C 20260828 -1.00 -1.00 6 4 0.3857 0.7668 0.024314
160.00 C 20260828 -1.00 -1.00 19 589 0.4047 0.6908 0.026645
162.50 C 20260828 -1.00 -1.00 54 80 0.4087 0.6195 0.028469
165.00 C 20260828 -1.00 -1.00 111 787 0.4197 0.5456 0.028976
167.50 C 20260828 -1.00 -1.00 43 49 0.4251 0.4753 0.028639
170.00 C 20260828 -1.00 -1.00 747 1026 0.4369 0.4090 0.027217
172.50 C 20260828 -1.00 -1.00 25 41 0.4432 0.3479 0.025596
175.00 C 20260828 -1.00 -1.00 518 978 0.4436 0.2905 0.023537
177.50 C 20260828 -1.00 -1.00 13 285 0.4580 0.2424 0.021116
180.00 C 20260828 -1.00 -1.00 106 837 0.4629 0.2031 0.018595
182.50 C 20260828 -1.00 -1.00 187 482 0.4622 0.1611 0.016164
185.00 C 20260828 -1.00 -1.00 57 1261 0.4727 0.1327 0.013924
187.50 C 20260828 -1.00 -1.00 7 7 0.4690 0.1040 0.011684
190.00 C 20260828 -1.00 -1.00 34 575 0.4877 0.0880 0.009970
145.00 P 20260828 -1.00 -1.00 155 888 0.4928 -0.0750 0.008747
150.00 P 20260828 -1.00 -1.00 141 945 0.4842 -0.1331 0.013622
152.50 P 20260828 -1.00 -1.00 28 86 0.4828 -0.1755 0.016307
155.00 P 20260828 -1.00 -1.00 55 400 0.4843 -0.2207 0.018912
157.50 P 20260828 -1.00 -1.00 41 36 0.4871 -0.2770 0.020966
160.00 P 20260828 -1.00 -1.00 25 232 0.4849 -0.3315 0.023168
162.50 P 20260828 -1.00 -1.00 219 774 0.4804 -0.3924 0.024428
165.00 P 20260828 -1.00 -1.00 20 440 0.4930 -0.4553 0.024742
167.50 P 20260828 -1.00 -1.00 2 12 0.5036 -0.5147 0.024273
170.00 P 20260828 -1.00 -1.00 60 280 0.5112 -0.5718 0.023462
172.50 P 20260828 -1.00 -1.00 2 2 0.5296 -0.6238 0.022254
175.00 P 20260828 -1.00 -1.00 22 60 0.5288 -0.6722 0.020882
177.50 P 20260828 -1.00 -1.00 0 0 0.5555 -0.7085 0.018877
180.00 P 20260828 -1.00 -1.00 2 89 0.5530 -0.7550 0.017639
182.50 P 20260828 -1.00 -1.00 1 1 0.5853 -0.7755 0.015727
185.00 P 20260828 -1.00 -1.00 2 35 0.6008 -0.8008 0.014199
187.50 P 20260828 -1.00 -1.00 3 3 0.5971 -0.8344 0.012802
190.00 P 20260828 -1.00 -1.00 3 20 0.6497 -0.8387 0.011595
145.00 C 20260904 -1.00 -1.00 2 29 -1.0000 -1.0000 -1.000000
150.00 C 20260904 -1.00 -1.00 4 360 0.3381 0.8992 0.012908
155.00 C 20260904 -1.00 -1.00 8 271 0.3913 0.7822 0.019024
160.00 C 20260904 -1.00 -1.00 17 514 0.4102 0.6647 0.022561
165.00 C 20260904 -1.00 -1.00 152 267 0.4165 0.5443 0.024000
170.00 C 20260904 -1.00 -1.00 2396 3886 0.4296 0.4308 0.022899
175.00 C 20260904 -1.00 -1.00 210 2045 0.4347 0.3282 0.020820
180.00 C 20260904 -1.00 -1.00 104 415 0.4552 0.2459 0.017577
