# opt_chain SNDK | epoch 1786711548 | 2026-08-14 08:45:48 | spot 1625.37 | spot_src finnhub | spot_age 93 | exps 20260814 20260821 20260828 20260904 20260911
# fuente polygon | band 0.1500 | max_strikes 906 | narrow 0 | vencimientos 5 | rows 906 | greeks_ok_pct 0.8576 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
1385.00 C 20260814 -1.00 -1.00 486 171 -1.0000 -1.0000 -1.000000
1390.00 C 20260814 -1.00 -1.00 733 156 -1.0000 -1.0000 -1.000000
1395.00 C 20260814 -1.00 -1.00 812 195 -1.0000 -1.0000 -1.000000
1400.00 C 20260814 -1.00 -1.00 5572 1279 -1.0000 -1.0000 -1.000000
1402.50 C 20260814 -1.00 -1.00 434 180 -1.0000 -1.0000 -1.000000
1405.00 C 20260814 -1.00 -1.00 1041 280 -1.0000 -1.0000 -1.000000
1407.50 C 20260814 -1.00 -1.00 484 140 -1.0000 -1.0000 -1.000000
1410.00 C 20260814 -1.00 -1.00 1297 225 -1.0000 -1.0000 -1.000000
1412.50 C 20260814 -1.00 -1.00 171 50 -1.0000 -1.0000 -1.000000
1415.00 C 20260814 -1.00 -1.00 570 176 -1.0000 -1.0000 -1.000000
1417.50 C 20260814 -1.00 -1.00 420 68 -1.0000 -1.0000 -1.000000
1420.00 C 20260814 -1.00 -1.00 1551 708 -1.0000 -1.0000 -1.000000
1422.50 C 20260814 -1.00 -1.00 207 38 -1.0000 -1.0000 -1.000000
1425.00 C 20260814 -1.00 -1.00 755 308 -1.0000 -1.0000 -1.000000
1427.50 C 20260814 -1.00 -1.00 351 76 -1.0000 -1.0000 -1.000000
1430.00 C 20260814 -1.00 -1.00 988 501 -1.0000 -1.0000 -1.000000
1435.00 C 20260814 -1.00 -1.00 863 325 -1.0000 -1.0000 -1.000000
1440.00 C 20260814 -1.00 -1.00 591 151 -1.0000 -1.0000 -1.000000
1445.00 C 20260814 -1.00 -1.00 362 90 -1.0000 -1.0000 -1.000000
1450.00 C 20260814 -1.00 -1.00 3535 1156 -1.0000 -1.0000 -1.000000
1455.00 C 20260814 -1.00 -1.00 445 168 -1.0000 -1.0000 -1.000000
1460.00 C 20260814 -1.00 -1.00 616 196 -1.0000 -1.0000 -1.000000
1465.00 C 20260814 -1.00 -1.00 571 276 -1.0000 -1.0000 -1.000000
1470.00 C 20260814 -1.00 -1.00 757 565 -1.0000 -1.0000 -1.000000
1475.00 C 20260814 -1.00 -1.00 835 225 -1.0000 -1.0000 -1.000000
1480.00 C 20260814 -1.00 -1.00 1650 351 -1.0000 -1.0000 -1.000000
1485.00 C 20260814 -1.00 -1.00 493 156 -1.0000 -1.0000 -1.000000
1490.00 C 20260814 -1.00 -1.00 858 161 -1.0000 -1.0000 -1.000000
1495.00 C 20260814 -1.00 -1.00 518 193 -1.0000 -1.0000 -1.000000
1500.00 C 20260814 -1.00 -1.00 13360 3118 -1.0000 -1.0000 -1.000000
1505.00 C 20260814 -1.00 -1.00 969 459 -1.0000 -1.0000 -1.000000
1510.00 C 20260814 -1.00 -1.00 903 131 -1.0000 -1.0000 -1.000000
1515.00 C 20260814 -1.00 -1.00 1075 574 -1.0000 -1.0000 -1.000000
1520.00 C 20260814 -1.00 -1.00 1988 345 -1.0000 -1.0000 -1.000000
1525.00 C 20260814 -1.00 -1.00 1939 436 -1.0000 -1.0000 -1.000000
1530.00 C 20260814 -1.00 -1.00 1863 209 -1.0000 -1.0000 -1.000000
1535.00 C 20260814 -1.00 -1.00 2023 301 -1.0000 -1.0000 -1.000000
1540.00 C 20260814 -1.00 -1.00 3350 325 -1.0000 -1.0000 -1.000000
1545.00 C 20260814 -1.00 -1.00 1972 186 -1.0000 -1.0000 -1.000000
1550.00 C 20260814 -1.00 -1.00 8773 1646 -1.0000 -1.0000 -1.000000
1555.00 C 20260814 -1.00 -1.00 1630 232 -1.0000 -1.0000 -1.000000
1560.00 C 20260814 -1.00 -1.00 3008 614 -1.0000 -1.0000 -1.000000
1565.00 C 20260814 -1.00 -1.00 1541 272 -1.0000 -1.0000 -1.000000
1570.00 C 20260814 -1.00 -1.00 2583 261 -1.0000 -1.0000 -1.000000
1575.00 C 20260814 -1.00 -1.00 1077 376 -1.0000 -1.0000 -1.000000
1580.00 C 20260814 -1.00 -1.00 1625 298 -1.0000 -1.0000 -1.000000
1585.00 C 20260814 -1.00 -1.00 690 146 -1.0000 -1.0000 -1.000000
1590.00 C 20260814 -1.00 -1.00 787 177 -1.0000 -1.0000 -1.000000
1595.00 C 20260814 -1.00 -1.00 523 176 -1.0000 -1.0000 -1.000000
1600.00 C 20260814 -1.00 -1.00 22312 2972 -1.0000 -1.0000 -1.000000
1605.00 C 20260814 -1.00 -1.00 408 208 -1.0000 -1.0000 -1.000000
1610.00 C 20260814 -1.00 -1.00 675 153 -1.0000 -1.0000 -1.000000
1615.00 C 20260814 -1.00 -1.00 283 102 -1.0000 -1.0000 -1.000000
1620.00 C 20260814 -1.00 -1.00 1070 486 0.2228 0.6257 0.029717
1625.00 C 20260814 -1.00 -1.00 899 320 0.3061 0.4814 0.022761
1630.00 C 20260814 -1.00 -1.00 730 206 0.3748 0.3950 0.017878
1635.00 C 20260814 -1.00 -1.00 512 162 0.4328 0.3349 0.014691
1640.00 C 20260814 -1.00 -1.00 479 151 0.4798 0.2882 0.012319
1645.00 C 20260814 -1.00 -1.00 592 271 0.5292 0.2509 0.010499
1650.00 C 20260814 -1.00 -1.00 7120 1526 0.5790 0.2233 0.009035
1655.00 C 20260814 -1.00 -1.00 414 233 0.6075 0.1959 0.007888
1660.00 C 20260814 -1.00 -1.00 631 437 0.6454 0.1748 0.006900
1665.00 C 20260814 -1.00 -1.00 387 123 0.6897 0.1586 0.006082
1670.00 C 20260814 -1.00 -1.00 538 594 0.7290 0.1425 0.005401
1675.00 C 20260814 -1.00 -1.00 582 298 0.7654 0.1299 0.004832
1680.00 C 20260814 -1.00 -1.00 581 240 0.7860 0.1163 0.004316
1685.00 C 20260814 -1.00 -1.00 236 282 0.8161 0.1060 0.003876
1690.00 C 20260814 -1.00 -1.00 449 129 0.8461 0.0966 0.003487
1695.00 C 20260814 -1.00 -1.00 220 126 0.8736 0.0871 0.003133
1700.00 C 20260814 -1.00 -1.00 9391 2413 0.8916 0.0754 0.002776
1705.00 C 20260814 -1.00 -1.00 257 167 0.9427 0.0738 0.002588
1710.00 C 20260814 -1.00 -1.00 856 425 0.9333 0.0617 0.002262
1715.00 C 20260814 -1.00 -1.00 254 124 0.9805 0.0608 0.002128
1720.00 C 20260814 -1.00 -1.00 393 177 0.9909 0.0539 0.001905
1725.00 C 20260814 -1.00 -1.00 482 134 1.0053 0.0479 0.001704
1730.00 C 20260814 -1.00 -1.00 693 222 1.0401 0.0457 0.001585
1735.00 C 20260814 -1.00 -1.00 380 178 1.0828 0.0450 0.001503
1740.00 C 20260814 -1.00 -1.00 466 402 1.0808 0.0367 0.001286
1750.00 C 20260814 -1.00 -1.00 5155 1605 1.1079 0.0291 0.001039
1760.00 C 20260814 -1.00 -1.00 522 174 1.1497 0.0255 0.000888
1765.00 C 20260814 -1.00 -1.00 334 550 1.1745 0.0241 0.000828
1770.00 C 20260814 -1.00 -1.00 407 460 1.2555 0.0276 0.000874
1775.00 C 20260814 -1.00 -1.00 391 206 1.2320 0.0222 0.000736
