# opt_chain SPCX | epoch 1784663589 | 2026-07-21 15:53:09 | spot 123.28 | exps 20260724 20260731
# strike right exp bid ask vol oi iv delta gamma
123.00 C 20260724 4.30 4.50 5195 1547 0.9538 0.5304 0.0373
123.00 P 20260724 4.00 4.20 5597 1603 0.9538 -0.4699 0.0373
124.00 C 20260724 3.90 4.00 5651 1317 0.9554 0.4934 0.0372
124.00 P 20260724 4.50 4.70 5843 3049 0.9554 -0.5068 0.0373
122.00 C 20260724 4.80 5.00 2773 1176 0.9529 0.5676 0.0368
122.00 P 20260724 3.50 3.70 8802 4061 0.9529 -0.4326 0.0368
125.00 C 20260724 3.40 3.60 13194 6596 0.9576 0.4568 0.0369
125.00 P 20260724 5.10 5.30 11876 6631 0.9576 -0.5435 0.0370
121.00 C 20260724 5.30 5.50 1309 918 0.9527 0.6047 0.0362
121.00 P 20260724 3.00 3.20 3771 2380 0.9527 -0.3955 0.0362
126.00 C 20260724 3.10 3.20 5178 1729 0.9605 0.4214 0.0363
126.00 P 20260724 5.60 5.90 7334 1309 0.9605 -0.5790 0.0363
120.00 C 20260724 6.00 6.10 2309 2384 0.9532 0.6408 0.0350
120.00 P 20260724 2.70 2.75 20018 7857 0.9532 -0.3593 0.0350
127.00 C 20260724 2.70 2.80 5797 1295 0.9640 0.3871 0.0354
127.00 P 20260724 6.30 6.50 5154 682 0.9640 -0.6133 0.0354
119.00 C 20260724 6.50 6.90 136 166 0.9544 0.6766 0.0338
119.00 P 20260724 2.30 2.40 2413 1829 0.9544 -0.3236 0.0338
128.00 C 20260724 2.40 2.50 6768 3390 0.9682 0.3538 0.0343
128.00 P 20260724 7.00 7.20 5606 973 0.9682 -0.6466 0.0343
118.00 C 20260724 7.10 7.60 724 95 0.9563 0.7113 0.0319
118.00 P 20260724 1.95 2.05 2822 1573 0.9563 -0.2889 0.0319
129.00 C 20260724 2.10 2.20 4217 1319 0.9729 0.3231 0.0328
129.00 P 20260724 7.60 8.00 2212 713 0.9729 -0.6773 0.0329
117.00 C 20260724 7.90 8.30 49 47 0.9589 0.7441 0.0301
117.00 P 20260724 1.70 1.75 2608 4902 0.9589 -0.2560 0.0301
130.00 C 20260724 1.85 1.95 32395 9862 0.9782 0.2942 0.0315
130.00 P 20260724 8.40 8.80 4784 5617 0.9782 -0.7062 0.0315
116.00 C 20260724 8.60 9.00 70 15 0.9622 0.7733 0.0280
116.00 P 20260724 1.40 1.50 1666 1956 0.9622 -0.2267 0.0280
123.00 C 20260731 6.90 7.20 556 886 0.8479 0.5378 0.0231
123.00 P 20260731 6.60 7.00 1613 530 0.8479 -0.4627 0.0232
124.00 C 20260731 6.40 6.80 578 309 0.8492 0.5149 0.0231
124.00 P 20260731 7.10 7.60 367 612 0.8492 -0.4856 0.0232
122.00 C 20260731 7.30 7.70 343 573 0.8467 0.5609 0.0229
122.00 P 20260731 6.20 6.30 792 674 0.8467 -0.4395 0.0230
125.00 C 20260731 6.10 6.30 2348 2532 0.8509 0.4933 0.0230
125.00 P 20260731 7.70 8.00 1841 4675 0.8509 -0.5073 0.0231
121.00 C 20260731 7.80 8.30 283 92 0.8456 0.5851 0.0227
121.00 P 20260731 5.60 6.00 426 719 0.8456 -0.4153 0.0228
126.00 C 20260731 5.60 5.90 444 342 0.8528 0.4708 0.0230
126.00 P 20260731 8.30 8.60 1381 262 0.8528 -0.5299 0.0230
120.00 C 20260731 8.30 8.80 615 1562 0.8451 0.6084 0.0225
120.00 P 20260731 5.20 5.40 6479 7599 0.8451 -0.3920 0.0226
127.00 C 20260731 5.20 5.60 479 175 0.8551 0.4485 0.0228
127.00 P 20260731 8.90 9.30 644 670 0.8551 -0.5521 0.0229
119.00 C 20260731 8.90 9.40 35 60 0.8450 0.6316 0.0220
119.00 P 20260731 4.70 5.00 1409 293 0.8450 -0.3688 0.0220
128.00 C 20260731 4.90 5.10 595 144 0.8577 0.4275 0.0225
128.00 P 20260731 9.50 10.00 880 183 0.8577 -0.5732 0.0225
118.00 C 20260731 9.50 10.00 211 211 0.8454 0.6542 0.0215
118.00 P 20260731 4.30 4.50 695 588 0.8454 -0.3461 0.0215
129.00 C 20260731 4.60 4.80 1432 91 0.8608 0.4067 0.0221
129.00 P 20260731 10.10 10.60 156 138 0.8608 -0.5940 0.0222
117.00 C 20260731 10.10 10.60 25 10 0.8461 0.6767 0.0210
117.00 P 20260731 3.90 4.30 621 120 0.8461 -0.3235 0.0210
130.00 C 20260731 4.30 4.50 5399 3851 0.8641 0.3862 0.0218
130.00 P 20260731 10.80 11.30 1225 3449 0.8641 -0.6147 0.0218
116.00 C 20260731 10.80 11.20 12 5 0.8472 0.6973 0.0204
116.00 P 20260731 3.50 3.90 152 668 0.8472 -0.3030 0.0204
