# opt_chain STX | epoch 1785752273 | 2026-08-03 06:17:53 | spot 851.25 | exps 20260807
# fuente polygon | band 0.1500 | max_strikes 67 | narrow 0 | vencimientos 1 | rows 67 | greeks_ok_pct 1.0000 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
725.00 C 20260807 -1.00 -1.00 3 15 1.7364 0.8185 0.001622
727.50 C 20260807 -1.00 -1.00 8 25 1.7335 0.8144 0.001651
730.00 C 20260807 -1.00 -1.00 1 73 1.7262 0.8107 0.001681
732.50 C 20260807 -1.00 -1.00 2 2 1.7125 0.8076 0.001714
735.00 C 20260807 -1.00 -1.00 2 10 1.7010 0.8043 0.001747
737.50 C 20260807 -1.00 -1.00 2 0 1.7024 0.7997 0.001775
740.00 C 20260807 -1.00 -1.00 7 6 1.6921 0.7956 0.001805
742.50 C 20260807 -1.00 -1.00 4 8 1.6802 0.7913 0.001836
745.00 C 20260807 -1.00 -1.00 16 5 1.6455 0.7897 0.001882
747.50 C 20260807 -1.00 -1.00 9 4 1.6565 0.7826 0.001899
750.00 C 20260807 -1.00 -1.00 20 83 1.5715 0.7870 0.001984
755.00 C 20260807 -1.00 -1.00 11 19 1.6116 0.7702 0.002006
760.00 C 20260807 -1.00 -1.00 2 9 1.5851 0.7612 0.002079
765.00 C 20260807 -1.00 -1.00 4 7 1.5781 0.7499 0.002138
770.00 C 20260807 -1.00 -1.00 2 17 1.5616 0.7395 0.002207
775.00 C 20260807 -1.00 -1.00 1 25 1.5419 0.7291 0.002281
780.00 C 20260807 -1.00 -1.00 4 15 1.5798 0.7136 0.002294
785.00 C 20260807 -1.00 -1.00 1 2 1.5269 0.7056 0.002409
787.50 C 20260807 -1.00 -1.00 0 0 1.5140 0.7004 0.002454
790.00 C 20260807 -1.00 -1.00 14 14 1.5487 0.6916 0.002438
792.50 C 20260807 -1.00 -1.00 0 0 1.5469 0.6856 0.002468
795.00 C 20260807 -1.00 -1.00 3 26 1.5610 0.6786 0.002477
797.50 C 20260807 -1.00 -1.00 0 0 1.5024 0.6760 0.002584
800.00 C 20260807 -1.00 -1.00 9 45 1.5206 0.6678 0.002569
802.50 C 20260807 -1.00 -1.00 0 0 1.4930 0.6626 0.002627
805.00 C 20260807 -1.00 -1.00 2 33 1.4806 0.6563 0.002662
807.50 C 20260807 -1.00 -1.00 0 0 1.4751 0.6495 0.002685
810.00 C 20260807 -1.00 -1.00 1 28 1.4724 0.6425 0.002704
812.50 C 20260807 -1.00 -1.00 0 0 1.4601 0.6359 0.002740
815.00 C 20260807 -1.00 -1.00 2 41 1.4656 0.6285 0.002744
820.00 C 20260807 -1.00 -1.00 31 56 1.4779 0.6137 0.002750
825.00 C 20260807 -1.00 -1.00 5 9 1.4671 0.5997 0.002798
830.00 C 20260807 -1.00 -1.00 3 11 1.4820 0.5851 0.002798
835.00 C 20260807 -1.00 -1.00 7 19 1.4550 0.5710 0.002877
840.00 C 20260807 -1.00 -1.00 30 385 1.4229 0.5564 0.002971
845.00 C 20260807 -1.00 -1.00 11 116 1.4444 0.5419 0.002956
850.00 C 20260807 -1.00 -1.00 41 552 1.3611 0.5253 0.003152
855.00 C 20260807 -1.00 -1.00 29 20 1.4075 0.5120 0.003036
860.00 C 20260807 -1.00 -1.00 78 52 1.3807 0.4961 0.003083
865.00 C 20260807 -1.00 -1.00 18 43 1.3857 0.4816 0.003060
870.00 C 20260807 -1.00 -1.00 574 29 1.3591 0.4649 0.003106
875.00 C 20260807 -1.00 -1.00 21 29 1.3826 0.4518 0.003042
880.00 C 20260807 -1.00 -1.00 116 45 1.3391 0.4329 0.003124
885.00 C 20260807 -1.00 -1.00 4 49 1.3586 0.4196 0.003068
890.00 C 20260807 -1.00 -1.00 33 47 1.3715 0.4060 0.003028
895.00 C 20260807 -1.00 -1.00 11 39 1.4129 0.3962 0.002932
900.00 C 20260807 -1.00 -1.00 189 1095 1.3519 0.3751 0.003016
902.50 C 20260807 -1.00 -1.00 5 20 1.3391 0.3670 0.003014
905.00 C 20260807 -1.00 -1.00 4 30 1.3338 0.3598 0.002998
907.50 C 20260807 -1.00 -1.00 2 8 1.3447 0.3547 0.002955
910.00 C 20260807 -1.00 -1.00 106 27 1.3290 0.3460 0.002956
912.50 C 20260807 -1.00 -1.00 11 14 1.3370 0.3406 0.002917
915.00 C 20260807 -1.00 -1.00 50 45 1.3214 0.3316 0.002917
917.50 C 20260807 -1.00 -1.00 2 8 1.3352 0.3272 0.002870
920.00 C 20260807 -1.00 -1.00 70 80 1.3284 0.3196 0.002855
922.50 C 20260807 -1.00 -1.00 3 3 1.3290 0.3131 0.002828
925.00 C 20260807 -1.00 -1.00 6 45 1.3296 0.3066 0.002802
930.00 C 20260807 -1.00 -1.00 215 23 1.3351 0.2945 0.002743
935.00 C 20260807 -1.00 -1.00 2 38 1.3420 0.2828 0.002684
940.00 C 20260807 -1.00 -1.00 44 38 1.3316 0.2676 0.002646
945.00 C 20260807 -1.00 -1.00 104 172 1.3514 0.2587 0.002574
950.00 C 20260807 -1.00 -1.00 135 73 1.3791 0.2523 0.002495
955.00 C 20260807 -1.00 -1.00 56 32 1.3813 0.2433 0.002432
960.00 C 20260807 -1.00 -1.00 377 34 1.3235 0.2232 0.002400
965.00 C 20260807 -1.00 -1.00 22 35 1.3426 0.2171 0.002325
970.00 C 20260807 -1.00 -1.00 247 98 1.3170 0.2021 0.002266
975.00 C 20260807 -1.00 -1.00 25 242 1.3360 0.1963 0.002194
