# opt_chain TSLA | epoch 1786711536 | 2026-08-14 08:45:36 | spot 341.35 | spot_src finnhub | spot_age 110 | exps 20260814 20260817 20260819 20260821 20260824 20260826 20260828
# fuente polygon | band 0.1500 | max_strikes 584 | narrow 0 | vencimientos 8 | rows 584 | greeks_ok_pct 0.8459 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
292.50 C 20260814 -1.00 -1.00 106 108 -1.0000 -1.0000 -1.000000
295.00 C 20260814 -1.00 -1.00 85 170 -1.0000 -1.0000 -1.000000
297.50 C 20260814 -1.00 -1.00 141 230 -1.0000 -1.0000 -1.000000
300.00 C 20260814 -1.00 -1.00 169 482 -1.0000 -1.0000 -1.000000
302.50 C 20260814 -1.00 -1.00 7 392 -1.0000 -1.0000 -1.000000
305.00 C 20260814 -1.00 -1.00 137 403 -1.0000 -1.0000 -1.000000
307.50 C 20260814 -1.00 -1.00 79 498 -1.0000 -1.0000 -1.000000
310.00 C 20260814 -1.00 -1.00 246 1579 -1.0000 -1.0000 -1.000000
312.50 C 20260814 -1.00 -1.00 73 855 -1.0000 -1.0000 -1.000000
315.00 C 20260814 -1.00 -1.00 1258 2293 -1.0000 -1.0000 -1.000000
317.50 C 20260814 -1.00 -1.00 762 1072 -1.0000 -1.0000 -1.000000
320.00 C 20260814 -1.00 -1.00 9343 5812 -1.0000 -1.0000 -1.000000
322.50 C 20260814 -1.00 -1.00 2640 3610 -1.0000 -1.0000 -1.000000
325.00 C 20260814 -1.00 -1.00 15001 14450 -1.0000 -1.0000 -1.000000
327.50 C 20260814 -1.00 -1.00 18293 9936 -1.0000 -1.0000 -1.000000
330.00 C 20260814 -1.00 -1.00 64860 11648 -1.0000 -1.0000 -1.000000
332.50 C 20260814 -1.00 -1.00 72121 5724 -1.0000 -1.0000 -1.000000
335.00 C 20260814 -1.00 -1.00 140160 17112 -1.0000 -1.0000 -1.000000
337.50 C 20260814 -1.00 -1.00 108207 8732 -1.0000 -1.0000 -1.000000
340.00 C 20260814 -1.00 -1.00 171546 18075 0.3085 0.7306 0.088044
342.50 C 20260814 -1.00 -1.00 55216 5368 0.4156 0.4871 0.079723
345.00 C 20260814 -1.00 -1.00 63399 8330 0.4705 0.3234 0.062984
347.50 C 20260814 -1.00 -1.00 27994 6728 0.5200 0.2107 0.045888
350.00 C 20260814 -1.00 -1.00 79199 30067 0.5693 0.1356 0.031878
352.50 C 20260814 -1.00 -1.00 9379 7230 0.6071 0.0891 0.021737
355.00 C 20260814 -1.00 -1.00 9989 8484 0.6600 0.0612 0.015082
357.50 C 20260814 -1.00 -1.00 4283 2599 0.7074 0.0431 0.010561
360.00 C 20260814 -1.00 -1.00 9145 8844 0.7682 0.0313 0.007596
362.50 C 20260814 -1.00 -1.00 1173 1504 0.8176 0.0248 0.005790
365.00 C 20260814 -1.00 -1.00 2261 3227 0.8666 0.0190 0.004338
367.50 C 20260814 -1.00 -1.00 1472 1960 0.9307 0.0157 0.003451
370.00 C 20260814 -1.00 -1.00 3630 4577 0.9943 0.0129 0.002751
372.50 C 20260814 -1.00 -1.00 880 1024 1.0299 0.0103 0.002170
375.00 C 20260814 -1.00 -1.00 496 1890 1.0982 0.0097 0.001927
377.50 C 20260814 -1.00 -1.00 314 1565 1.1660 0.0092 0.001725
380.00 C 20260814 -1.00 -1.00 1979 3838 1.1981 0.0071 0.001332
382.50 C 20260814 -1.00 -1.00 176 1143 1.2651 0.0068 0.001208
385.00 C 20260814 -1.00 -1.00 1159 1814 1.2966 0.0049 0.000893
387.50 C 20260814 -1.00 -1.00 293 557 1.3629 0.0047 0.000820
390.00 C 20260814 -1.00 -1.00 626 2291 1.4288 0.0045 0.000757
392.50 C 20260814 -1.00 -1.00 93 298 1.4445 0.0036 0.000609
292.50 P 20260814 -1.00 -1.00 285 835 1.6058 -0.0024 0.000380
295.00 P 20260814 -1.00 -1.00 840 1739 1.5272 -0.0026 0.000417
297.50 P 20260814 -1.00 -1.00 204 783 1.5616 -0.0047 0.000716
300.00 P 20260814 -1.00 -1.00 2905 4113 1.4268 -0.0036 0.000616
302.50 P 20260814 -1.00 -1.00 511 1509 1.3496 -0.0038 0.000686
305.00 P 20260814 -1.00 -1.00 1808 2853 1.2647 -0.0040 0.000767
307.50 P 20260814 -1.00 -1.00 1772 2091 1.1804 -0.0043 0.000866
310.00 P 20260814 -1.00 -1.00 4095 4933 1.1165 -0.0055 0.001133
312.50 P 20260814 -1.00 -1.00 2046 2633 1.0336 -0.0059 0.001302
315.00 P 20260814 -1.00 -1.00 7550 5401 0.9513 -0.0063 0.001513
317.50 P 20260814 -1.00 -1.00 4925 3030 0.9085 -0.0090 0.002184
320.00 P 20260814 -1.00 -1.00 34500 10273 0.8274 -0.0099 0.002603
322.50 P 20260814 -1.00 -1.00 13733 4814 0.7865 -0.0154 0.004013
325.00 P 20260814 -1.00 -1.00 40352 6878 0.7453 -0.0240 0.006196
327.50 P 20260814 -1.00 -1.00 40941 6825 0.7142 -0.0397 0.009791
330.00 P 20260814 -1.00 -1.00 83571 10429 0.7046 -0.0684 0.015523
332.50 P 20260814 -1.00 -1.00 66249 4389 0.6997 -0.1188 0.023483
335.00 P 20260814 -1.00 -1.00 75973 6964 0.7129 -0.1956 0.031929
337.50 P 20260814 -1.00 -1.00 36382 4641 0.7407 -0.2933 0.038203
340.00 P 20260814 -1.00 -1.00 40673 4609 0.7811 -0.3995 0.040728
342.50 P 20260814 -1.00 -1.00 6443 908 0.8617 -0.5017 0.038610
345.00 P 20260814 -1.00 -1.00 5749 731 0.9296 -0.5871 0.034503
347.50 P 20260814 -1.00 -1.00 421 177 1.0499 -0.6502 0.029343
350.00 P 20260814 -1.00 -1.00 911 904 1.1584 -0.6966 0.024805
352.50 P 20260814 -1.00 -1.00 92 46 1.2777 -0.7329 0.021231
355.00 P 20260814 -1.00 -1.00 125 787 1.4250 -0.7575 0.018279
357.50 P 20260814 -1.00 -1.00 1 18 1.5352 -0.7788 0.016033
360.00 P 20260814 -1.00 -1.00 172 448 1.4405 -0.8300 0.014436
362.50 P 20260814 -1.00 -1.00 1 0 1.7879 -0.8060 0.012627
365.00 P 20260814 -1.00 -1.00 13 7 1.7078 -0.8486 0.011365
367.50 P 20260814 -1.00 -1.00 17 3 2.0446 -0.8252 0.010345
370.00 P 20260814 -1.00 -1.00 34 12 2.1864 -0.8310 0.009477
372.50 P 20260814 -1.00 -1.00 3 0 2.0580 -0.8691 0.008556
375.00 P 20260814 -1.00 -1.00 131 13 2.4231 -0.8459 0.008101
377.50 P 20260814 -1.00 -1.00 1 0 2.6798 -0.8360 0.007598
380.00 P 20260814 -1.00 -1.00 11 6 2.6713 -0.8563 0.007068
382.50 P 20260814 -1.00 -1.00 14 0 3.0204 -0.8364 0.006736
385.00 P 20260814 -1.00 -1.00 1 1 3.0617 -0.8490 0.006346
387.50 P 20260814 -1.00 -1.00 0 0 2.9750 -0.8687 0.005916
390.00 P 20260814 -1.00 -1.00 4 0 3.0414 -0.8748 0.005581
392.50 P 20260814 -1.00 -1.00 0 0 2.9669 -0.8920 0.005121
292.50 C 20260817 -1.00 -1.00 72 16 -1.0000 -1.0000 -1.000000
295.00 C 20260817 -1.00 -1.00 344 38 -1.0000 -1.0000 -1.000000
297.50 C 20260817 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
300.00 C 20260817 -1.00 -1.00 28 28 -1.0000 -1.0000 -1.000000
302.50 C 20260817 -1.00 -1.00 3 5 -1.0000 -1.0000 -1.000000
305.00 C 20260817 -1.00 -1.00 3 11 -1.0000 -1.0000 -1.000000
307.50 C 20260817 -1.00 -1.00 17 17 -1.0000 -1.0000 -1.000000
310.00 C 20260817 -1.00 -1.00 42 92 -1.0000 -1.0000 -1.000000
312.50 C 20260817 -1.00 -1.00 70 95 -1.0000 -1.0000 -1.000000
315.00 C 20260817 -1.00 -1.00 111 166 -1.0000 -1.0000 -1.000000
317.50 C 20260817 -1.00 -1.00 83 228 -1.0000 -1.0000 -1.000000
320.00 C 20260817 -1.00 -1.00 693 1231 -1.0000 -1.0000 -1.000000
322.50 C 20260817 -1.00 -1.00 110 198 -1.0000 -1.0000 -1.000000
325.00 C 20260817 -1.00 -1.00 1192 1976 -1.0000 -1.0000 -1.000000
327.50 C 20260817 -1.00 -1.00 4009 7639 -1.0000 -1.0000 -1.000000
330.00 C 20260817 -1.00 -1.00 9167 967 -1.0000 -1.0000 -1.000000
332.50 C 20260817 -1.00 -1.00 5596 2132 -1.0000 -1.0000 -1.000000
335.00 C 20260817 -1.00 -1.00 10208 1896 0.0887 0.9951 0.004795
337.50 C 20260817 -1.00 -1.00 6098 816 0.2052 0.7696 0.045221
340.00 C 20260817 -1.00 -1.00 16711 4853 0.2412 0.6224 0.047834
342.50 C 20260817 -1.00 -1.00 5088 1396 0.2641 0.5005 0.046256
345.00 C 20260817 -1.00 -1.00 9155 2458 0.2772 0.3941 0.042194
347.50 C 20260817 -1.00 -1.00 4989 1708 0.2897 0.3055 0.036548
350.00 C 20260817 -1.00 -1.00 9334 4638 0.3061 0.2325 0.030554
352.50 C 20260817 -1.00 -1.00 1023 279 0.3177 0.1777 0.024697
355.00 C 20260817 -1.00 -1.00 1512 852 0.3376 0.1358 0.019746
357.50 C 20260817 -1.00 -1.00 636 397 0.3487 0.1047 0.015653
360.00 C 20260817 -1.00 -1.00 7366 6870 0.3679 0.0814 0.012381
362.50 C 20260817 -1.00 -1.00 1272 2149 0.3878 0.0656 0.009983
365.00 C 20260817 -1.00 -1.00 509 427 0.4021 0.0527 0.008018
367.50 C 20260817 -1.00 -1.00 81 105 0.4218 0.0431 0.006511
370.00 C 20260817 -1.00 -1.00 812 793 0.4455 0.0363 0.005396
372.50 C 20260817 -1.00 -1.00 58 217 0.4682 0.0313 0.004568
375.00 C 20260817 -1.00 -1.00 391 4590 0.4801 0.0261 0.003788
377.50 C 20260817 -1.00 -1.00 117 175 0.5002 0.0230 0.003254
380.00 C 20260817 -1.00 -1.00 403 377 0.5201 0.0201 0.002792
382.50 C 20260817 -1.00 -1.00 72 195 0.5426 0.0181 0.002443
385.00 C 20260817 -1.00 -1.00 139 216 0.5649 0.0162 0.002140
387.50 C 20260817 -1.00 -1.00 22 37 0.5844 0.0139 0.001827
390.00 C 20260817 -1.00 -1.00 37 341 0.6119 0.0133 0.001693
392.50 C 20260817 -1.00 -1.00 2 41 0.6178 0.0113 0.001434
292.50 P 20260817 -1.00 -1.00 4 20 0.6539 -0.0054 0.000709
295.00 P 20260817 -1.00 -1.00 34 141 0.6440 -0.0074 0.000946
297.50 P 20260817 -1.00 -1.00 28 146 0.6193 -0.0083 0.001096
300.00 P 20260817 -1.00 -1.00 790 1322 0.5799 -0.0082 0.001150
302.50 P 20260817 -1.00 -1.00 38 102 0.5631 -0.0098 0.001406
305.00 P 20260817 -1.00 -1.00 242 1070 0.5317 -0.0104 0.001567
307.50 P 20260817 -1.00 -1.00 133 221 0.5075 -0.0123 0.001895
310.00 P 20260817 -1.00 -1.00 487 402 0.4820 -0.0151 0.002361
312.50 P 20260817 -1.00 -1.00 890 956 0.4598 -0.0188 0.002989
315.00 P 20260817 -1.00 -1.00 567 564 0.4379 -0.0230 0.003733
317.50 P 20260817 -1.00 -1.00 591 502 0.4253 -0.0301 0.004869
320.00 P 20260817 -1.00 -1.00 5789 1758 0.4033 -0.0399 0.006393
322.50 P 20260817 -1.00 -1.00 1033 467 0.3937 -0.0556 0.008620
325.00 P 20260817 -1.00 -1.00 4414 1347 0.3844 -0.0778 0.011428
327.50 P 20260817 -1.00 -1.00 4025 1245 0.3792 -0.1099 0.015007
330.00 P 20260817 -1.00 -1.00 6649 1299 0.3785 -0.1539 0.018931
332.50 P 20260817 -1.00 -1.00 3397 710 0.3839 -0.2096 0.022892
335.00 P 20260817 -1.00 -1.00 5328 770 0.3854 -0.2749 0.026166
337.50 P 20260817 -1.00 -1.00 2494 561 0.4030 -0.3485 0.028204
340.00 P 20260817 -1.00 -1.00 1122 317 0.4102 -0.4233 0.028899
342.50 P 20260817 -1.00 -1.00 87 48 0.4336 -0.4952 0.028267
345.00 P 20260817 -1.00 -1.00 379 132 0.4322 -0.5637 0.027608
347.50 P 20260817 -1.00 -1.00 88 45 0.4702 -0.6201 0.024817
350.00 P 20260817 -1.00 -1.00 28 35 0.4927 -0.6686 0.022416
352.50 P 20260817 -1.00 -1.00 15 15 0.5239 -0.7075 0.019895
355.00 P 20260817 -1.00 -1.00 43 34 0.6268 -0.7134 0.016466
357.50 P 20260817 -1.00 -1.00 9 7 0.6487 -0.7455 0.015133
360.00 P 20260817 -1.00 -1.00 9 36 0.6443 -0.7806 0.014020
362.50 P 20260817 -1.00 -1.00 2 1 0.7112 -0.7863 0.012473
365.00 P 20260817 -1.00 -1.00 6 10 0.7448 -0.8015 0.011354
367.50 P 20260817 -1.00 -1.00 0 0 0.8545 -0.7913 0.010206
370.00 P 20260817 -1.00 -1.00 10 8 0.8058 -0.8301 0.009538
372.50 P 20260817 -1.00 -1.00 0 0 0.8631 -0.8333 0.008801
375.00 P 20260817 -1.00 -1.00 8 9 0.9525 -0.8260 0.008177
377.50 P 20260817 -1.00 -1.00 1 0 1.0305 -0.8227 0.007641
380.00 P 20260817 -1.00 -1.00 1 0 1.0757 -0.8283 0.007181
382.50 P 20260817 -1.00 -1.00 10 3 1.1207 -0.8334 0.006773
385.00 P 20260817 -1.00 -1.00 0 0 1.1626 -0.8388 0.006406
387.50 P 20260817 -1.00 -1.00 0 0 1.2070 -0.8431 0.006077
390.00 P 20260817 -1.00 -1.00 0 0 1.2169 -0.8555 0.005749
392.50 P 20260817 -1.00 -1.00 0 0 1.2608 -0.8576 0.005483
292.50 C 20260819 -1.00 -1.00 24 9 -1.0000 -1.0000 -1.000000
295.00 C 20260819 -1.00 -1.00 2 19 -1.0000 -1.0000 -1.000000
297.50 C 20260819 -1.00 -1.00 23 19 -1.0000 -1.0000 -1.000000
300.00 C 20260819 -1.00 -1.00 27 54 -1.0000 -1.0000 -1.000000
302.50 C 20260819 -1.00 -1.00 1 34 -1.0000 -1.0000 -1.000000
305.00 C 20260819 -1.00 -1.00 2 2 -1.0000 -1.0000 -1.000000
307.50 C 20260819 -1.00 -1.00 4 5 -1.0000 -1.0000 -1.000000
310.00 C 20260819 -1.00 -1.00 23 49 -1.0000 -1.0000 -1.000000
312.50 C 20260819 -1.00 -1.00 1 29 -1.0000 -1.0000 -1.000000
315.00 C 20260819 -1.00 -1.00 16 84 -1.0000 -1.0000 -1.000000
317.50 C 20260819 -1.00 -1.00 34 39 -1.0000 -1.0000 -1.000000
320.00 C 20260819 -1.00 -1.00 91 117 -1.0000 -1.0000 -1.000000
