# opt_chain TSM | epoch 1786711543 | 2026-08-14 08:45:43 | spot 429.47 | spot_src intrinio_quote | spot_age 956 | exps 20260814 20260821 20260828 20260904 20260911
# fuente polygon | band 0.1500 | max_strikes 358 | narrow 0 | vencimientos 5 | rows 358 | greeks_ok_pct 0.9078 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
367.50 C 20260814 -1.00 -1.00 1 1 2.6608 0.9554 0.002300
370.00 C 20260814 -1.00 -1.00 1 182 2.6189 0.9510 0.002529
372.50 C 20260814 -1.00 -1.00 3 3 2.6627 0.9418 0.002877
375.00 C 20260814 -1.00 -1.00 1 86 2.5870 0.9389 0.003086
377.50 C 20260814 -1.00 -1.00 0 0 2.4268 0.9406 0.003211
380.00 C 20260814 -1.00 -1.00 2 239 2.4710 0.9263 0.003699
382.50 C 20260814 -1.00 -1.00 1 88 2.2774 0.9321 0.003789
385.00 C 20260814 -1.00 -1.00 10 47 2.1629 0.9304 0.004059
387.50 C 20260814 -1.00 -1.00 2 77 2.0685 0.9264 0.004414
390.00 C 20260814 -1.00 -1.00 3 312 1.9748 0.9221 0.004818
392.50 C 20260814 -1.00 -1.00 1 27 1.8528 0.9208 0.005197
395.00 C 20260814 -1.00 -1.00 11 136 1.7700 0.9145 0.005754
397.50 C 20260814 -1.00 -1.00 1 58 1.6398 0.9139 0.006245
400.00 C 20260814 -1.00 -1.00 7 255 1.5486 0.9077 0.006961
402.50 C 20260814 -1.00 -1.00 1 68 1.4580 0.9009 0.007806
405.00 C 20260814 -1.00 -1.00 2 930 1.3585 0.8946 0.008784
407.50 C 20260814 -1.00 -1.00 6 174 1.2691 0.8858 0.010004
410.00 C 20260814 -1.00 -1.00 34 437 1.1991 0.8728 0.011532
412.50 C 20260814 -1.00 -1.00 9 140 1.0711 0.8657 0.013348
415.00 C 20260814 -1.00 -1.00 60 324 0.9800 0.8466 0.015813
417.50 C 20260814 -1.00 -1.00 90 486 0.8832 0.8253 0.019052
420.00 C 20260814 -1.00 -1.00 364 1410 0.8057 0.7940 0.023306
422.50 C 20260814 -1.00 -1.00 540 3736 0.7354 0.7484 0.028498
425.00 C 20260814 -1.00 -1.00 820 3079 0.6332 0.6946 0.036296
427.50 C 20260814 -1.00 -1.00 375 839 0.6034 0.6038 0.041914
430.00 C 20260814 -1.00 -1.00 1718 7343 0.5591 0.4963 0.047377
432.50 C 20260814 -1.00 -1.00 799 1219 0.5658 0.3830 0.044511
435.00 C 20260814 -1.00 -1.00 1181 1661 0.5541 0.2768 0.039563
437.50 C 20260814 -1.00 -1.00 1582 1418 0.5572 0.1907 0.031921
440.00 C 20260814 -1.00 -1.00 1147 4147 0.5653 0.1241 0.023862
442.50 C 20260814 -1.00 -1.00 208 1440 0.5750 0.0783 0.016685
445.00 C 20260814 -1.00 -1.00 240 1761 0.5803 0.0478 0.011134
447.50 C 20260814 -1.00 -1.00 90 2087 0.5891 0.0271 0.006934
450.00 C 20260814 -1.00 -1.00 957 2408 0.6044 0.0162 0.004332
452.50 C 20260814 -1.00 -1.00 246 2154 0.6151 0.0092 0.002609
455.00 C 20260814 -1.00 -1.00 102 1311 0.6428 0.0061 0.001726
457.50 C 20260814 -1.00 -1.00 14 197 0.6990 0.0057 0.001487
460.00 C 20260814 -1.00 -1.00 66 885 0.8407 0.0111 0.002269
462.50 C 20260814 -1.00 -1.00 1 495 0.8390 0.0069 0.001480
465.00 C 20260814 -1.00 -1.00 30 430 0.8378 0.0037 0.000857
467.50 C 20260814 -1.00 -1.00 21 120 0.9633 0.0070 0.001307
470.00 C 20260814 -1.00 -1.00 61 652 0.9740 0.0042 0.000835
472.50 C 20260814 -1.00 -1.00 4 29 1.1145 0.0086 0.001346
