# opt_chain TXN | epoch 1786711544 | 2026-08-14 08:45:44 | spot 273.80 | spot_src intrinio_quote | spot_age 939 | exps 20260814 20260821 20260828 20260904 20260911
# fuente polygon | band 0.1500 | max_strikes 234 | narrow 0 | vencimientos 5 | rows 234 | greeks_ok_pct 0.9359 | bidask_ok_pct 0.0000
# strike right exp bid ask vol oi iv delta gamma
235.00 C 20260814 -1.00 -1.00 3 12 -1.0000 -1.0000 -1.000000
237.50 C 20260814 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
240.00 C 20260814 -1.00 -1.00 2 29 -1.0000 -1.0000 -1.000000
242.50 C 20260814 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
245.00 C 20260814 -1.00 -1.00 1 21 -1.0000 -1.0000 -1.000000
247.50 C 20260814 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
250.00 C 20260814 -1.00 -1.00 6 42 -1.0000 -1.0000 -1.000000
252.50 C 20260814 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
255.00 C 20260814 -1.00 -1.00 22 29 -1.0000 -1.0000 -1.000000
257.50 C 20260814 -1.00 -1.00 10 10 -1.0000 -1.0000 -1.000000
260.00 C 20260814 -1.00 -1.00 4 23 -1.0000 -1.0000 -1.000000
262.50 C 20260814 -1.00 -1.00 0 0 -1.0000 -1.0000 -1.000000
265.00 C 20260814 -1.00 -1.00 1 36 -1.0000 -1.0000 -1.000000
267.50 C 20260814 -1.00 -1.00 1 4 0.4101 0.9456 0.027546
270.00 C 20260814 -1.00 -1.00 1 126 0.5508 0.7666 0.057800
272.50 C 20260814 -1.00 -1.00 10 23 0.5679 0.5969 0.070163
275.00 C 20260814 -1.00 -1.00 5 47 0.5815 0.4214 0.069174
277.50 C 20260814 -1.00 -1.00 23 33 0.5838 0.2634 0.057652
280.00 C 20260814 -1.00 -1.00 38 204 0.6228 0.1596 0.040098
282.50 C 20260814 -1.00 -1.00 59 108 0.6267 0.0816 0.024738
285.00 C 20260814 -1.00 -1.00 130 282 0.7655 0.0697 0.018173
287.50 C 20260814 -1.00 -1.00 9 81 0.6873 0.0234 0.008181
290.00 C 20260814 -1.00 -1.00 227 389 0.8074 0.0233 0.006932
292.50 C 20260814 -1.00 -1.00 1186 1355 0.9651 0.0274 0.006709
295.00 C 20260814 -1.00 -1.00 73 232 0.9965 0.0180 0.004515
297.50 C 20260814 -1.00 -1.00 12 205 1.9401 0.1219 0.010730
300.00 C 20260814 -1.00 -1.00 1347 1262 1.0506 0.0072 0.001926
302.50 C 20260814 -1.00 -1.00 58 158 1.3074 0.0162 0.003142
305.00 C 20260814 -1.00 -1.00 40 335 1.8198 0.0515 0.005913
307.50 C 20260814 -1.00 -1.00 3 33 1.9284 0.0490 0.005360
310.00 C 20260814 -1.00 -1.00 2 88 2.0362 0.0468 0.004893
312.50 C 20260814 -1.00 -1.00 3 12 2.1432 0.0448 0.004493
235.00 P 20260814 -1.00 -1.00 22 122 1.6718 -0.0038 0.000694
237.50 P 20260814 -1.00 -1.00 13 69 2.0487 -0.0229 0.002709
240.00 P 20260814 -1.00 -1.00 92 383 1.4543 -0.0043 0.000885
242.50 P 20260814 -1.00 -1.00 27 38 1.5570 -0.0119 0.002043
245.00 P 20260814 -1.00 -1.00 309 240 1.2413 -0.0050 0.001172
247.50 P 20260814 -1.00 -1.00 159 143 1.1609 -0.0065 0.001578
250.00 P 20260814 -1.00 -1.00 82 184 1.1884 -0.0141 0.003070
252.50 P 20260814 -1.00 -1.00 11 91 0.9784 -0.0090 0.002523
255.00 P 20260814 -1.00 -1.00 263 273 1.0075 -0.0223 0.005368
