"Ticker","Market Cap","Performance (Week)","Relative Strength Index (14)","Change from Open","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
"AA",11605.97,-9.65%,24.63,-5.48%,5302.34,2.20,43.98,-6.13%,11679359,7/16/2026 4:30:00 PM
"AEHR",2632.50,11.64%,46.96,2.24%,2619.36,1.94,81.05,-3.74%,5083282,7/14/2026 4:30:00 PM
"ARWR",10465.68,-2.75%,43.31,4.77%,2106.49,1.79,74.30,4.10%,3775226,5/7/2026 4:30:00 PM
"CCJ",37290.08,-10.80%,28.17,-0.38%,3311.38,1.57,85.62,-1.99%,5202665,5/5/2026 8:30:00 AM
"CDNS",91049.62,-14.07%,28.62,-1.33%,2396.75,2.16,330.11,-9.47%,5188484,7/27/2026 4:30:00 PM
"FPS",12692.41,-13.03%,32.23,6.11%,7099.45,2.96,39.79,0.53%,21020160,5/14/2026 8:30:00 AM
"FSLY",3242.68,5.77%,59.18,6.47%,7885.75,1.62,20.72,1.97%,12776370,8/5/2026 4:30:00 PM
"ISRG",122334.93,-15.08%,30.16,-5.37%,2605.87,4.44,345.42,-14.15%,11563751,7/16/2026 4:30:00 PM
"KRMN",6118.74,-7.68%,41.23,-0.92%,3224.24,2.14,46.17,-2.70%,6911290,5/12/2026 4:30:00 PM
"NXT",15635.45,-7.53%,40.47,-1.23%,2848.41,2.43,103.10,-3.51%,6916094,7/30/2026 4:30:00 PM
"PNR",10092.27,-18.03%,27.10,-3.82%,2505.36,2.00,62.45,-4.93%,5023076,7/28/2026 8:30:00 AM
"SKM",11639.89,-7.85%,36.74,-1.19%,2625.28,1.69,30.62,-3.59%,4435505,5/27/2026 4:30:00 PM
"STX",176616.20,-13.48%,42.12,9.25%,4435.23,1.58,787.66,5.66%,7013109,7/28/2026 4:30:00 PM
"TRVI",2707.55,6.89%,60.90,8.44%,2054.50,4.05,19.07,9.85%,8312192,5/5/2026 4:30:00 PM
